보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
ABL생명,(무)우리WON더담은암보험(간편심사형),주계약,사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,100만원 원,2770  원,"2,390  원",,,,,,,file_10.xls,ABL생명,(무)우리WON더담은암보험(간편심사형),주계약,사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,100만원 원,2770  원,"2,390  원",2.50 %,-,-,107.6 %,102.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-02-02,"1. 가입나이 (가입조건별로 상이) : 30세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 간편심사형(325), 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 간편심사형(325), 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON더담은암보험(간편심사형),특약,(무)일반암진단특약D(간편심사형(325)),"이 특약의 보험기간 중 피보험자가 암보장개시일 이후에 ""암""으로 진단이 확정되었을 때 (다만, 최초 1회 진단확정에 한하여 지급)","경과기간 1년 미만： 500만원 / 경과기간 1년 이상：1,000만원","1,000만원 원",18010  원,"16,640  원",,,,,,,file_10.xls,ABL생명,(무)우리WON더담은암보험(간편심사형),특약,(무)일반암진단특약D(간편심사형(325)),"이 특약의 보험기간 중 피보험자가 암보장개시일 이후에 ""암""으로 진단이 확정되었을 때 (다만, 최초 1회 진단확정에 한하여 지급)","경과기간 1년 미만： 500만원 / 경과기간 1년 이상：1,000만원","1,000만원 원",18010  원,"16,640  원",2.50 %,-,-,107.6 %,102.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-02-02,"1. 가입나이 (가입조건별로 상이) : 30세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 간편심사형(325), 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 간편심사형(325), 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON더담은암보험(간편심사형),특약,(무)소액암진단특약D(간편심사형(325)),"이 특약의 보험기간 중 피보험자가 ""중증 이외의 갑상선암"", ""기타피부암"", ""대장점막내암"", ""제자리암"" 및 ""경계성종양""으로 진단이 확정되었을 때 (다만, 각각 최초 1회 진단확정에 한하여 지급)",경과기간 1년 미만： 100만원 / 경과기간 1년 이상： 200만원,200만원 원,806  원,"1,652  원",,,,,,,file_10.xls,ABL생명,(무)우리WON더담은암보험(간편심사형),특약,(무)소액암진단특약D(간편심사형(325)),"이 특약의 보험기간 중 피보험자가 ""중증 이외의 갑상선암"", ""기타피부암"", ""대장점막내암"", ""제자리암"" 및 ""경계성종양""으로 진단이 확정되었을 때 (다만, 각각 최초 1회 진단확정에 한하여 지급)",경과기간 1년 미만： 100만원 / 경과기간 1년 이상： 200만원,200만원 원,806  원,"1,652  원",2.50 %,-,-,107.6 %,102.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-02-02,"1. 가입나이 (가입조건별로 상이) : 30세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 간편심사형(325), 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 간편심사형(325), 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON더담은암보험(간편심사형),특약,(무)일반암주요치료비보장특약D(간편심사형(325)),"이 특약의 보험기간 중 피보험자가 암보장개시일 이후에 ""암""으로 최초 진단확정되고, ""보험금 지급기간"" 이내에 ""암 주요치료""를 받은 경우 (다만, 연간 1회 한도, 최대 10회 지급))","경과기간 1년 미만： 500만원 / 경과기간 1년 이상：1,000만원","1,000만원 원",30740  원,"27,230  원",,,,,,,file_10.xls,ABL생명,(무)우리WON더담은암보험(간편심사형),특약,(무)일반암주요치료비보장특약D(간편심사형(325)),"이 특약의 보험기간 중 피보험자가 암보장개시일 이후에 ""암""으로 최초 진단확정되고, ""보험금 지급기간"" 이내에 ""암 주요치료""를 받은 경우 (다만, 연간 1회 한도, 최대 10회 지급))","경과기간 1년 미만： 500만원 / 경과기간 1년 이상：1,000만원","1,000만원 원",30740  원,"27,230  원",2.50 %,-,-,107.6 %,102.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-02-02,"1. 가입나이 (가입조건별로 상이) : 30세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 간편심사형(325), 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 간편심사형(325), 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON더담은암보험(간편심사형),특약,(무)갑상선암 및 기타피부암 주요치료비보장특약D(간편심사형(325)),"이 특약의 보험기간 중 피보험자가 ""갑상선암"" 또는 ""기타피부암""으로 최초 진단확정되고, ""보험금 지급기간"" 이내에 ""암 주요치료""를 받은 경우 (다만, 연간 1회 한도, 최대 10회 지급))",200만원,200만원 원,552  원,"1,222  원",,,,,,,file_10.xls,ABL생명,(무)우리WON더담은암보험(간편심사형),특약,(무)갑상선암 및 기타피부암 주요치료비보장특약D(간편심사형(325)),"이 특약의 보험기간 중 피보험자가 ""갑상선암"" 또는 ""기타피부암""으로 최초 진단확정되고, ""보험금 지급기간"" 이내에 ""암 주요치료""를 받은 경우 (다만, 연간 1회 한도, 최대 10회 지급))",200만원,200만원 원,552  원,"1,222  원",2.50 %,-,-,107.6 %,102.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-02-02,"1. 가입나이 (가입조건별로 상이) : 30세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 간편심사형(325), 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 간편심사형(325), 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON더담은암보험(일반심사형),주계약,사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,100만원 원,2480  원,"2,180  원",,,,,,,file_10.xls,ABL생명,(무)우리WON더담은암보험(일반심사형),주계약,사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,100만원 원,2480  원,"2,180  원",2.50 %,-,-,95.8 %,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-02-02,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON더담은암보험(일반심사형),특약,(무)일반암진단특약D(일반심사형),"이 특약의 보험기간 중 피보험자가 암보장개시일 이후에 ""암""으로 진단이 확정되었을 때 (다만, 최초 1회 진단확정에 한하여 지급)","경과기간 1년 미만： 500만원 / 경과기간 1년 이상：1,000만원","1,000만원 원",14670  원,"12,280  원",,,,,,,file_10.xls,ABL생명,(무)우리WON더담은암보험(일반심사형),특약,(무)일반암진단특약D(일반심사형),"이 특약의 보험기간 중 피보험자가 암보장개시일 이후에 ""암""으로 진단이 확정되었을 때 (다만, 최초 1회 진단확정에 한하여 지급)","경과기간 1년 미만： 500만원 / 경과기간 1년 이상：1,000만원","1,000만원 원",14670  원,"12,280  원",2.50 %,-,-,95.8 %,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-02-02,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON더담은암보험(일반심사형),특약,(무)소액암진단특약D(일반심사형),"이 특약의 보험기간 중 피보험자가 ""중증 이외의 갑상선암"", ""기타피부암"", ""대장점막내암"", ""제자리암"" 및 ""경계성종양""으로 진단이 확정되었을 때 (다만, 각각 최초 1회 진단확정에 한하여 지급)",경과기간 1년 미만： 100만원 / 경과기간 1년 이상： 200만원,200만원 원,604  원,"1,168  원",,,,,,,file_10.xls,ABL생명,(무)우리WON더담은암보험(일반심사형),특약,(무)소액암진단특약D(일반심사형),"이 특약의 보험기간 중 피보험자가 ""중증 이외의 갑상선암"", ""기타피부암"", ""대장점막내암"", ""제자리암"" 및 ""경계성종양""으로 진단이 확정되었을 때 (다만, 각각 최초 1회 진단확정에 한하여 지급)",경과기간 1년 미만： 100만원 / 경과기간 1년 이상： 200만원,200만원 원,604  원,"1,168  원",2.50 %,-,-,95.8 %,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-02-02,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON더담은암보험(일반심사형),특약,(무)일반암주요치료비보장특약D(일반심사형),"이 특약의 보험기간 중 피보험자가 암보장개시일 이후에 ""암""으로 최초 진단확정되고, ""보험금 지급기간"" 이내에 ""암 주요치료""를 받은 경우 (다만, 연간 1회 한도, 최대 10회 지급))","1,000만원","1,000만원 원",24370  원,"19,930  원",,,,,,,file_10.xls,ABL생명,(무)우리WON더담은암보험(일반심사형),특약,(무)일반암주요치료비보장특약D(일반심사형),"이 특약의 보험기간 중 피보험자가 암보장개시일 이후에 ""암""으로 최초 진단확정되고, ""보험금 지급기간"" 이내에 ""암 주요치료""를 받은 경우 (다만, 연간 1회 한도, 최대 10회 지급))","1,000만원","1,000만원 원",24370  원,"19,930  원",2.50 %,-,-,95.8 %,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-02-02,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON더담은암보험(일반심사형),특약,(무)갑상선암 및 기타피부암 주요치료비보장특약D(일반심사형),"이 특약의 보험기간 중 피보험자가 ""갑상선암"" 또는 ""기타피부암""으로 최초 진단확정되고, ""보험금 지급기간"" 이내에 ""암 주요치료""를 받은 경우 (다만, 연간 1회 한도, 최대 10회 지급))",200만원,200만원 원,416  원,862  원,,,,,,,file_10.xls,ABL생명,(무)우리WON더담은암보험(일반심사형),특약,(무)갑상선암 및 기타피부암 주요치료비보장특약D(일반심사형),"이 특약의 보험기간 중 피보험자가 ""갑상선암"" 또는 ""기타피부암""으로 최초 진단확정되고, ""보험금 지급기간"" 이내에 ""암 주요치료""를 받은 경우 (다만, 연간 1회 한도, 최대 10회 지급))",200만원,200만원 원,416  원,862  원,2.50 %,-,-,95.8 %,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-02-02,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
