보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
교보생명,교보암·간병평생보장보험 (무배당),특약,(무)교보뇌혈관질환진단특약(갱신형)Ⅱ,"피보험자가 보험기간 중 “뇌혈관질환”으로 진단확정되었을 경우 (다만, 최초 1회의 진단확정에 한함)","보험가입금액의 100% (다만, 최초계약의 계약일부터 1년 미만에 진단확정되었을 경우 50% 감액 지급)","1,000만원",5030  원,"4,710  원",,,,,,,file_10.xls,교보생명,교보암·간병평생보장보험 (무배당),특약,(무)교보뇌혈관질환진단특약(갱신형)Ⅱ,"피보험자가 보험기간 중 “뇌혈관질환”으로 진단확정되었을 경우 (다만, 최초 1회의 진단확정에 한함)","보험가입금액의 100% (다만, 최초계약의 계약일부터 1년 미만에 진단확정되었을 경우 50% 감액 지급)","1,000만원",5030  원,"4,710  원",2.25 %,-,-,156.8 %,164.1 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,,비유니버셜,대면채널,2026-02-25,"■필수기재사항 1. 가입나이 : 만15 ~ 최고68세(보험종류, 보험기간, 납입기간, 가입금액별로 상이함) 2. 보험기간 : 종신 ■선택기재사항 1. 저해약환급금형/일반형 2. 부가서비스 : 교보New 헬스케어서비스, 교보New 헬스케어서비스 프리미어, 교보New 헬스케어서비스 프레스티지 3. 보험료 예시기준 : 저해약환급금형, 40세가입, 표준체, 보험가입금액 1억, 20년납, 월납 4. 적용이율 : 가입후 경과기간 15년 미만 2.25%/ 경과기간 15년 이상 1.5%",02-1588-1001
교보생명,교보암·간병평생보장보험 (무배당),특약,(무)NEW플러스수술특약(갱신형),피보험자가 보험기간 중 수술을 받았을 경우,수술 1회당 [1종] 보험가입금액의 2% [2종] 보험가입금액의 4% [3종] 보험가입금액의 20% [4종] 보험가입금액의 80% [5종] 보험가입금액의 100%,"1,000만원",8100  원,"10,900  원",,,,,,,file_10.xls,교보생명,교보암·간병평생보장보험 (무배당),특약,(무)NEW플러스수술특약(갱신형),피보험자가 보험기간 중 수술을 받았을 경우,수술 1회당 [1종] 보험가입금액의 2% [2종] 보험가입금액의 4% [3종] 보험가입금액의 20% [4종] 보험가입금액의 80% [5종] 보험가입금액의 100%,"1,000만원",8100  원,"10,900  원",2.25 %,-,-,156.8 %,164.1 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,,비유니버셜,대면채널,2026-02-25,"■필수기재사항 1. 가입나이 : 만15 ~ 최고68세(보험종류, 보험기간, 납입기간, 가입금액별로 상이함) 2. 보험기간 : 종신 ■선택기재사항 1. 저해약환급금형/일반형 2. 부가서비스 : 교보New 헬스케어서비스, 교보New 헬스케어서비스 프리미어, 교보New 헬스케어서비스 프레스티지 3. 보험료 예시기준 : 저해약환급금형, 40세가입, 표준체, 보험가입금액 1억, 20년납, 월납 4. 적용이율 : 가입후 경과기간 15년 미만 2.25%/ 경과기간 15년 이상 1.5%",02-1588-1001
교보생명,교보암·간병평생보장보험 (무배당),특약,(무)교보허혈심장질환진단특약(갱신형),"피보험자가 보험기간 중 “허혈심장질환”으로 진단확정되었을 경우 (다만, 최초 1회의 진단확정에 한함)","보험가입금액의 100% (다만, 최초계약의 계약일부터 1년 미만에 진단확정되었을 경우 50% 감액 지급)","1,000만원",5010  원,"1,880  원",,,,,,,file_10.xls,교보생명,교보암·간병평생보장보험 (무배당),특약,(무)교보허혈심장질환진단특약(갱신형),"피보험자가 보험기간 중 “허혈심장질환”으로 진단확정되었을 경우 (다만, 최초 1회의 진단확정에 한함)","보험가입금액의 100% (다만, 최초계약의 계약일부터 1년 미만에 진단확정되었을 경우 50% 감액 지급)","1,000만원",5010  원,"1,880  원",2.25 %,-,-,156.8 %,164.1 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,,비유니버셜,대면채널,2026-02-25,"■필수기재사항 1. 가입나이 : 만15 ~ 최고68세(보험종류, 보험기간, 납입기간, 가입금액별로 상이함) 2. 보험기간 : 종신 ■선택기재사항 1. 저해약환급금형/일반형 2. 부가서비스 : 교보New 헬스케어서비스, 교보New 헬스케어서비스 프리미어, 교보New 헬스케어서비스 프레스티지 3. 보험료 예시기준 : 저해약환급금형, 40세가입, 표준체, 보험가입금액 1억, 20년납, 월납 4. 적용이율 : 가입후 경과기간 15년 미만 2.25%/ 경과기간 15년 이상 1.5%",02-1588-1001
교보생명,교보암·간병평생보장보험 (무배당),특약,New(무)암진단특약(갱신형)Ⅱ,"피보험자가 보험기간 중 암보장개시일 이후에 “암”으로 진단 확정되었을 경우(다만, 최초 1회의 진단확정에 한함)",[1년 이상] 보험가입금액의 100% [1년 미만] 보험가입금액의 50%,"1,000만원",3700  원,"4,000  원",,,,,,,file_10.xls,교보생명,교보암·간병평생보장보험 (무배당),특약,New(무)암진단특약(갱신형)Ⅱ,"피보험자가 보험기간 중 암보장개시일 이후에 “암”으로 진단 확정되었을 경우(다만, 최초 1회의 진단확정에 한함)",[1년 이상] 보험가입금액의 100% [1년 미만] 보험가입금액의 50%,"1,000만원",3700  원,"4,000  원",2.25 %,-,-,156.8 %,164.1 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,,비유니버셜,대면채널,2026-02-25,"■필수기재사항 1. 가입나이 : 만15 ~ 최고68세(보험종류, 보험기간, 납입기간, 가입금액별로 상이함) 2. 보험기간 : 종신 ■선택기재사항 1. 저해약환급금형/일반형 2. 부가서비스 : 교보New 헬스케어서비스, 교보New 헬스케어서비스 프리미어, 교보New 헬스케어서비스 프레스티지 3. 보험료 예시기준 : 저해약환급금형, 40세가입, 표준체, 보험가입금액 1억, 20년납, 월납 4. 적용이율 : 가입후 경과기간 15년 미만 2.25%/ 경과기간 15년 이상 1.5%",02-1588-1001
교보생명,교보간편암평생보장보험 (무배당),특약,(무)뇌혈관질환진단특약(간편가입/갱신형),"피보험자가 보험기간 중 “뇌혈관질환”으로 진단확정되었을 경우 (다만, 최초 1회의 진단확정에 한함)","보험가입금액의 100% (다만, 최초계약의 계약일부터 1년 미만에 진단확정되었을 경우 50% 감액 지급)","1,000만원",2850  원,"2,530  원",,,,,,,file_10.xls,교보생명,교보간편암평생보장보험 (무배당),특약,(무)뇌혈관질환진단특약(간편가입/갱신형),"피보험자가 보험기간 중 “뇌혈관질환”으로 진단확정되었을 경우 (다만, 최초 1회의 진단확정에 한함)","보험가입금액의 100% (다만, 최초계약의 계약일부터 1년 미만에 진단확정되었을 경우 50% 감액 지급)","1,000만원",2850  원,"2,530  원",2.00 %,-,-,161.0 %,171.6 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,,비유니버셜,대면채널,2026-02-25,"■필수기재사항 1. 가입나이 : 만15 ~ 최고68세(보험종류, 보험기간, 납입기간, 가입금액별로 상이함) 2. 보험기간 : 종신 ■선택기재사항 1. 저해약환급금형/일반형 2. 부가서비스 : 교보New 헬스케어서비스(R), 교보New 헬스케어서비스(R) 프리미어, 교보New 헬스케어서비스(R) 프레스티지 3. 보험료 예시기준 : 저해약환급금형, 40세가입, 보험가입금액 1억원, 20년납, 월납 4. 적용이율 : 가입후 경과기간 15년 미만 2.0%/ 경과기간 15년 이상 1.25%",02-1588-1001
교보생명,교보간편암평생보장보험 (무배당),특약,(무)NEW플러스수술특약(간편가입/갱신형),피보험자가 보험기간 중 수술을 받았을 경우,수술 1회당 [1종] 특약보험가입금액의 2% [2종] 특약보험가입금액의 4% [3종] 특약보험가입금액의 20% [4종] 특약보험가입금액의 80% [5종] 특약보험가입금액의 100%,"1,000만원",13900  원,"17,500  원",,,,,,,file_10.xls,교보생명,교보간편암평생보장보험 (무배당),특약,(무)NEW플러스수술특약(간편가입/갱신형),피보험자가 보험기간 중 수술을 받았을 경우,수술 1회당 [1종] 특약보험가입금액의 2% [2종] 특약보험가입금액의 4% [3종] 특약보험가입금액의 20% [4종] 특약보험가입금액의 80% [5종] 특약보험가입금액의 100%,"1,000만원",13900  원,"17,500  원",2.00 %,-,-,161.0 %,171.6 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,,비유니버셜,대면채널,2026-02-25,"■필수기재사항 1. 가입나이 : 만15 ~ 최고68세(보험종류, 보험기간, 납입기간, 가입금액별로 상이함) 2. 보험기간 : 종신 ■선택기재사항 1. 저해약환급금형/일반형 2. 부가서비스 : 교보New 헬스케어서비스(R), 교보New 헬스케어서비스(R) 프리미어, 교보New 헬스케어서비스(R) 프레스티지 3. 보험료 예시기준 : 저해약환급금형, 40세가입, 보험가입금액 1억원, 20년납, 월납 4. 적용이율 : 가입후 경과기간 15년 미만 2.0%/ 경과기간 15년 이상 1.25%",02-1588-1001
교보생명,교보간편암평생보장보험 (무배당),특약,(무)허혈심장질환진단특약(간편가입/갱신형),"피보험자가 보험기간 중 “허혈심장질환”으로 진단확정되었을 경우 (다만, 최초 1회의 진단확정에 한함)","보험가입금액의 100% (다만, 최초계약의 계약일부터 1년 미만에 진단확정되었을 경우 50% 감액 지급)","1,000만원",4400  원,"1,700  원",,,,,,,file_10.xls,교보생명,교보간편암평생보장보험 (무배당),특약,(무)허혈심장질환진단특약(간편가입/갱신형),"피보험자가 보험기간 중 “허혈심장질환”으로 진단확정되었을 경우 (다만, 최초 1회의 진단확정에 한함)","보험가입금액의 100% (다만, 최초계약의 계약일부터 1년 미만에 진단확정되었을 경우 50% 감액 지급)","1,000만원",4400  원,"1,700  원",2.00 %,-,-,161.0 %,171.6 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,,비유니버셜,대면채널,2026-02-25,"■필수기재사항 1. 가입나이 : 만15 ~ 최고68세(보험종류, 보험기간, 납입기간, 가입금액별로 상이함) 2. 보험기간 : 종신 ■선택기재사항 1. 저해약환급금형/일반형 2. 부가서비스 : 교보New 헬스케어서비스(R), 교보New 헬스케어서비스(R) 프리미어, 교보New 헬스케어서비스(R) 프레스티지 3. 보험료 예시기준 : 저해약환급금형, 40세가입, 보험가입금액 1억원, 20년납, 월납 4. 적용이율 : 가입후 경과기간 15년 미만 2.0%/ 경과기간 15년 이상 1.25%",02-1588-1001
교보생명,교보간편암평생보장보험 (무배당),특약,(무)암진단특약(간편가입/갱신형)Ⅱ,"피보험자가 보험기간 중 암보장개시일 이후에 “암”으로 진단 확정되었을 경우(다만, 최초 1회의 진단확정에 한함)",[1년 이상] 보험가입금액의 100% [1년 미만] 보험가입금액의 50%,"1,000만원",5300  원,"5,600  원",,,,,,,file_10.xls,교보생명,교보간편암평생보장보험 (무배당),특약,(무)암진단특약(간편가입/갱신형)Ⅱ,"피보험자가 보험기간 중 암보장개시일 이후에 “암”으로 진단 확정되었을 경우(다만, 최초 1회의 진단확정에 한함)",[1년 이상] 보험가입금액의 100% [1년 미만] 보험가입금액의 50%,"1,000만원",5300  원,"5,600  원",2.00 %,-,-,161.0 %,171.6 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,,비유니버셜,대면채널,2026-02-25,"■필수기재사항 1. 가입나이 : 만15 ~ 최고68세(보험종류, 보험기간, 납입기간, 가입금액별로 상이함) 2. 보험기간 : 종신 ■선택기재사항 1. 저해약환급금형/일반형 2. 부가서비스 : 교보New 헬스케어서비스(R), 교보New 헬스케어서비스(R) 프리미어, 교보New 헬스케어서비스(R) 프레스티지 3. 보험료 예시기준 : 저해약환급금형, 40세가입, 보험가입금액 1억원, 20년납, 월납 4. 적용이율 : 가입후 경과기간 15년 미만 2.0%/ 경과기간 15년 이상 1.25%",02-1588-1001
삼성생명,"삼성 인터넷 암치료보험(2501)(갱신형,무배당)",주계약,사망보험금,피보험자가 보험기간 중 사망하였을 경우,"100만원 ※ 보험기간 중 피보험자에게 사망보험금 지급사유가 발생한 경우에는 해당 보험금과 ""이미 납입한보험료"" 중 큰 금액을 지급합니다.",100만원,210  원,130  원,,,,,,,file_12.xls,삼성생명,"삼성 인터넷 암치료보험(2501)(갱신형,무배당)",주계약,사망보험금,피보험자가 보험기간 중 사망하였을 경우,"100만원 ※ 보험기간 중 피보험자에게 사망보험금 지급사유가 발생한 경우에는 해당 보험금과 ""이미 납입한보험료"" 중 큰 금액을 지급합니다.",100만원,210  원,130  원,2.00 %,-,-,113.2 %,134.3 %,-,-,-,-,암,순수보장,갱신형,비유니버셜,CM,2025-01-14,"□ 필수기재사항 1. 가입나이 : 최저 20세 ~ 최대 65세 2. 보험기간  - 최초계약 : 20년만기  - 갱신계약 : 1~20년만기 ※ 주계약의 최종 갱신계약의 보험기간 만료일은 피보험자의 100세 계약해당일의 전일 - 단, 일부 선택특약은 보험기간 상이 3. 보험료 예시기준  - 40세,보험기간 20년만기 전기납(최대 100세),월납, 최초계약  - 주보험 보험가입금액 100만원  ※ 프리미엄암직접치료보장특약(갱신형,무배당)의 지급사유는 「표적항암약물허가치료보장보험금」에 대해 작성한 것으로  세부 지급사유는 요약서 참고 □ 선택기재사항 1. 납입기간 : 전기납 2. 보험가격지수 예시기준  - 40세, 보험기간 20년만기 전기납, 월납, 가입금액 100만원, 최초계약 기준",1588-3114,,,,
삼성생명,"삼성 인터넷 암치료보험(2501)(갱신형,무배당)",특약,"암주요치료보장특약(갱신형,무배당)","보험기간 중 암보장개시일 이후에 최초로 “암”으로 진단 확정된 날부터 10년동안 “암”의 직접적인 치료를 목적으로 “암 주요치료”(“암 수술”, “항암방사선치 료” 또는 “항암약물치료” 중 어느 하나의 치료)를 받은 경우 ※ ""진단후 보험연도"" 기준 연 1회에 한하여 보장(최대 10회)","1,000만원","1,000만원",5750  원,"7,770  원",,,,,,,file_12.xls,삼성생명,"삼성 인터넷 암치료보험(2501)(갱신형,무배당)",특약,"암주요치료보장특약(갱신형,무배당)","보험기간 중 암보장개시일 이후에 최초로 “암”으로 진단 확정된 날부터 10년동안 “암”의 직접적인 치료를 목적으로 “암 주요치료”(“암 수술”, “항암방사선치 료” 또는 “항암약물치료” 중 어느 하나의 치료)를 받은 경우 ※ ""진단후 보험연도"" 기준 연 1회에 한하여 보장(최대 10회)","1,000만원","1,000만원",5750  원,"7,770  원",2.00 %,-,-,113.2 %,134.3 %,-,-,-,-,암,순수보장,갱신형,비유니버셜,CM,2025-01-14,"□ 필수기재사항 1. 가입나이 : 최저 20세 ~ 최대 65세 2. 보험기간  - 최초계약 : 20년만기  - 갱신계약 : 1~20년만기 ※ 주계약의 최종 갱신계약의 보험기간 만료일은 피보험자의 100세 계약해당일의 전일 - 단, 일부 선택특약은 보험기간 상이 3. 보험료 예시기준  - 40세,보험기간 20년만기 전기납(최대 100세),월납, 최초계약  - 주보험 보험가입금액 100만원  ※ 프리미엄암직접치료보장특약(갱신형,무배당)의 지급사유는 「표적항암약물허가치료보장보험금」에 대해 작성한 것으로  세부 지급사유는 요약서 참고 □ 선택기재사항 1. 납입기간 : 전기납 2. 보험가격지수 예시기준  - 40세, 보험기간 20년만기 전기납, 월납, 가입금액 100만원, 최초계약 기준",1588-3114,,,,
