company_name,product_name,premium_male_40,premium_female_40,is_renewable,source_file
ABL생명,우리WON더담은암보험간편심사형,301806,283494,False,file_10.xls
ABL생명,우리WON더담은암보험일반심사형,242172,209934,False,file_10.xls
흥국생명,흥국생명다多사랑암보험V2,798327,668601,False,file_10.xls
교보생명,교보암·간병평생보장보험,3260520,3079470,False,file_10.xls
교보생명,교보간편암평생보장보험,3679350,3537990,False,file_10.xls
삼성생명,"삼성 인터넷 암치료보험2501갱신형,",40629,49779,True,file_12.xls
삼성생명,"삼성 인터넷 신간편 암치료보험2501갱신형, 1종간편고지형",52308,63885,True,file_12.xls
교보생명,교보e암·뇌·심장보험 BASIC,27990,24660,False,file_12.xls
동양생명,엔젤New독특한암치료보험갱신형,175230,188910,True,file_12.xls
신한라이프생명,"신한간편가입굿닥터암뇌심치료보험, 갱신형",156240,173730,True,file_12.xls
하나생명,Top3 건강보험Ⅱ 암보장형,1279800,815400,False,file_12.xls
한화생명,한화생명 시그니처H암보험,466320,353760,False,file_13.xls
한화생명,한화생명 간편가입 시그니처H암보험,624420,470550,False,file_13.xls
한화생명,한화생명 e암보험비갱신형 표준체형,863460,667440,True,file_13.xls
한화생명,한화생명 e암보험비갱신형 비흡연체형,795420,660150,True,file_13.xls
한화생명,한화생명 간편가입 Need AI 암보험,175734,146340,False,file_13.xls
한화생명,한화생명 Need AI 암보험,166500,137358,False,file_13.xls
ABL생명,우리WON인터넷암보험갱신형,267030,397620,True,file_13.xls
삼성생명,"삼성 인터넷암보험2404갱신형,",153000,186000,True,file_13.xls
삼성생명,"삼성 인터넷 비갱신암보험2601, 무해약환급금형",427335,276495,True,file_13.xls
흥국생명,흥국생명언제나안심암보험2602,10584000,7722000,False,file_13.xls
흥국생명,흥국생명언제나안심암보험2602V2,4522500,3456000,False,file_13.xls
교보생명,교보간편통합암보험,412692,309270,False,file_13.xls
교보생명,교보통합암보험,323934,233322,False,file_13.xls
교보생명,"교보간편암보험 [D2408],갱신형",66054,79284,True,file_13.xls
교보생명,"교보암보험 [D2408],갱신형",47934,58050,True,file_13.xls
iM라이프,iM 프리미엄건강보험 2404 1종암보장형,32821200,36342000,False,file_13.xls
미래에셋생명,온라인 암보험 [해약환급금이 없는 유형],136782,96495,False,file_13.xls
미래에셋생명,온라인 암보험 [기본형],156114,108051,False,file_13.xls
미래에셋생명,온라인 암보험 [갱신형],29292,32889,True,file_13.xls
미래에셋생명,온라인 더 잘고른 미니암보험,5388,9114,False,file_13.xls
미래에셋생명,암 걱정없는 암치료보험갱신형,45402,68784,True,file_13.xls
KDB생명,KDB다이렉트 암보험,182400,121320,False,file_13.xls
KDB생명,암만생각해도 KDB암보험 2.0Ⅲ,41982,43782,False,file_13.xls
KDB생명,암만생각해도 KDB암보험 2.0,52878,52362,False,file_13.xls
KDB생명,KDB다이렉트 암보험Ⅲ,149760,102120,False,file_13.xls
KDB생명,KDB다이렉트 암보험갱신형,43080,44160,True,file_13.xls
KDB생명,KDB든든한 건강보험암보장,47488500,72900000,False,file_13.xls
DB생명,e로운 암보험2601,328878,290640,False,file_13.xls
DB생명,e로운 암보험갱신형2601,139878,193440,True,file_13.xls
동양생명,우리WON하는실속하나로암보험,441747,415455,False,file_13.xls
동양생명,우리WON하는실속플러스하나로암보험,441747,415455,False,file_13.xls
메트라이프생명,메트라이프 간암및췌장암진단보험,5700,3300,False,file_13.xls
메트라이프생명,메트라이프 위암및식도암진단보험,6450,6450,False,file_13.xls
메트라이프생명,360 암보험갱신형,62910,85320,True,file_13.xls
메트라이프생명,메트라이프 대장암및소장암진단보험,8850,6900,False,file_13.xls
KB라이프생명,KB 착한암보험,325800,185400,False,file_13.xls
