index,company,product,category,rider,coverage,payout_detail,insured_amount_text,base_premium_text,unit,premium_alt,premium_index,is_renewal,is_refund,channel,base_date,disclosure,phone,source_file,benefit_amount,base_premium
한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,주계약,충전치료자금,"보험기간 중 피보험자가 치과치료보장개시일 이후에 ' 치아우식증(충치)' 또는 '치주질환(잇몸질환)'으로 진 단 확정 받고 해당 치아에 대하여 '충전치료'를 받거나, 보험기간 중 발생한 재해를 직접적인 원인으로 해당 치 아에 '충전치료'를 받았을 때(치아 치료 1개당 지급, 유 치ㆍ영구치 각각 연간 한도 없음) - 아말감 충전치료, 글래스아이노머 충전치료 - 레진 충전치료 - 아말감, 글래스아이노머, 레진 이외 충전치료 ※ 최초계약의 보험계약일로부터 1년 미만에 재해 이외 의 원인으로 지급사유 발생시 50% 지급","아말감 충전치료, 글래스아이노머 충전치료자금 1만원, 레진 충전치료 3만원, 아말감, 글래스아이노머, 레진 이외 충전치료자금 :5만원",50만원,17900  원,"12,900  원",,,,,,,file_17.xls,한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,주계약,17900,12900
한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,주계약,크라운치료자금,"보험기간 중 피보험자가 치과치료보장개시일 이후에 ‘치아우식증(충치)’ 또는 ‘치주질환(잇몸질환)’으로 진단 확정 받고 해당 치아에 대하여 ‘크라운치료’를 받거나, 보험기간 중 발생한 재해를 직접적인 원인으로 해당 치 아에 대하여 ‘크라운치료’를 받았을 때(치아 치료 1개 당 지급, 유치ㆍ영구치 각각 연간 한도 없음) ※ 최초계약의 보험계약일로부터 1년 미만에 재해 이외 의 원인으로 지급사유 발생시 50% 지급","최초계약의 보험계약일로부터 1년미만에 재해 이외의 원인으로 지급사유 발생시 5만원, 1년이상 재해 이외의 원인으로 지급사유 발생시 10만원",50만원,17900  원,"12,900  원",,,,,,,file_17.xls,한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,주계약,17900,12900
한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,주계약,가철성의치(틀니) 치료자금,"보험기간 중 피보험자가 치과치료보장개시일 이후에 발생한 보철치료의 대상이 되는 영구치 발거의 원인으로 영구치를 발거하고, 해당 영구치를 발거한 부위에 가철 성의치(틀니) 보철치료를 받았을 때(보철물당, 연간 1 회한) ※ 최초계약의 보험계약일로부터 2년 미만에 재해 이외 의 원인으로 지급사유 발생시 50% 지급","최초계약의 보험계약일로부터 2년미만에 재해 이외의 원인으로 지급사유 발생시 25만원, 2년이상 재해 이외의 원인으로 지급사유 발생시 50만원",50만원,17900  원,"12,900  원",,,,,,,file_17.xls,한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,주계약,17900,12900
한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,주계약,임플란트 치료자금,"보험기간 중 피보험자가 치과치료보장개시일 이후에 발생한 보철치료의 대상이 되는 영구치 발거의 원인으로 영구치를 발거하고, 해당 영구치를 발거한 부위에 임플 란트 보철치료를 받았을 때(영구치 발거 1개당 지급, 연 간 한도 없음) ※ 최초계약의 보험계약일로부터 2년 미만에 재해 이외 의 원인으로 지급사유 발생시 50% 지급","최초계약의 보험계약일로부터 2년미만에 재해 이외의 원인으로 지급사유 발생시 25만원, 2년이상 재해 이외의 원인으로 지급사유 발생시 50만원",50만원,17900  원,"12,900  원",,,,,,,file_17.xls,한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,주계약,17900,12900
한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,주계약,고정성가공의치 (브릿지) 치료자금,"보험기간 중 피보험자가 치과치료보장개시일 이후에 발생한 보철치료의 대상이 되는 영구치 발거의 원인으로 영구치를 발거하고, 해당 영구치를 발거한 부위에 고정 성가공의치(브릿지) 보철치료를 받았을 때(영구치 발거 1개당 지급, 연간 한도 없음) ※ 최초계약의 보험계약일로부터 2년 미만에 재해 이외 의 원인으로 지급사유 발생시 50% 지급","최초계약의 보험계약일로부터 2년미만에 재해 이외의 원인으로 지급사유 발생시 12만5천원, 2년이상 재해 이외의 원인으로 지급사유 발생시 25만원",50만원,17900  원,"12,900  원",,,,,,,file_17.xls,한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,주계약,17900,12900
한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,특약,크라운치료보장특약(갱신형) 무배당,"보험기간 중 피보험자가 크라운치료보장개시일 이후에 ‘치아우식증 (충치)’ 또는 ‘치주질환(잇몸질환)’으로 진단 확정 받고 해당 치아에 대하여 ‘크라운치료’를 받거나, 보험기간 중 발생한 재해를 직접적인 원인으로 해당 치아에 대하여 ‘크라운치료’를 받았을 때 (치아 치료 1개당 지급, 유치ㆍ영구치 각각 연간 한도 없음) - 1년 미만에 재해 이외의 원인으로 지급사유 발생시 50% 지급","1년미만 15만원, 1년이상 30만원",30만원,9900  원,"7,410  원",,,,,,,file_17.xls,한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,특약,9900,7410
한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,특약,재식립임플란트치료보장특약(갱신형) 무배당,"보험기간 중 보철치료보장개시일 이후에 피보험자가 주계약 약관에서 정한 임플란트 치료자금 지급사유가 발생하고, 해당 영구치의 임플란트 치료일로부터 그 날을 포함하여 1년이 지난 날의 다음 날 이후에 해당 임플란트를 제거하고 동일 부위에 재식립 임플란트 치료를 받았을 때 (동일부위 당 최초 1회를 한도로 함)",50만원,50만원,158  원,80  원,,,,,,,file_17.xls,한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,특약,158,80
한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,특약,소액치과치료보장특약(갱신형) 무배당,"영구치발거 치료자금_ 보험기간 중 피보험자가 소액치과치료보장개시일 이후에 ‘치아우식증 (충치)’또는 ‘치주질환(잇몸질환)’으로 진단 확정 받고 해당 영구치에 대하여 발거치료를 받거나, 보험기간 중 발생한 재해를 직접적인 원인 으로 해당 영구치에 대하여 발거치료를 받았을 때 (영구치 발거 1개당 지급, 연간 한도 없음) -1년 미만에 재해 이외의 원인으로 지급사유 발생시 50% 지급 ※이외 보장담보는 상품요약서 참조","최초계약의 보험계약일로부터 1년미만에 재해 이외의 원인으로 지급사유 발생시 5만원, 1년이상 재해 이외의 원인으로 지급사유 발생시 10만원",10만원,6480  원,"5,580  원",,,,,,,file_17.xls,한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,특약,6480,5580
한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,특약,충전치료보장특약(갱신형) 무배당,"보험기간 중 피보험자가 충전치료보장개시일 이후에 ‘치아우식증(충 치)’ 또는 ‘치주질환(잇몸질환)’으로 진단 확정 받고 해당 치아에 대하 여 ‘충전치료’를 받거나, 보험기간 중 발생한 재해를 직접적인 원인으 로 해당 치아에 대하여 ‘충전치료’를 받았을 때 (치아 치료 1개당 지급하며, ‘유치’ 및 ‘영구치’ 각각 연간 한도 없음)- 1년 미만에 재해 이외의 원인으로 지급사유 발생시 50% 지급","아말감 충전치료, 글래스아이노머 충전치료자금 : 1만원, 레진 충전치료자금 : 3만원, 아말감, 글래스아이노머, 레진 이외 충전치료자금 : 5만원 - 1년 미만에 재해 이외의 원인으로 지급사유 발생시 50% 지급",5만원,2100  원,"2,435  원",,,,,,,file_17.xls,한화생명,한화생명 튼튼이 치아보험(갱신형) 무배당,특약,2100,2435
ABL생명,(무)우리WON치아건강보험(갱신형),주계약,크라운치료보험금,"피보험자가 「보험기간 중 치과치료보장개시일 이후에 “치아우식증(충치)” 또는 “치주질환(잇몸질환)”을 직접적인 원인으로 “크라운치료”를 진단확정받고, 해당 치아에 대하여 “크라운치료”를 받았을 경우」 또는 「보험기간 중 발생한 재해를 직접적인 원인으로 “크라운치료”를 진단확정받고, 해당 치아에 대하여 “크라운치료”를 받았을 경우」 (다만, “치과치료”를 받은 치아 1개당 지급하며, “유치”, “영구치” 각각 연간 3개 한도로 함)","경과기간 1년미만 : 10만원, 경과기간 1년 이상 : 20만원","1,000만원",11620  원,"11,120  원",,,,,,,file_17.xls,ABL생명,(무)우리WON치아건강보험(갱신형),주계약,11620,11120
ABL생명,(무)우리WON치아건강보험(갱신형),주계약,아말감·글래스아이노머 보존치료보험금,"피보험자가 「보험기간 중 치과치료보장개시일 이후에 치아우식증(충치)” 또는 “치주질환(잇몸질환)”을 직접적인 원인으로 “보존치료”를 진단확정받고, 해당 치아에 대하여 “아말감”,“글래스아이노머”로 “보존치료”를 받았을 경우」 또는 「보험기간 중 발생한 재해를 직접적인 원인으로 “보존치료”를 진단확정받고, 해당 치아에 대하여 “아말감”, “글래스아이노머”로 “보존치료”를 받았을 경우」 (다만, “치과치료”를 받은 치아 1개당 지급하며, 연간 한도 무제한)","경과기간 1년미만 : 1만원, 경과기간 1년 이상 : 2만원","1,000만원",11620  원,"11,120  원",,,,,,,file_17.xls,ABL생명,(무)우리WON치아건강보험(갱신형),주계약,11620,11120
ABL생명,(무)우리WON치아건강보험(갱신형),주계약,레진보존치료보험금,"피보험자가 「보험기간 중 치과치료보장개시일 이후에 “치아우식증(충치)” 또는 “치주질환(잇몸질환)”을 직접적인 원인으로 “보존치료”를 진단확정받고, 해당 치아에 대하여 “레진”으로 “보존치료”를 받았을 경우」 또는 「보험기간 중 발생한 재해를 직접적인 원인으로 “보존치료”를 진단확정받고, 해당 치아에 대하여 “레진”으로 “보존치료”를 받았을 경우」 (다만, “치과치료”를 받은 치아 1개당 지급하며, 연간 한도 무제한)","경과기간 1년미만 : 5만원, 경과기간 1년 이상 : 10만원","1,000만원",11620  원,"11,120  원",,,,,,,file_17.xls,ABL생명,(무)우리WON치아건강보험(갱신형),주계약,11620,11120
ABL생명,(무)우리WON치아건강보험(갱신형),주계약,인레이·온레이 보존치료보험금,"피보험자가 「보험기간 중 치과치료보장개시일 이후에 “치아우식증(충치)” 또는 “치주질환(잇몸질환)”을 직접적인 원인으로 “보존치료”를 진단확정받고, 해당 치아에 대하여 “인레이·온레이”로 “보존치료”를 받았을 경우」 또는 「보험기간 중 발생한 재해를 직접적인 원인으로 “보존치료”를 진단확정받고, 해당 치아에 대하여 “인레이·온레이”로 “보존치료”를 받았을 경우」(다만, “치과치료”를 받은 치아 1개당 지급하며, 연간 한도 무제한)","경과기간 1년미만 : 5만원, 경과기간 1년 이상 : 10만원","1,000만원",11620  원,"11,120  원",,,,,,,file_17.xls,ABL생명,(무)우리WON치아건강보험(갱신형),주계약,11620,11120
ABL생명,(무)우리WON치아건강보험(갱신형),특약,무배당 보철치료특약Ⅲ(갱신형),"피보험자가 「보험기간 중 치과치료보장개시일 이후에 “치아우식 증(충치)” 또는 “치주질환(잇몸질환)”을 직접적인 원인으로 “영구치발치”를 진단확정 받고, 해당 영구치를 발치한 후 “가철성의치(틀니) 보철치료”를 받았을 경우」 또는 「보험기간 중 발생한 재해를 직접적인 원인으로 “영구치발치”를 진단확정받고, 해당영구치를 발치한 후 “가철성의치(틀니) 보철치료”를 받았을 경우」 (다만, 보철물당 지급하며, 연간 1회 한도로 함) [※이외 보장담보는 상품요약서 참조]","경과기간 2년미만 : 75만원, 경과기간 2년 이상 : 150만원","1,000만원",37610  원,"20,380  원",,,,,,,file_17.xls,ABL생명,(무)우리WON치아건강보험(갱신형),특약,37610,20380
ABL생명,(무)우리WON치아건강보험(갱신형),특약,무배당 크라운치료특약Ⅲ(갱신형),"피보험자가 「보험기간 중 치과치료보장개시일 이후에 “치아우식증(충치)” 또는 “치주질환(잇몸질환)”을 직접적인 원인으로 식증(충치)” 또는 “치주질환(잇몸질환)”을 직접적인 원인으로 “크라운치료”를 진단확정 받고, 해당 치아에 대하여 “크라운치료”를 받았을 경우」 또는 「보험기간 중 발생한 재해를 직접적인 원인으로 “크라운치료”를 진단확정받고, 해당 치아에 대하여 “크라운치료”를 받았을 경우」 (다만, “크라운치료”를 받은 치아 1개당 지급하며, 유치, 영구치 각각 연간 3개 한도로 함)","경과기간 1년미만: 10만원, 경과기간 1년이상 : 20만원","1,000만원",5410  원,"4,150  원",,,,,,,file_17.xls,ABL생명,(무)우리WON치아건강보험(갱신형),특약,5410,4150
ABL생명,(무)우리WON치아건강보험(갱신형),특약,무배당 보존치료특약(갱신형),"피보험자가 「보험기간 중 치과치료보장개시일 이후에 “치아우식증(충치)” 또는 “치주질환(잇몸질환)”을 직접적인 원인으로 “보존치료”를 진단확정받고, 해당 치아에 대하여“아말감”, “글래스아이노머”로 “보존치료”를 받았을 경우」 또는 「보험기간 중 발생한 재해를 직접적인 원인으로 “보존치료”를 진단확정받고, 해당 치아에 대하여 “아말감”, “글래스아이노머”로 “보존치료”를 받았을 경우」 (다만, “치과치료”를 받은 치아 1개당 지급하며, 연간 한도 무제한) [※이외 보장담보는 상품요약서 참조]","경과기간 1년미만: 0.5만원, 경과기간 1년이상 : 1만원","1,000만원",4450  원,"4,870  원",,,,,,,file_17.xls,ABL생명,(무)우리WON치아건강보험(갱신형),특약,4450,4870
