보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
삼성생명,"삼성 New플러스원 건강보험(2601)(무배당,저해약환급금형)_3종(간편고지형)",주계약,,"100만원(단, 피보험자가 계약일부터 1년 이내에 재해 이외의 원인으로 사망하였을 경우에는 보험가입금액의 50%)",100만원 원,,,2580  원,,,,,"□ 필수기재사항 1. 가입나이 : - 만15세 ~ 최대 70세 ※ 납입기간별로 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 종신 3. 보험료 예시기준 - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) □ 선택기재사항 1. 보험료 납입기간 :  - 10,15,20,30년납 2. 보험가격지수 예시기준 :  - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) 3. 플러스보장플랜 :  - 납입완료 이후부터 계약자가 선택한 플랜(사망, 시니어 또는 치아)을 추가보장  ※ 보다 자세한 내용은 상품요약서 및 기초서류 참고",,file_10.xls,삼성생명,"삼성 New플러스원 건강보험(2601)(무배당,저해약환급금형)_3종(간편고지형)",주계약,사망보험금,피보험자가 보험기간 중 사망하였을 경우,"100만원(단, 피보험자가 계약일부터 1년 이내에 재해 이외의 원인으로 사망하였을 경우에는 보험가입금액의 50%)",100만원 원,2580  원,"2,290  원",2.15%,-,-,108.30%,109.70%,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,비갱신형,비유니버셜,대면채널,2026-02-10,"□ 필수기재사항 1. 가입나이 : - 만15세 ~ 최대 70세 ※ 납입기간별로 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 종신 3. 보험료 예시기준 - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) □ 선택기재사항 1. 보험료 납입기간 :  - 10,15,20,30년납 2. 보험가격지수 예시기준 :  - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) 3. 플러스보장플랜 :  - 납입완료 이후부터 계약자가 선택한 플랜(사망, 시니어 또는 치아)을 추가보장  ※ 보다 자세한 내용은 상품요약서 및 기초서류 참고",1588-3114
삼성생명,"삼성 New플러스원 건강보험(2601)(무배당,저해약환급금형)_3종(간편고지형)",특약,,,1년초과 200만원 / 1년 이내 100만원,,,1254  원,,,,,"□ 필수기재사항 1. 가입나이 : - 만15세 ~ 최대 70세 ※ 납입기간별로 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 종신 3. 보험료 예시기준 - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) □ 선택기재사항 1. 보험료 납입기간 :  - 10,15,20,30년납 2. 보험가격지수 예시기준 :  - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) 3. 플러스보장플랜 :  - 납입완료 이후부터 계약자가 선택한 플랜(사망, 시니어 또는 치아)을 추가보장  ※ 보다 자세한 내용은 상품요약서 및 기초서류 참고",,file_10.xls,삼성생명,"삼성 New플러스원 건강보험(2601)(무배당,저해약환급금형)_3종(간편고지형)",특약,"소액질병진단특약T(무배당,저해약환급금형)","피보험자가 이 특약의 보험기간 중 ""초기유방암"", ""양성뇌종양"", ""경계성종양"", ""중증 이외 갑상선암"", ""제자리암"", ""기타피부암"", ""비침습 방광암"" 또는 ""대장점막내암""으로 진단이 확정되었을 때 (각 1회한)",1년초과 200만원 / 1년 이내 100만원,200만원 원,1254  원,"2,630  원",2.15%,-,-,108.30%,109.70%,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,비갱신형,비유니버셜,대면채널,2026-02-10,"□ 필수기재사항 1. 가입나이 : - 만15세 ~ 최대 70세 ※ 납입기간별로 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 종신 3. 보험료 예시기준 - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) □ 선택기재사항 1. 보험료 납입기간 :  - 10,15,20,30년납 2. 보험가격지수 예시기준 :  - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) 3. 플러스보장플랜 :  - 납입완료 이후부터 계약자가 선택한 플랜(사망, 시니어 또는 치아)을 추가보장  ※ 보다 자세한 내용은 상품요약서 및 기초서류 참고",1588-3114
삼성생명,"삼성 New플러스원 건강보험(2601)(무배당,저해약환급금형)_3종(간편고지형)",특약,,,"1년초과 1,000만원 / 90일 초과 1년 이내 500만원 / 90일 이내 100만원",,,16040  원,,,,,"□ 필수기재사항 1. 가입나이 : - 만15세 ~ 최대 70세 ※ 납입기간별로 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 종신 3. 보험료 예시기준 - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) □ 선택기재사항 1. 보험료 납입기간 :  - 10,15,20,30년납 2. 보험가격지수 예시기준 :  - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) 3. 플러스보장플랜 :  - 납입완료 이후부터 계약자가 선택한 플랜(사망, 시니어 또는 치아)을 추가보장  ※ 보다 자세한 내용은 상품요약서 및 기초서류 참고",,file_10.xls,삼성생명,"삼성 New플러스원 건강보험(2601)(무배당,저해약환급금형)_3종(간편고지형)",특약,"뇌혈관질환진단특약T(무배당,저해약환급금형)","피보험자가 이 특약의 보험기간 중 ""뇌혈관질환""으로 진단이 확정되었을 때 (최초1회한)","1년초과 1,000만원 / 90일 초과 1년 이내 500만원 / 90일 이내 100만원",1000만원 원,16040  원,"11,660  원",2.15%,-,-,108.30%,109.70%,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,비갱신형,비유니버셜,대면채널,2026-02-10,"□ 필수기재사항 1. 가입나이 : - 만15세 ~ 최대 70세 ※ 납입기간별로 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 종신 3. 보험료 예시기준 - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) □ 선택기재사항 1. 보험료 납입기간 :  - 10,15,20,30년납 2. 보험가격지수 예시기준 :  - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) 3. 플러스보장플랜 :  - 납입완료 이후부터 계약자가 선택한 플랜(사망, 시니어 또는 치아)을 추가보장  ※ 보다 자세한 내용은 상품요약서 및 기초서류 참고",1588-3114
삼성생명,"삼성 New플러스원 건강보험(2601)(무배당,저해약환급금형)_3종(간편고지형)",특약,,,"1년초과 1,000만원 / 90일 초과 1년 이내 500만원 / 90일 이내 100만원",,,11700  원,,,,,"□ 필수기재사항 1. 가입나이 : - 만15세 ~ 최대 70세 ※ 납입기간별로 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 종신 3. 보험료 예시기준 - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) □ 선택기재사항 1. 보험료 납입기간 :  - 10,15,20,30년납 2. 보험가격지수 예시기준 :  - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) 3. 플러스보장플랜 :  - 납입완료 이후부터 계약자가 선택한 플랜(사망, 시니어 또는 치아)을 추가보장  ※ 보다 자세한 내용은 상품요약서 및 기초서류 참고",,file_10.xls,삼성생명,"삼성 New플러스원 건강보험(2601)(무배당,저해약환급금형)_3종(간편고지형)",특약,"허혈심장질환진단특약T(무배당,저해약환급금형)","피보험자가 이 특약의 보험기간 중 ""허혈심장질환""으로 진단이 확정되었을 때 (최초1회한)","1년초과 1,000만원 / 90일 초과 1년 이내 500만원 / 90일 이내 100만원",1000만원 원,11700  원,"7,200  원",2.15%,-,-,108.30%,109.70%,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,비갱신형,비유니버셜,대면채널,2026-02-10,"□ 필수기재사항 1. 가입나이 : - 만15세 ~ 최대 70세 ※ 납입기간별로 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 종신 3. 보험료 예시기준 - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) □ 선택기재사항 1. 보험료 납입기간 :  - 10,15,20,30년납 2. 보험가격지수 예시기준 :  - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) 3. 플러스보장플랜 :  - 납입완료 이후부터 계약자가 선택한 플랜(사망, 시니어 또는 치아)을 추가보장  ※ 보다 자세한 내용은 상품요약서 및 기초서류 참고",1588-3114
삼성생명,"삼성 New플러스원 건강보험(2601)(무배당,저해약환급금형)_3종(간편고지형)",특약,,보험자가 이 특약의 보험기간 중 질병 또는 재해로 인하여 그 직접적인 치료를 목적으로 1일이상 계속 입우너 시 입원일수 1일단(1회 입원당 120일한도),"1만원(단, 재해 이외의 원인으로 인한 경우 1년 이내에는 50% 삭감 지급)",,,6830  원,,,,,"□ 필수기재사항 1. 가입나이 : - 만15세 ~ 최대 70세 ※ 납입기간별로 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 종신 3. 보험료 예시기준 - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) □ 선택기재사항 1. 보험료 납입기간 :  - 10,15,20,30년납 2. 보험가격지수 예시기준 :  - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) 3. 플러스보장플랜 :  - 납입완료 이후부터 계약자가 선택한 플랜(사망, 시니어 또는 치아)을 추가보장  ※ 보다 자세한 내용은 상품요약서 및 기초서류 참고",,file_10.xls,삼성생명,"삼성 New플러스원 건강보험(2601)(무배당,저해약환급금형)_3종(간편고지형)",특약,"신입원특약T(무배당,저해약환급금형)",보험자가 이 특약의 보험기간 중 질병 또는 재해로 인하여 그 직접적인 치료를 목적으로 1일이상 계속 입우너 시 입원일수 1일단(1회 입원당 120일한도),"1만원(단, 재해 이외의 원인으로 인한 경우 1년 이내에는 50% 삭감 지급)",1만원 원,6830  원,"8,620  원",2.15%,-,-,108.30%,109.70%,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,비갱신형,비유니버셜,대면채널,2026-02-10,"□ 필수기재사항 1. 가입나이 : - 만15세 ~ 최대 70세 ※ 납입기간별로 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 종신 3. 보험료 예시기준 - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) □ 선택기재사항 1. 보험료 납입기간 :  - 10,15,20,30년납 2. 보험가격지수 예시기준 :  - 주보험 보험가입금액 100만원, 40세, 종신, 20년납, 월납, 3종 1형(간편고지형 3.10.5) 3. 플러스보장플랜 :  - 납입완료 이후부터 계약자가 선택한 플랜(사망, 시니어 또는 치아)을 추가보장  ※ 보다 자세한 내용은 상품요약서 및 기초서류 참고",1588-3114
미래에셋생명,M-케어 건강보험(3.10.5 간편고지) 무배당 [기본형],주계약,,"보험가입금액 ※ 보험기간 중 피보험자에게 사망보험금 지급사유가 발생한 경우에는 해당 보험금과 """"이미 납입한보험료"""" 중 큰 금액을 지급합니다","1,000만원",,,23580  원,,,,,"1. 보험기간 : 90세 만기, 종신 2. 보험종류 : 기본형, 해약환급금이 없는 유형 3. 가입나이 : 만15세 ~ 75세 4. 납입기간 : 10,15,20,25,30년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 7. 주계약 보험료 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 8. 특약 보험기간, 납입기간 : 종신, 20년납 9. 특이사항 : 「M-케어 건강보험(3.10.5 간편고지) 무배당」은 고지유형 세분화를 통해 일반심사보험에 가입이 어려운 유병자에게 합리적인 보험료로 종합적인 보장을 제공하는 상품입니다.",,file_10.xls,미래에셋생명,M-케어 건강보험(3.10.5 간편고지) 무배당 [기본형],주계약,사망보험금,피보험자가 보험기간 중 사망한 경우,"보험가입금액 ※ 보험기간 중 피보험자에게 사망보험금 지급사유가 발생한 경우에는 해당 보험금과 """"이미 납입한보험료"""" 중 큰 금액을 지급합니다","1,000만원",23580  원,"20,520  원",2.75%,-,-,90.90%,86.90%,-,-,-,-,기본형,일반,-,-,-,-,비갱신형,비유니버셜,대면채널  기타,2026-01-01,"1. 보험기간 : 90세 만기, 종신 2. 보험종류 : 기본형, 해약환급금이 없는 유형 3. 가입나이 : 만15세 ~ 75세 4. 납입기간 : 10,15,20,25,30년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 7. 주계약 보험료 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 8. 특약 보험기간, 납입기간 : 종신, 20년납 9. 특이사항 : 「M-케어 건강보험(3.10.5 간편고지) 무배당」은 고지유형 세분화를 통해 일반심사보험에 가입이 어려운 유병자에게 합리적인 보험료로 종합적인 보장을 제공하는 상품입니다.",1588-0220
미래에셋생명,M-케어 건강보험(3.10.5 간편고지) 무배당 [기본형],특약,,"피보험자가 이 특약의 보험기간 중 ‘뇌혈관질환’으로 진단확정된 경우 (다만, 최초 1회에 한하여 지급)","1,000만원",,,15540  원,,,,,"1. 보험기간 : 90세 만기, 종신 2. 보험종류 : 기본형, 해약환급금이 없는 유형 3. 가입나이 : 만15세 ~ 75세 4. 납입기간 : 10,15,20,25,30년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 7. 주계약 보험료 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 8. 특약 보험기간, 납입기간 : 종신, 20년납 9. 특이사항 : 「M-케어 건강보험(3.10.5 간편고지) 무배당」은 고지유형 세분화를 통해 일반심사보험에 가입이 어려운 유병자에게 합리적인 보험료로 종합적인 보장을 제공하는 상품입니다.",,file_10.xls,미래에셋생명,M-케어 건강보험(3.10.5 간편고지) 무배당 [기본형],특약,뇌혈관질환진단특약(3.10.5 간편고지) [기본형],"피보험자가 이 특약의 보험기간 중 ‘뇌혈관질환’으로 진단확정된 경우 (다만, 최초 1회에 한하여 지급)",최초 계약일로부터 1년 미만 : 이 특약 보험가입금액의 50% 최초 계약일로부터 1년 이후 : 이 특약 보험가입금액의 100%,"1,000만원",15540  원,"15,510  원",2.75%,-,-,90.90%,86.90%,-,-,-,-,기본형,일반,-,-,-,-,비갱신형,비유니버셜,대면채널  기타,2026-01-01,"1. 보험기간 : 90세 만기, 종신 2. 보험종류 : 기본형, 해약환급금이 없는 유형 3. 가입나이 : 만15세 ~ 75세 4. 납입기간 : 10,15,20,25,30년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 7. 주계약 보험료 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 8. 특약 보험기간, 납입기간 : 종신, 20년납 9. 특이사항 : 「M-케어 건강보험(3.10.5 간편고지) 무배당」은 고지유형 세분화를 통해 일반심사보험에 가입이 어려운 유병자에게 합리적인 보험료로 종합적인 보장을 제공하는 상품입니다.",1588-0220
미래에셋생명,M-케어 건강보험(3.10.5 간편고지) 무배당 [기본형],특약,,"피보험자가 이 특약의 보험기간 중 ‘급성심근경색증’으로 진단 확정된 경우 (다만, 최초 1회에 한하여 지급)","1,000만원",,,4560  원,,,,,"1. 보험기간 : 90세 만기, 종신 2. 보험종류 : 기본형, 해약환급금이 없는 유형 3. 가입나이 : 만15세 ~ 75세 4. 납입기간 : 10,15,20,25,30년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 7. 주계약 보험료 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 8. 특약 보험기간, 납입기간 : 종신, 20년납 9. 특이사항 : 「M-케어 건강보험(3.10.5 간편고지) 무배당」은 고지유형 세분화를 통해 일반심사보험에 가입이 어려운 유병자에게 합리적인 보험료로 종합적인 보장을 제공하는 상품입니다.",,file_10.xls,미래에셋생명,M-케어 건강보험(3.10.5 간편고지) 무배당 [기본형],특약,급성심근경색증진단특약(3.10.5 간편고지) [기본형],"피보험자가 이 특약의 보험기간 중 ‘급성심근경색증’으로 진단 확정된 경우 (다만, 최초 1회에 한하여 지급)",최초 계약일로부터 1년 미만 : 이 특약 보험가입금액의 50% 최초 계약일로부터 1년 이후 : 이 특약 보험가입금액의 100%,"1,000만원",4560  원,"1,780  원",2.75%,-,-,90.90%,86.90%,-,-,-,-,기본형,일반,-,-,-,-,비갱신형,비유니버셜,대면채널  기타,2026-01-01,"1. 보험기간 : 90세 만기, 종신 2. 보험종류 : 기본형, 해약환급금이 없는 유형 3. 가입나이 : 만15세 ~ 75세 4. 납입기간 : 10,15,20,25,30년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 7. 주계약 보험료 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 8. 특약 보험기간, 납입기간 : 종신, 20년납 9. 특이사항 : 「M-케어 건강보험(3.10.5 간편고지) 무배당」은 고지유형 세분화를 통해 일반심사보험에 가입이 어려운 유병자에게 합리적인 보험료로 종합적인 보장을 제공하는 상품입니다.",1588-0220
미래에셋생명,M-케어 건강보험(3.10.5 간편고지) 무배당 [기본형],특약,,"피보험자가 이 특약의 보험기간 중 암보장개시일 이후에 ‘암’으로 진단확정된 경우 (다만, 최초 1회에 한하여 지급)","1,000만원",,,18390  원,,,,,"1. 보험기간 : 90세 만기, 종신 2. 보험종류 : 기본형, 해약환급금이 없는 유형 3. 가입나이 : 만15세 ~ 75세 4. 납입기간 : 10,15,20,25,30년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 7. 주계약 보험료 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 8. 특약 보험기간, 납입기간 : 종신, 20년납 9. 특이사항 : 「M-케어 건강보험(3.10.5 간편고지) 무배당」은 고지유형 세분화를 통해 일반심사보험에 가입이 어려운 유병자에게 합리적인 보험료로 종합적인 보장을 제공하는 상품입니다.",,file_10.xls,미래에셋생명,M-케어 건강보험(3.10.5 간편고지) 무배당 [기본형],특약,암(유사암제외)진단특약(3.10.5 간편고지) [기본형],"피보험자가 이 특약의 보험기간 중 암보장개시일 이후에 ‘암’으로 진단확정된 경우 (다만, 최초 1회에 한하여 지급)",최초 계약일로부터 1년 미만 : 이 특약 보험가입금액의 50% 최초 계약일로부터 1년 이후 : 이 특약 보험가입금액의 100%,"1,000만원",18390  원,"15,440  원",2.75%,-,-,90.90%,86.90%,-,-,-,-,기본형,일반,-,-,-,-,비갱신형,비유니버셜,대면채널  기타,2026-01-01,"1. 보험기간 : 90세 만기, 종신 2. 보험종류 : 기본형, 해약환급금이 없는 유형 3. 가입나이 : 만15세 ~ 75세 4. 납입기간 : 10,15,20,25,30년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 7. 주계약 보험료 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 8. 특약 보험기간, 납입기간 : 종신, 20년납 9. 특이사항 : 「M-케어 건강보험(3.10.5 간편고지) 무배당」은 고지유형 세분화를 통해 일반심사보험에 가입이 어려운 유병자에게 합리적인 보험료로 종합적인 보장을 제공하는 상품입니다.",1588-0220
미래에셋생명,M-케어 건강보험(3.10.5 간편고지) 무배당 [기본형],특약,,,"1,000만원",,,18500  원,,,,,"1. 보험기간 : 90세 만기, 종신 2. 보험종류 : 기본형, 해약환급금이 없는 유형 3. 가입나이 : 만15세 ~ 75세 4. 납입기간 : 10,15,20,25,30년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 7. 주계약 보험료 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 8. 특약 보험기간, 납입기간 : 종신, 20년납 9. 특이사항 : 「M-케어 건강보험(3.10.5 간편고지) 무배당」은 고지유형 세분화를 통해 일반심사보험에 가입이 어려운 유병자에게 합리적인 보험료로 종합적인 보장을 제공하는 상품입니다.",,file_10.xls,미래에셋생명,M-케어 건강보험(3.10.5 간편고지) 무배당 [기본형],특약,1-7종수술특약(급여)(3.10.5 간편고지) [기본형],"피보험자가 이 특약의 보험기간 중 약관에서 정하는 ‘수술 보장 대상 질병 또는 재해’로 약관에서 정하는 ‘1-7종 수술분류표’에 해당하는 수술을 받은 경우 (1회의 입원당 1회의 수술 또는 1회의 통원(1일 1회의 통원에 한함)당 1회의 수술에 한하여 보장하며, 하나의 수술코드 당 연간 1회에 한하여 보장)",1종 : 이 특약 보험가입금액의 1% 2종 : 이 특약 보험가입금액의 2% 3종 : 이 특약 보험가입금액의 3% 4종 : 이 특약 보험가입금액의 5% 5종 : 이 특약 보험가입금액의 10% 6종 : 이 특약 보험가입금액의 30% 7종 : 이 특약 보험가입금액의 50%,"1,000만원",18500  원,"16,700  원",2.75%,-,-,90.90%,86.90%,-,-,-,-,기본형,일반,-,-,-,-,비갱신형,비유니버셜,대면채널  기타,2026-01-01,"1. 보험기간 : 90세 만기, 종신 2. 보험종류 : 기본형, 해약환급금이 없는 유형 3. 가입나이 : 만15세 ~ 75세 4. 납입기간 : 10,15,20,25,30년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 7. 주계약 보험료 산출기준 : 기본형, 가입금액 1,000만원, 40세, 종신, 20년납, 월납 8. 특약 보험기간, 납입기간 : 종신, 20년납 9. 특이사항 : 「M-케어 건강보험(3.10.5 간편고지) 무배당」은 고지유형 세분화를 통해 일반심사보험에 가입이 어려운 유병자에게 합리적인 보험료로 종합적인 보장을 제공하는 상품입니다.",1588-0220
