Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,source_file,Col_26,Col_27,Col_28,Col_29
ABL생명,(무)우리WON건강N더보장종합보험(일반심사형),주계약,사망보험금 + 사망보험금 + 사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,100만원,"7,440 원","6,540 원",2.50 %,-,-,95.8 %,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,file_10.xls,,,,
ABL생명,(무)우리WON건강N더보장종합보험(해약환급금 미지급형)(일반심사형),주계약,사망보험금 + 사망보험금 + 사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,100만원,"6,420 원","5,550 원",2.50 %,-,-,118.6 %,117.3 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,,비유니버셜,file_10.xls,,,,
ABL생명,(무)우리WON톡톡튀는여성건강보험(해약환급금 미지급형)(일반심사형),주계약,사망보험금 + 사망보험금 + 사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,100만원,0 원,"5,550 원",2.50 %,-,-,-,117.3 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,,비유니버셜,file_10.xls,,,,
ABL생명,(무)우리WON톡톡튀는여성건강보험(일반심사형),주계약,사망보험금 + 사망보험금 + 사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,100만원,0 원,"6,540 원",2.50 %,-,-,-,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,file_10.xls,,,,
ABL생명,(무)우리WON건강환급보험,주계약,사망보험금 + 사망보험금 + 사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,200만원 원,"14,880 원","13,080 원",2.50 %,-,-,103.7 %,101.7 %,-,-,-,-,기본형,일반,-,-,-,-,비갱신형,비유니버셜,file_10.xls,,,,
삼성생명,"삼성 더블보장보험(2601)(무배당,보증비용부과형)(저해약환급급형) 1종 1형",주계약,사망보험금 + 사망보험금 + 사망보험금,지급사유별 상이(상품요약서 참고),지급사유별 상이(상품요약서 참고),1억원,"1,677,000 원","1,449,000 원",-,2.05 %,"가입후 10년 이내 1.0%, 10년 초과 0.5%",178.2 %,185.9 %,-,-,-,-,기본형,무해지/저해지환급,보증,매년 주보험 계약자적립액의 0.1%(매월 0.00833333%),보증,주보험 납입보험료의 0.2% + 매년 주보험 계약자적립액의 0.15%(매월 0.0125%),,비유니버셜,file_10.xls,,,,
삼성생명,"삼성 New플러스원 건강보험(2601)(무배당,저해약환급금형)_1종(건강고지형)",주계약,사망보험금 + 사망보험금 + 사망보험금,피보험자가 보험기간 중 사망하였을 경우,100만원,100만원 원,"6,840 원","6,150 원",2.15 %,-,-,110.1 %,111.0 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,비갱신형,비유니버셜,file_10.xls,,,,
삼성생명,"삼성 New플러스원 건강보험(2601)(무배당,저해약환급금형)_2종(일반고지형)",주계약,사망보험금 + 사망보험금 + 사망보험금,피보험자가 보험기간 중 사망하였을 경우,100만원,100만원 원,"7,350 원","6,660 원",2.15 %,-,-,111.2 %,111.2 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,비갱신형,비유니버셜,file_10.xls,,,,
교보생명,교보3밸런스보장보험 PLUS (무배당),주계약,사망보험금 + 사망보험금 + 사망보험금,피보험자가 보험기간 중 사망하였을 경우,기본보험금액의 100% + 추가계약자적립액,"10,000만원","1,362,000 원","1,314,000 원",2.50 %,-,-,213.1 %,231.5 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,,비유니버셜,file_10.xls,,,,
교보생명,교보3밸런스보장보험 PLUS [D](무배당),주계약,사망보험금 + 사망보험금 + 사망보험금,피보험자가 보험기간 중 사망하였을 경우,기본보험금액의 100% + 추가계약자적립액,"10,000만원","1,362,000 원","1,314,000 원",2.50 %,-,-,213.1 %,231.5 %,-,-,-,-,기본형,무해지/저해지환급,-,-,-,-,,비유니버셜,file_10.xls,,,,
