보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
AIG손보,무배당 AIG 꼭 필요한 상해보험2604(1종) (월납),종합,주계약 및 특약 합산,교통사고로 인한 상해로 직접결과로써 약관에서 정한 장해지급률이 3%~100%에 해당하는 장해상태인 경우,보험가입금액에 약관 장해분류표에서 정한 후유장해지급률을 곱하여 지급,보험가입금액에 약관 장해분류표에서 정한 후유장해지급률을 곱하여 지급,"7,342 원","4,438 원",,비갱신형,,,,,file_47.xls,,AIG손보,무배당 AIG 꼭 필요한 상해보험2604(1종),[갱신형]교통상해후유장해(3~100%),교통사고로 인한 상해로 직접결과로써 약관에서 정한 장해지급률이 3%~100%에 해당하는 장해상태인 경우,보험가입금액에 약관 장해분류표에서 정한 후유장해지급률을 곱하여 지급,"7,342","4,438",168.6,177.1,,,,,,,,,,,,,,,,,,,,
AIG손보,무배당 AIG 꼭 필요한 상해보험2604(2종) (월납),종합,주계약 및 특약 합산,교통사고로 인한 상해로 직접결과로써 약관에서 정한 장해지급률이 3%~100%에 해당하는 장해상태인 경우,보험가입금액에 약관 장해분류표에서 정한 후유장해지급률을 곱하여 지급,보험가입금액에 약관 장해분류표에서 정한 후유장해지급률을 곱하여 지급,"12,272 원","8,458 원",,비갱신형,,,,,file_47.xls,,AIG손보,무배당 AIG 꼭 필요한 상해보험2604(2종),[갱신형]교통상해후유장해(3~100%),교통사고로 인한 상해로 직접결과로써 약관에서 정한 장해지급률이 3%~100%에 해당하는 장해상태인 경우,보험가입금액에 약관 장해분류표에서 정한 후유장해지급률을 곱하여 지급,"12,272","8,458",191.4,223.2,,,,,,,,,,,,,,,,,,,,
AIG손보,무배당 AIG 꼭 필요한 상해종합보험2604 (월납),종합,주계약 및 특약 합산,교통사고로 인한 상해로 직접결과로써 약관에서 정한 장해지급률이 3%~100%에 해당하는 장해상태인 경우,보험가입금액에 약관 장해분류표에서 정한 후유장해지급률을 곱하여 지급,보험가입금액에 약관 장해분류표에서 정한 후유장해지급률을 곱하여 지급,"12,272 원","8,458 원",,비갱신형,,,,,file_47.xls,,AIG손보,무배당 AIG 꼭 필요한 상해종합보험2604,[갱신형]교통상해후유장해(3~100%),교통사고로 인한 상해로 직접결과로써 약관에서 정한 장해지급률이 3%~100%에 해당하는 장해상태인 경우,보험가입금액에 약관 장해분류표에서 정한 후유장해지급률을 곱하여 지급,"12,272","8,458",191.4,223.2,,,,,,,,,,,,,,,,,,,,
AIG손보,무배당 AIG 참쉬운상해보험2604 (월납),종합,주계약 및 특약 합산,보험기간 중에 상해의 직접적인 결과로써 장해지급률이 80%이상에 해당하는 장해상태인 경우,보험가입금액,보험가입금액,"11,932 원","8,143 원",,비갱신형,,,,,file_47.xls,,AIG손보,무배당 AIG 참쉬운상해보험2604,[갱신형]상해80%이상고도후유장해,보험기간 중에 상해의 직접적인 결과로써 장해지급률이 80%이상에 해당하는 장해상태인 경우,보험가입금액,"11,932","8,143",142.0,138.0,,,,,,,,,,,,,,,,,,,,
AXA손보,(무)AXA간편상해보험2604 (월납),종합,주계약 및 특약 합산,보험기간 중에 발생한 상해의 직접결과로써 사망한 경우,보험가입금액의 100%,보험가입금액의 100%,"7,440 원","4,630 원",,비갱신형,,,,,file_47.xls,,AXA손보,(무)AXA간편상해보험2604,상해사망(간편고지),보험기간 중에 발생한 상해의 직접결과로써 사망한 경우,보험가입금액의 100%,"7,440","4,630",217.7,252.2,,,,,,,,,,,,,,,,,,,,
DB손보,(무)New상해안심보험2604((금리연동형)고급플랜) (월납),종합,주계약 및 특약 합산,피보험자가 해당담보의 보험기간 중 급격하고도 우연한 외래의 사고로 신체에 상해를 입고 그 직접결과로써 사망한 경우,보험가입금액(1억원),보험가입금액(1억원),"8,000 원","4,300 원",,비갱신형,,,,,file_47.xls,,DB손보,(무)New상해안심보험2604((금리연동형)고급플랜),상해사망,피보험자가 해당담보의 보험기간 중 급격하고도 우연한 외래의 사고로 신체에 상해를 입고 그 직접결과로써 사망한 경우,보험가입금액(1억원),"8,000","4,300",122,127.5,,,,,,,,,,,,,,,,,,,,
DB손보,(무)New상해안심보험2604((금리연동형)종합플랜) (월납),종합,주계약 및 특약 합산,피보험자가 보험기간 중 상해사고로 골절진단을 받은 경우 가입금액 지급,보험가입금액(30만원),보험가입금액(30만원),"20,373 원","14,428 원",,비갱신형,,,,,file_47.xls,,DB손보,(무)New상해안심보험2604((금리연동형)종합플랜),골절진단비(치아포함),피보험자가 보험기간 중 상해사고로 골절진단을 받은 경우 가입금액 지급,보험가입금액(30만원),"15,679","12,233",107.4,108.1,,,,,,,,,,,,,,,,,,,,
DB손보,(무)New상해안심보험2604((금리확정형)고급플랜) (월납),종합,주계약 및 특약 합산,피보험자가 해당담보의 보험기간 중 급격하고도 우연한 외래의 사고로 신체에 상해를 입고 그 직접결과로써 사망한 경우,보험가입금액(1억원),보험가입금액(1억원),"4,500 원","2,600 원",,비갱신형,,,,,file_47.xls,,DB손보,(무)New상해안심보험2604((금리확정형)고급플랜),상해사망,피보험자가 해당담보의 보험기간 중 급격하고도 우연한 외래의 사고로 신체에 상해를 입고 그 직접결과로써 사망한 경우,보험가입금액(1억원),"4,500","2,600",110.3,118.2,,,,,,,,,,,,,,,,,,,,
DB손보,(무)만상형통상해보험2604(1종) (월납),종합,주계약 및 특약 합산,"피보험자가 보험기간중 급격하고도 우연한 외래의 사고로 5대골절분류표에서 정한 5대골절(머리,목,등뼈,허리뼈, 넓적다리뼈)로 진단확정시 1사고당 가입금액을 지급",보험가입금액(100만원),보험가입금액(100만원),"13,960 원","11,140 원",,비갱신형,,,,,file_47.xls,,DB손보,(무)만상형통상해보험2604(1종),5대골절진단비,"피보험자가 보험기간중 급격하고도 우연한 외래의 사고로 5대골절분류표에서 정한 5대골절(머리,목,등뼈,허리뼈, 넓적다리뼈)로 진단확정시 1사고당 가입금액을 지급",보험가입금액(100만원),"13,960","11,140",131.7,149.6,,,,,,,,,,,,,,,,,,,,
DB손보,(무)만상형통상해보험2604(2종) (월납),종합,주계약 및 특약 합산,"피보험자가 보험기간중 급격하고도 우연한 외래의 사고로 5대골절분류표에서 정한 5대골절(머리,목,등뼈,허리뼈, 넓적다리뼈)로 진단확정시 1사고당 가입금액을 지급",보험가입금액(100만원),보험가입금액(100만원),"26,030 원","22,440 원",,비갱신형,,,,,file_47.xls,,DB손보,(무)만상형통상해보험2604(2종),5대골절진단비,"피보험자가 보험기간중 급격하고도 우연한 외래의 사고로 5대골절분류표에서 정한 5대골절(머리,목,등뼈,허리뼈, 넓적다리뼈)로 진단확정시 1사고당 가입금액을 지급",보험가입금액(100만원),"26,030","22,440",103.6,118.4,,,,,,,,,,,,,,,,,,,,
KB손보,CEO안심상해보험Ⅱ(무배당)(26.05)_1종 (월납),종합,주계약 및 특약 합산,"보험기간 중 일반상해사고로 사망, 20~100% 후유장해시","보험가입금액 (단, 후유장해는 장해지급률을 곱한 금액을 지급)","보험가입금액 (단, 후유장해는 장해지급률을 곱한 금액을 지급)","2,800 원","1,700 원",,비갱신형,,,,,file_47.xls,,KB손보,CEO안심상해보험Ⅱ(무배당)(26.05)_1종,일반상해사망후유장해(20~100%),"보험기간 중 일반상해사고로 사망, 20~100% 후유장해시","보험가입금액 (단, 후유장해는 장해지급률을 곱한 금액을 지급)","2,800","1,700",83.5,89.2,,,,,,,,,,,,,,,,,,,,
KB손보,CEO안심상해보험Ⅱ(무배당)(26.05)_2종 (월납),종합,주계약 및 특약 합산,보험기간 중 일반상해사고로 50%이상 후유장해시,보험가입금액(최초1회한),보험가입금액(최초1회한),"3,700 원","2,100 원",,비갱신형,,,,,file_47.xls,,KB손보,CEO안심상해보험Ⅱ(무배당)(26.05)_2종,일반상해50%이상후유장해,보험기간 중 일반상해사고로 50%이상 후유장해시,보험가입금액(최초1회한),"3,700","2,100",81.9,89.5,,,,,,,,,,,,,,,,,,,,
KB손보,CEO안심상해보험Ⅱ(무배당)(26.05)_3종 (월납),종합,주계약 및 특약 합산,보험기간 중 상해로 수술시,보험가입금액(수술 1회당),보험가입금액(수술 1회당),"4,347 원","2,618 원",,비갱신형,,,,,file_47.xls,,KB손보,CEO안심상해보험Ⅱ(무배당)(26.05)_3종,상해수술비,보험기간 중 상해로 수술시,보험가입금액(수술 1회당),"4,347","2,618",84.5,98,,,,,,,,,,,,,,,,,,,,
KB손보,KB VIP상해보험(무배당)(26.01) (월납),종합,주계약 및 특약 합산,보험기간 중 일반상해사고로 80% 이상 후유장해시,보험가입금액(최초1회한),보험가입금액(최초1회한),"74,100 원","35,400 원",,비갱신형,,,,,file_47.xls,,KB손보,KB VIP상해보험(무배당)(26.01),일반상해80%이상후유장해,보험기간 중 일반상해사고로 80% 이상 후유장해시,보험가입금액(최초1회한),"74,100","35,400",106.1,120.7,,,,,,,,,,,,,,,,,,,,
KB손보,KB 다치면 보장받는 플러스 상해보험(무배당)(26.01)_1종(연만기 자동갱신형) (월납),종합,주계약 및 특약 합산,보험기간중 상해를 입고 그 직접적인 결과로 수술시,가입금액(1사고당),가입금액(1사고당),"358,554 원","266,084 원",,갱신형,,,,,file_47.xls,,KB손보,KB 다치면 보장받는 플러스 상해보험(무배당)(26.01)_1종(연만기 자동갱신형),상해수술비,보험기간중 상해를 입고 그 직접적인 결과로 수술시,가입금액(1사고당),"21,024","17,094",116.7,135.1,,,,,,,,,,,,,,,,,,,,
KB손보,KB 다치면 보장받는 플러스 상해보험(무배당)(26.01)_2종(세만기) (월납),종합,주계약 및 특약 합산,보험기간중 상해를 입고 그 직접적인 결과로 수술시,가입금액(1사고당),가입금액(1사고당),"47,893 원","46,570 원",,비갱신형,,,,,file_47.xls,,KB손보,KB 다치면 보장받는 플러스 상해보험(무배당)(26.01)_2종(세만기),상해수술비,보험기간중 상해를 입고 그 직접적인 결과로 수술시,가입금액(1사고당),"47,893","46,570",109.3,131.6,,,,,,,,,,,,,,,,,,,,
