보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25
DB생명,(무)e로운 뇌혈관질환보장보험(해약환급금 미지급형)(2601),주계약,뇌혈관질환 진단자금,"보험기간 중 피보험자가 뇌혈관질환으로 진단이 확정되었을 경우(최초 1회한) (다만, 보험계약일로부터 1년미만 지급사유 발생시 해당 진단자금의 50% 지급)","2,000만원","2,000만원",23000  원,"20,600  원",,,,,,,file_12.xls,DB생명,(무)e로운 뇌혈관질환보장보험(해약환급금 미지급형)(2601),주계약,뇌혈관질환 진단자금,"보험기간 중 피보험자가 뇌혈관질환으로 진단이 확정되었을 경우(최초 1회한) (다만, 보험계약일로부터 1년미만 지급사유 발생시 해당 진단자금의 50% 지급)","2,000만원","2,000만원",23000  원,"20,600  원",2.75 %,-,-,108.2 %,101.9 %,-,-,-,-,기타,무해지/저해지환급,비갱신형,비유니버셜,CM,2026-01-01,"1. 보험기간 : 80,90,100세만기 2. 납입기간: 10, 15, 20, 25, 30년납 3. 가입연령 : 만19세~최고 60세 *납입기간별로 가입나이는 차이가 있을 수 있습니다. 4. 보험료 예시 기준, 보험가격지수 예시 기준: 해약환급금 미지급형, 주계약 가입금액 2,000만원, 남/여 40세, 80세만기, 20년납, 월납 ※ 기타 자세한 사항은 상품요약서 참조",1588-3131
DB생명,(무)e로운 뇌혈관질환보장보험(해약환급금 미지급형)(2601),주계약,뇌혈관질환 수술급여금,"보험기간 중 피보험자가 뇌혈관질환으로 진단이 확정되고, 그 뇌혈관질환의 직접적인 치료를 목적으로 수술을 받았을 경우(최초 1회한) (다만, 보험계약일로부터 1년미만 지급사유 발생시 해당 수술급여금의 50% 지급)","1,000만원","2,000만원",23000  원,"20,600  원",,,,,,,file_12.xls,DB생명,(무)e로운 뇌혈관질환보장보험(해약환급금 미지급형)(2601),주계약,뇌혈관질환 수술급여금,"보험기간 중 피보험자가 뇌혈관질환으로 진단이 확정되고, 그 뇌혈관질환의 직접적인 치료를 목적으로 수술을 받았을 경우(최초 1회한) (다만, 보험계약일로부터 1년미만 지급사유 발생시 해당 수술급여금의 50% 지급)","1,000만원","2,000만원",23000  원,"20,600  원",2.75 %,-,-,108.2 %,101.9 %,-,-,-,-,기타,무해지/저해지환급,비갱신형,비유니버셜,CM,2026-01-01,"1. 보험기간 : 80,90,100세만기 2. 납입기간: 10, 15, 20, 25, 30년납 3. 가입연령 : 만19세~최고 60세 *납입기간별로 가입나이는 차이가 있을 수 있습니다. 4. 보험료 예시 기준, 보험가격지수 예시 기준: 해약환급금 미지급형, 주계약 가입금액 2,000만원, 남/여 40세, 80세만기, 20년납, 월납 ※ 기타 자세한 사항은 상품요약서 참조",1588-3131
DB생명,(무)e로운 뇌혈관질환보장보험(해약환급금 미지급형)(2601),주계약,뇌혈관질환 입원급여금,"보험기간 중 피보험자가 뇌혈관질환으로 진단이 확정되고, 그 뇌혈관질환의 직접적인 치료를 목적으로 4일 이상 계속하여 입원하였을 경우(1회 입원당 120일한도)",3일초과 1일당 2만원,"2,000만원",23000  원,"20,600  원",,,,,,,file_12.xls,DB생명,(무)e로운 뇌혈관질환보장보험(해약환급금 미지급형)(2601),주계약,뇌혈관질환 입원급여금,"보험기간 중 피보험자가 뇌혈관질환으로 진단이 확정되고, 그 뇌혈관질환의 직접적인 치료를 목적으로 4일 이상 계속하여 입원하였을 경우(1회 입원당 120일한도)",3일초과 1일당 2만원,"2,000만원",23000  원,"20,600  원",2.75 %,-,-,108.2 %,101.9 %,-,-,-,-,기타,무해지/저해지환급,비갱신형,비유니버셜,CM,2026-01-01,"1. 보험기간 : 80,90,100세만기 2. 납입기간: 10, 15, 20, 25, 30년납 3. 가입연령 : 만19세~최고 60세 *납입기간별로 가입나이는 차이가 있을 수 있습니다. 4. 보험료 예시 기준, 보험가격지수 예시 기준: 해약환급금 미지급형, 주계약 가입금액 2,000만원, 남/여 40세, 80세만기, 20년납, 월납 ※ 기타 자세한 사항은 상품요약서 참조",1588-3131
DB생명,(무)e로운 뇌혈관질환보장보험(해약환급금 미지급형)(2601),주계약,뇌혈관질환 진단자금,"보험기간 중 피보험자가 뇌혈관질환으로 진단이 확정되었을 경우(최초 1회한) (다만, 보험계약일로부터 1년미만 지급사유 발생시 해당 진단자금의 50% 지급)","2,000만원","2,000만원",23000  원,"20,600  원",,,,,,,file_22.xls,DB생명,(무)e로운 뇌혈관질환보장보험(해약환급금 미지급형)(2601),주계약,뇌혈관질환 진단자금,"보험기간 중 피보험자가 뇌혈관질환으로 진단이 확정되었을 경우(최초 1회한) (다만, 보험계약일로부터 1년미만 지급사유 발생시 해당 진단자금의 50% 지급)","2,000만원","2,000만원",23000  원,"20,600  원",2.75 %,-,-,108.2 %,101.9 %,-,-,-,-,기타,무해지/저해지환급,비갱신형,비유니버셜,CM,2026-01-01,"1. 보험기간 : 80,90,100세만기 2. 납입기간: 10, 15, 20, 25, 30년납 3. 가입연령 : 만19세~최고 60세 *납입기간별로 가입나이는 차이가 있을 수 있습니다. 4. 보험료 예시 기준, 보험가격지수 예시 기준: 해약환급금 미지급형, 주계약 가입금액 2,000만원, 남/여 40세, 80세만기, 20년납, 월납 ※ 기타 자세한 사항은 상품요약서 참조",1588-3131
DB생명,(무)e로운 뇌혈관질환보장보험(해약환급금 미지급형)(2601),주계약,뇌혈관질환 수술급여금,"보험기간 중 피보험자가 뇌혈관질환으로 진단이 확정되고, 그 뇌혈관질환의 직접적인 치료를 목적으로 수술을 받았을 경우(최초 1회한) (다만, 보험계약일로부터 1년미만 지급사유 발생시 해당 수술급여금의 50% 지급)","1,000만원","2,000만원",23000  원,"20,600  원",,,,,,,file_22.xls,DB생명,(무)e로운 뇌혈관질환보장보험(해약환급금 미지급형)(2601),주계약,뇌혈관질환 수술급여금,"보험기간 중 피보험자가 뇌혈관질환으로 진단이 확정되고, 그 뇌혈관질환의 직접적인 치료를 목적으로 수술을 받았을 경우(최초 1회한) (다만, 보험계약일로부터 1년미만 지급사유 발생시 해당 수술급여금의 50% 지급)","1,000만원","2,000만원",23000  원,"20,600  원",2.75 %,-,-,108.2 %,101.9 %,-,-,-,-,기타,무해지/저해지환급,비갱신형,비유니버셜,CM,2026-01-01,"1. 보험기간 : 80,90,100세만기 2. 납입기간: 10, 15, 20, 25, 30년납 3. 가입연령 : 만19세~최고 60세 *납입기간별로 가입나이는 차이가 있을 수 있습니다. 4. 보험료 예시 기준, 보험가격지수 예시 기준: 해약환급금 미지급형, 주계약 가입금액 2,000만원, 남/여 40세, 80세만기, 20년납, 월납 ※ 기타 자세한 사항은 상품요약서 참조",1588-3131
DB생명,(무)e로운 뇌혈관질환보장보험(해약환급금 미지급형)(2601),주계약,뇌혈관질환 입원급여금,"보험기간 중 피보험자가 뇌혈관질환으로 진단이 확정되고, 그 뇌혈관질환의 직접적인 치료를 목적으로 4일 이상 계속하여 입원하였을 경우(1회 입원당 120일한도)",3일초과 1일당 2만원,"2,000만원",23000  원,"20,600  원",,,,,,,file_22.xls,DB생명,(무)e로운 뇌혈관질환보장보험(해약환급금 미지급형)(2601),주계약,뇌혈관질환 입원급여금,"보험기간 중 피보험자가 뇌혈관질환으로 진단이 확정되고, 그 뇌혈관질환의 직접적인 치료를 목적으로 4일 이상 계속하여 입원하였을 경우(1회 입원당 120일한도)",3일초과 1일당 2만원,"2,000만원",23000  원,"20,600  원",2.75 %,-,-,108.2 %,101.9 %,-,-,-,-,기타,무해지/저해지환급,비갱신형,비유니버셜,CM,2026-01-01,"1. 보험기간 : 80,90,100세만기 2. 납입기간: 10, 15, 20, 25, 30년납 3. 가입연령 : 만19세~최고 60세 *납입기간별로 가입나이는 차이가 있을 수 있습니다. 4. 보험료 예시 기준, 보험가격지수 예시 기준: 해약환급금 미지급형, 주계약 가입금액 2,000만원, 남/여 40세, 80세만기, 20년납, 월납 ※ 기타 자세한 사항은 상품요약서 참조",1588-3131
,,,뇌혈관질환진단비,「뇌혈관질환」으로 진단확정되었을 때,,,,,,,,,,,file_40.xls,,,,뇌혈관질환진단비,「뇌혈관질환」으로 진단확정되었을 때,,,,,,,,,,,,,,,,,,,,,
,,,뇌혈관질환진단비,「뇌혈관질환」으로 진단확정되었을 때,,,,,,,,,,,file_40.xls,,,,뇌혈관질환진단비,「뇌혈관질환」으로 진단확정되었을 때,,,,,,,,,,,,,,,,,,,,,
,,,뇌혈관질환진단비,「뇌혈관질환」으로 진단확정되었을 때,,,,,,,,,,,file_40.xls,,,,뇌혈관질환진단비,「뇌혈관질환」으로 진단확정되었을 때,,,,,,,,,,,,,,,,,,,,,
,,,뇌혈관질환진단비,「뇌혈관질환」으로 진단확정되었을 때,,,,,,,,,,,file_40.xls,,,,뇌혈관질환진단비,「뇌혈관질환」으로 진단확정되었을 때,,,,,,,,,,,,,,,,,,,,,
