보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,남성보험료,여성보험료,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
현대해상,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 1종,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 1종,간병인지원상해입원일당Ⅱ(1-180일)(간편맞춤고지)(갱신형),상해로 입원하여 치료를 받으며 실질적으로 간병서비스가 필요한 경우 간병인지원 및 간병인지원 1일당 이 특약의 보험가입금액(180일한도) 지급,3만원,"27,765","27,765 원","38,215 원",,,,,,,,,file_47.xls,,현대해상,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 1종,간병인지원상해입원일당Ⅱ(1-180일)(간편맞춤고지)(갱신형),상해로 입원하여 치료를 받으며 실질적으로 간병서비스가 필요한 경우 간병인지원 및 간병인지원 1일당 이 특약의 보험가입금액(180일한도) 지급,3만원,"27,765","38,215",121,119.5,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 1종,,간병인지원질병입원일당Ⅱ(1-180일)(간편맞춤고지)(갱신형),질병으로 입원하여 치료를 받으며 실질적으로 간병서비스가 필요한 경우 간병인지원 및 간병인지원 1일당 이 특약의 보험가입금액(180일한도) 지급,,,,,,,,,,,,,file_47.xls,,,,간병인지원질병입원일당Ⅱ(1-180일)(간편맞춤고지)(갱신형),질병으로 입원하여 치료를 받으며 실질적으로 간병서비스가 필요한 경우 간병인지원 및 간병인지원 1일당 이 특약의 보험가입금액(180일한도) 지급,,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 1종,,"기본계약(상해재택간병인지원보장(입원간병인사용1일당,최대180회)(간편맞춤고지)(갱신형))","상해로 입원하여 치료를 받으며 입원간병인을 1일당 8시간 이상 사용하여 실질적으로 입원간병서비스를 이용한 후, 퇴원일로부터 1년간 자택 등 의료기관 이외의 장소에서 그 상해로 인하여 실질적으로 재택간병서비스가 필요한경우 입원간병인사용 1일당 재택간병인 1회 지원 및 재택간병인 지원 1회당 이 특약의 보험가입금액(180회 한도) 지급",,,,,,,,,,,,,file_47.xls,,,,"기본계약(상해재택간병인지원보장(입원간병인사용1일당,최대180회)(간편맞춤고지)(갱신형))","상해로 입원하여 치료를 받으며 입원간병인을 1일당 8시간 이상 사용하여 실질적으로 입원간병서비스를 이용한 후, 퇴원일로부터 1년간 자택 등 의료기관 이외의 장소에서 그 상해로 인하여 실질적으로 재택간병서비스가 필요한경우 입원간병인사용 1일당 재택간병인 1회 지원 및 재택간병인 지원 1회당 이 특약의 보험가입금액(180회 한도) 지급",,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 1종,,"기본계약(질병재택간병인지원보장(입원간병인사용1일당,최대180회)(간편맞춤고지)(갱신형))","질병으로 입원하여 치료를 받으며 입원간병인을 1일당 8시간 이상 사용하여 실질적으로 입원간병서비스를 이용한 후, 퇴원일로부터 1년간 자택 등 의료기관 이외의 장소에서 그 상해로 인하여 실질적으로 재택간병서비스가 필요한경우 입원간병인사용 1일당 재택간병인 1회 지원 및 재택간병인 지원 1회당 이 특약의 보험가입금액(180회 한도) 지급",,,,,,,,,,,,,file_47.xls,,,,"기본계약(질병재택간병인지원보장(입원간병인사용1일당,최대180회)(간편맞춤고지)(갱신형))","질병으로 입원하여 치료를 받으며 입원간병인을 1일당 8시간 이상 사용하여 실질적으로 입원간병서비스를 이용한 후, 퇴원일로부터 1년간 자택 등 의료기관 이외의 장소에서 그 상해로 인하여 실질적으로 재택간병서비스가 필요한경우 입원간병인사용 1일당 재택간병인 1회 지원 및 재택간병인 지원 1회당 이 특약의 보험가입금액(180회 한도) 지급",,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 1종,,보험료납입면제대상(간편맞춤고지)(갱신형),질병 및 상해로 상급종합병원에서 전신마취를 하고 마취시간 3시간 이상의 수술을 받은 경우,100만원,,,,,,,,,,,,file_47.xls,,,,보험료납입면제대상(간편맞춤고지)(갱신형),질병 및 상해로 상급종합병원에서 전신마취를 하고 마취시간 3시간 이상의 수술을 받은 경우,100만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 1종,,"상해재활치료(연간15회한,급여)(간편맞춤고지)(갱신형)","상해로 입원 또는 통원하여 ‘급여 재활치료’를 받은 경우 특약가입금액 (연간 15회한, 1일 1회한) 지급",2만원,,,,,,,,,,,,file_47.xls,,,,"상해재활치료(연간15회한,급여)(간편맞춤고지)(갱신형)","상해로 입원 또는 통원하여 ‘급여 재활치료’를 받은 경우 특약가입금액 (연간 15회한, 1일 1회한) 지급",2만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 1종,,"질병재활치료(연간15회한,급여)(간편맞춤고지)(갱신형)","질병으로 입원 또는 통원하여 ‘급여 재활치료’를 받은 경우 특약가입금액 (연간 15회한, 1일 1회한)(단, 최초계약일부터 1년미만 상기금액의 50%) 지급",,,,,,,,,,,,,file_47.xls,,,,"질병재활치료(연간15회한,급여)(간편맞춤고지)(갱신형)","질병으로 입원 또는 통원하여 ‘급여 재활치료’를 받은 경우 특약가입금액 (연간 15회한, 1일 1회한)(단, 최초계약일부터 1년미만 상기금액의 50%) 지급",,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 2종,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 2종,간병인지원상해입원일당Ⅱ(1-180일)(갱신형),상해로 입원하여 치료를 받으며 실질적으로 간병서비스가 필요한 경우 간병인지원 및 간병인지원 1일당 이 특약의 보험가입금액(180일한도) 지급,3만원,"21,613","21,613 원","29,750 원",,,,,,,,,file_47.xls,,현대해상,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 2종,간병인지원상해입원일당Ⅱ(1-180일)(갱신형),상해로 입원하여 치료를 받으며 실질적으로 간병서비스가 필요한 경우 간병인지원 및 간병인지원 1일당 이 특약의 보험가입금액(180일한도) 지급,3만원,"21,613","29,750",94.2,93,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 2종,,간병인지원질병입원일당Ⅱ(1-180일)(갱신형),질병으로 입원하여 치료를 받으며 실질적으로 간병서비스가 필요한 경우 간병인지원 및 간병인지원 1일당 이 특약의 보험가입금액(180일한도) 지급,,,,,,,,,,,,,file_47.xls,,,,간병인지원질병입원일당Ⅱ(1-180일)(갱신형),질병으로 입원하여 치료를 받으며 실질적으로 간병서비스가 필요한 경우 간병인지원 및 간병인지원 1일당 이 특약의 보험가입금액(180일한도) 지급,,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상마음을더하는케어간병인보험(연만기갱신형)(Hi2510) 2종,,"기본계약(상해재택간병인지원보장(입원간병인사용1일당,최대180회)(갱신형))","상해로 입원하여 치료를 받으며 입원간병인을 1일당 8시간 이상 사용하여 실질적으로 입원간병서비스를 이용한 후, 퇴원일로부터 1년간 자택 등 의료기관 이외의 장소에서 그 상해로 인하여 실질적으로 재택간병서비스가 필요한경우 입원간병인사용 1일당 재택간병인 1회 지원 및 재택간병인 지원 1회당 이 특약의 보험가입금액(180회 한도) 지급",,,,,,,,,,,,,file_47.xls,,,,"기본계약(상해재택간병인지원보장(입원간병인사용1일당,최대180회)(갱신형))","상해로 입원하여 치료를 받으며 입원간병인을 1일당 8시간 이상 사용하여 실질적으로 입원간병서비스를 이용한 후, 퇴원일로부터 1년간 자택 등 의료기관 이외의 장소에서 그 상해로 인하여 실질적으로 재택간병서비스가 필요한경우 입원간병인사용 1일당 재택간병인 1회 지원 및 재택간병인 지원 1회당 이 특약의 보험가입금액(180회 한도) 지급",,,,,,,,,,,,,,,,,,,,,,,,,
