보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,남성보험료,여성보험료,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 1종,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 1종,기본계약(상해사망(간편맞춤고지)),상해로 사망한 경우,1억원,"388,017","388,017 원","300,410 원",,,,,,,,,file_47.xls,,현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 1종,기본계약(상해사망(간편맞춤고지)),상해로 사망한 경우,1억원,"388,017","300,410",108.6,110.5,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 1종,,보험료납입면제대상(간편맞춤고지),"암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되거나 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",100만원,,,,,,,,,,,,file_47.xls,,,,보험료납입면제대상(간편맞춤고지),"암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되거나 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",100만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 1종,,암진단Ⅱ(유사암제외)(간편맞춤고지),"보장개시일 이후 ‘암’(‘유사암’제외)으로 진단 확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",1천만원,,,,,,,,,,,,file_47.xls,,,,암진단Ⅱ(유사암제외)(간편맞춤고지),"보장개시일 이후 ‘암’(‘유사암’제외)으로 진단 확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",1천만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 1종,,케어더블암치매진단(간편맞춤고지),"중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 되지 않고, 암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정된 경우 지급액의 100%중증치매보장개시일 이후 ‘중증치매상태’로 진단확정되고, 암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정된 경우 지급액의 200%암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되지 않고 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 된 경우 지급액의 100%암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되고 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 된 경우 지급액의 200%",5천만원,,,,,,,,,,,,file_47.xls,,,,케어더블암치매진단(간편맞춤고지),"중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 되지 않고, 암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정된 경우 지급액의 100%중증치매보장개시일 이후 ‘중증치매상태’로 진단확정되고, 암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정된 경우 지급액의 200%암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되지 않고 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 된 경우 지급액의 100%암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되고 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 된 경우 지급액의 200%",5천만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 1종,,항암방사선치료Ⅱ(간편맞춤고지),"보장개시일 이후 암(유사암 제외)으로 진단 확정되고, 그 치료를 직접적인 목적으로 항암방사선치료를 받은 경우 지급액의 100%기타피부암, 갑상선암, 제자리암 및 경계성종양으로 진단확정되고, 그 치료를 직접적인 목적으로 항암방사선치료를 받은 경우 지급액의 20%",3천만원,,,,,,,,,,,,file_47.xls,,,,항암방사선치료Ⅱ(간편맞춤고지),"보장개시일 이후 암(유사암 제외)으로 진단 확정되고, 그 치료를 직접적인 목적으로 항암방사선치료를 받은 경우 지급액의 100%기타피부암, 갑상선암, 제자리암 및 경계성종양으로 진단확정되고, 그 치료를 직접적인 목적으로 항암방사선치료를 받은 경우 지급액의 20%",3천만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 1종,,항암약물치료Ⅱ(간편맞춤고지),"보장개시일 이후 암(유사암 제외)으로 진단 확정되고, 그 치료를 직접적인 목적으로 항암약물치료를 받은 경우 지급액의 100%기타피부암, 갑상선암, 제자리암 및 경계성종양으로 진단확정되고, 그 치료를 직접적인 목적으로 항암약물치료를 받은 경우 지급액의 20%",,,,,,,,,,,,,file_47.xls,,,,항암약물치료Ⅱ(간편맞춤고지),"보장개시일 이후 암(유사암 제외)으로 진단 확정되고, 그 치료를 직접적인 목적으로 항암약물치료를 받은 경우 지급액의 100%기타피부암, 갑상선암, 제자리암 및 경계성종양으로 진단확정되고, 그 치료를 직접적인 목적으로 항암약물치료를 받은 경우 지급액의 20%",,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 2종,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 2종,기본계약(상해사망(간편맞춤고지)),상해로 사망한 경우,1억원,"295,763","295,763 원","239,536 원",,,,,,,,,file_47.xls,,현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 2종,기본계약(상해사망(간편맞춤고지)),상해로 사망한 경우,1억원,"295,763","239,536",115,117.4,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 2종,,보험료납입면제대상(간편맞춤고지),"암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되거나 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",100만원,,,,,,,,,,,,file_47.xls,,,,보험료납입면제대상(간편맞춤고지),"암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되거나 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",100만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 2종,,암진단Ⅱ(유사암제외)(간편맞춤고지),"보장개시일 이후 ‘암’(‘유사암’제외)으로 진단 확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",1천만원,,,,,,,,,,,,file_47.xls,,,,암진단Ⅱ(유사암제외)(간편맞춤고지),"보장개시일 이후 ‘암’(‘유사암’제외)으로 진단 확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",1천만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 2종,,케어더블암치매진단(간편맞춤고지),"중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 되지 않고, 암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정된 경우 지급액의 100%중증치매보장개시일 이후 ‘중증치매상태’로 진단확정되고, 암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정된 경우 지급액의 200%암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되지 않고 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 된 경우 지급액의 100%암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되고 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 된 경우 지급액의 200%",5천만원,,,,,,,,,,,,file_47.xls,,,,케어더블암치매진단(간편맞춤고지),"중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 되지 않고, 암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정된 경우 지급액의 100%중증치매보장개시일 이후 ‘중증치매상태’로 진단확정되고, 암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정된 경우 지급액의 200%암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되지 않고 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 된 경우 지급액의 100%암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되고 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 된 경우 지급액의 200%",5천만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 2종,,항암방사선치료Ⅱ(간편맞춤고지),"보장개시일 이후 암(유사암 제외)으로 진단 확정되고, 그 치료를 직접적인 목적으로 항암방사선치료를 받은 경우 지급액의 100%기타피부암, 갑상선암, 제자리암 및 경계성종양으로 진단확정되고, 그 치료를 직접적인 목적으로 항암방사선치료를 받은 경우 지급액의 20%",3천만원,,,,,,,,,,,,file_47.xls,,,,항암방사선치료Ⅱ(간편맞춤고지),"보장개시일 이후 암(유사암 제외)으로 진단 확정되고, 그 치료를 직접적인 목적으로 항암방사선치료를 받은 경우 지급액의 100%기타피부암, 갑상선암, 제자리암 및 경계성종양으로 진단확정되고, 그 치료를 직접적인 목적으로 항암방사선치료를 받은 경우 지급액의 20%",3천만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 2종,,항암약물치료Ⅱ(간편맞춤고지),"보장개시일 이후 암(유사암 제외)으로 진단 확정되고, 그 치료를 직접적인 목적으로 항암약물치료를 받은 경우 지급액의 100%기타피부암, 갑상선암, 제자리암 및 경계성종양으로 진단확정되고, 그 치료를 직접적인 목적으로 항암약물치료를 받은 경우 지급액의 20%",,,,,,,,,,,,,file_47.xls,,,,항암약물치료Ⅱ(간편맞춤고지),"보장개시일 이후 암(유사암 제외)으로 진단 확정되고, 그 치료를 직접적인 목적으로 항암약물치료를 받은 경우 지급액의 100%기타피부암, 갑상선암, 제자리암 및 경계성종양으로 진단확정되고, 그 치료를 직접적인 목적으로 항암약물치료를 받은 경우 지급액의 20%",,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 3종,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 3종,기본계약(상해사망),상해로 사망한 경우,1억원,"334,400","334,400 원","254,228 원",,,,,,,,,file_47.xls,,현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 3종,기본계약(상해사망),상해로 사망한 경우,1억원,"334,400","254,228",93.6,93.5,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 3종,,보험료납입면제대상,"암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되거나 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",100만원,,,,,,,,,,,,file_47.xls,,,,보험료납입면제대상,"암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되거나 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",100만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 3종,,암진단Ⅱ(유사암제외),"보장개시일 이후 ‘암’(‘유사암’제외)으로 진단 확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",1천만원,,,,,,,,,,,,file_47.xls,,,,암진단Ⅱ(유사암제외),"보장개시일 이후 ‘암’(‘유사암’제외)으로 진단 확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",1천만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 3종,,케어더블암치매진단,"중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 되지 않고, 암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정된 경우 지급액의 100%중증치매보장개시일 이후 ‘중증치매상태’로 진단확정되고, 암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정된 경우 지급액의 200%암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되지 않고 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 된 경우 지급액의 100%암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되고 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 된 경우 지급액의 200%",5천만원,,,,,,,,,,,,file_47.xls,,,,케어더블암치매진단,"중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 되지 않고, 암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정된 경우 지급액의 100%중증치매보장개시일 이후 ‘중증치매상태’로 진단확정되고, 암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정된 경우 지급액의 200%암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되지 않고 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 된 경우 지급액의 100%암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되고 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정 된 경우 지급액의 200%",5천만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 3종,,항암방사선치료Ⅱ,"보장개시일 이후 암(유사암 제외)으로 진단 확정되고, 그 치료를 직접적인 목적으로 항암방사선치료를 받은 경우 지급액의 100%기타피부암, 갑상선암, 제자리암 및 경계성종양으로 진단확정되고, 그 치료를 직접적인 목적으로 항암방사선치료를 받은 경우 지급액의 20%",3천만원,,,,,,,,,,,,file_47.xls,,,,항암방사선치료Ⅱ,"보장개시일 이후 암(유사암 제외)으로 진단 확정되고, 그 치료를 직접적인 목적으로 항암방사선치료를 받은 경우 지급액의 100%기타피부암, 갑상선암, 제자리암 및 경계성종양으로 진단확정되고, 그 치료를 직접적인 목적으로 항암방사선치료를 받은 경우 지급액의 20%",3천만원,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 3종,,항암약물치료Ⅱ,"보장개시일 이후 암(유사암 제외)으로 진단 확정되고, 그 치료를 직접적인 목적으로 항암약물치료를 받은 경우 지급액의 100%기타피부암, 갑상선암, 제자리암 및 경계성종양으로 진단확정되고, 그 치료를 직접적인 목적으로 항암약물치료를 받은 경우 지급액의 20%",,,,,,,,,,,,,file_47.xls,,,,항암약물치료Ⅱ,"보장개시일 이후 암(유사암 제외)으로 진단 확정되고, 그 치료를 직접적인 목적으로 항암약물치료를 받은 경우 지급액의 100%기타피부암, 갑상선암, 제자리암 및 경계성종양으로 진단확정되고, 그 치료를 직접적인 목적으로 항암약물치료를 받은 경우 지급액의 20%",,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 4종,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 4종,기본계약(상해사망),상해로 사망한 경우,1억원,"253,301","253,301 원","200,771 원",,,,,,,,,file_47.xls,,현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 4종,기본계약(상해사망),상해로 사망한 경우,1억원,"253,301","200,771",98.5,98.4,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상케어더블암치매보험(세만기형)(Hi2601) 4종,,보험료납입면제대상,"암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되거나 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",100만원,,,,,,,,,,,,file_47.xls,,,,보험료납입면제대상,"암보장개시일 이후 ‘암’(‘유사암’제외)으로 진단확정되거나 중증치매보장개시일 이후 ‘중증치매상태’로 진단확정된 경우※유사암 : 기타피부암, 갑상선암, 제자리암, 경계성종양",100만원,,,,,,,,,,,,,,,,,,,,,,,,
