보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29,category_target
ABL생명,(무)우리WON어린이보험(해약환급금 미지급형)[1형(재해장해보장형)],주계약 및 특약 종합,어린이종합보장,보험기간 중 발생한 동일한 재해로 장해분류표에서 정한 장해지급률 중 3% 이상 100% 이하에 해당하는 장해상태가 되었을 때,보험가입금액의 100% x 해당 장해지급률,1000만원  원,"23,061 원","21,314 원",,,,,,,보장성_상품비교_20260608162103272.xls,ABL생명,(무)우리WON어린이보험(해약환급금 미지급형)[1형(재해장해보장형)],주계약,재해장해급여금,보험기간 중 발생한 동일한 재해로 장해분류표에서 정한 장해지급률 중 3% 이상 100% 이하에 해당하는 장해상태가 되었을 때,보험가입금액의 100% x 해당 장해지급률,1000만원  원,2670  원,"2,530  원",2.50 %,-,-,216.0 %,232.5 %,-,-,-,-,무해지/저해지환급,비갱신형,비유니버셜,대면채널,2026-05-08,"1. 가입나이 : 태아 ~ 최대 15세 2. 가입한도 : 1,000만원 단일한도 3. 보험종류 : 1형(재해장해보장형) - 해약환급금 미지급형  1형(재해장해보장형) - 기본형  2형(일반암진단보장형) - 해약환급금 미지급형  2형(일반암진단보장형) - 기본형 4. 보험기간 : 80세만기, 100세만기 5. 보험료 예시기준 : 1형(재해장해보장형), 해약환급금 미지급형, 100세만기, 5세, 10년납, 월납 6. 보험가격지수 예시기준 : 1형(재해장해보장형), 해약환급금 미지급형, 100세만기, 가입금액 1,000만원, 5세, 10년납, 월납 ※ 태아를 피보험자로 할 경우 (무)주산기입원 및 통원보장특약을 의무부가함",1588-6500,,,,,,child
ABL생명,(무)우리WON어린이보험(해약환급금 미지급형)[2형(일반암진단보장형)],주계약 및 특약 종합,어린이종합보장,"피보험자가 보험기간 중 “암”으로 진단이 확정되었을 때 (다만, 최초1회에 한하여 지급)",보험가입금액의 100%,1000만원  원,"34,761 원","30,644 원",,,,,,,보장성_상품비교_20260608162103272.xls,ABL생명,(무)우리WON어린이보험(해약환급금 미지급형)[2형(일반암진단보장형)],주계약,암 진단급여금,"피보험자가 보험기간 중 “암”으로 진단이 확정되었을 때 (다만, 최초1회에 한하여 지급)",보험가입금액의 100%,1000만원  원,14370  원,"11,860  원",2.50 %,-,-,110.7 %,121.1 %,-,-,-,-,무해지/저해지환급,비갱신형,비유니버셜,대면채널,2026-05-08,"1. 가입나이 : 태아 ~ 최대 15세 2. 가입한도 : 1,000만원 단일한도 3. 보험종류 : 1형(재해장해보장형) - 해약환급금 미지급형  1형(재해장해보장형) - 기본형  2형(일반암진단보장형) - 해약환급금 미지급형  2형(일반암진단보장형) - 기본형 4. 보험기간 : 80세만기, 100세만기 5. 보험료 예시기준 : 2형(일반암진단보장형), 해약환급금 미지급형, 100세만기, 5세, 10년납, 월납 6. 보험가격지수 예시기준 : 2형(일반암진단보장형), 해약환급금 미지급형, 100세만기, 가입금액 1,000만원, 5세, 10년납, 월납 ※ 태아를 피보험자로 할 경우 (무)주산기입원 및 통원보장특약을 의무부가함 ※ 2형(일반암진단보장형)을 가입할 경우 (무)소액암진단특약을 의무부가함",1588-6500,,,,,,child
ABL생명,(무)우리WON어린이보험[1형(재해장해보장형)],주계약 및 특약 종합,어린이종합보장,보험기간 중 발생한 동일한 재해로 장해분류표에서 정한 장해지급률 중 3% 이상 100% 이하에 해당하는 장해상태가 되었을 때,보험가입금액의 100% x 해당 장해지급률,1000만원  원,"3,883 원","3,746 원",,,,,,,보장성_상품비교_20260608162103272.xls,ABL생명,(무)우리WON어린이보험[1형(재해장해보장형)],주계약,재해장해급여금,보험기간 중 발생한 동일한 재해로 장해분류표에서 정한 장해지급률 중 3% 이상 100% 이하에 해당하는 장해상태가 되었을 때,보험가입금액의 100% x 해당 장해지급률,1000만원  원,1260  원,"1,170  원",2.50 %,-,-,577.5 %,1247.2 %,-,-,-,-,순수보장형,비갱신형,비유니버셜,대면채널,2026-05-08,"1. 가입나이 : 태아 ~ 최대 15세 2. 가입한도 : 1,000만원 단일한도 3. 보험종류 : 1형(재해장해보장형) - 해약환급금 미지급형  1형(재해장해보장형) - 기본형  2형(일반암진단보장형) - 해약환급금 미지급형  2형(일반암진단보장형) - 기본형 4. 보험기간 : 30세만기, 80세만기, 100세만기 5. 보험료 예시기준 : 1형(재해장해보장형), 기본형, 30세만기, 5세, 10년납, 월납 6. 보험가격지수 예시기준 : 1형(재해장해보장형), 기본형, 30세만기, 가입금액 1,000만원, 5세, 10년납, 월납 ※ 태아를 피보험자로 할 경우 (무)주산기입원 및 통원보장특약을 의무부가함",1588-6500,,,,,,child
ABL생명,(무)우리WON어린이보험[2형(일반암진단보장형)],주계약 및 특약 종합,어린이종합보장,"피보험자가 보험기간 중 “암”으로 진단이 확정되었을 때 (다만, 최초1회에 한하여 지급)",보험가입금액의 100%,1000만원  원,"4,973 원","5,036 원",,,,,,,보장성_상품비교_20260608162103272.xls,ABL생명,(무)우리WON어린이보험[2형(일반암진단보장형)],주계약,암 진단급여금,"피보험자가 보험기간 중 “암”으로 진단이 확정되었을 때 (다만, 최초1회에 한하여 지급)",보험가입금액의 100%,1000만원  원,2350  원,"2,460  원",2.50 %,-,-,331.4 %,298.0 %,-,-,-,-,순수보장형,비갱신형,비유니버셜,대면채널,2026-05-08,"1. 가입나이 : 태아 ~ 최대 15세 2. 가입한도 : 1,000만원 단일한도 3. 보험종류 : 1형(재해장해보장형) - 해약환급금 미지급형  1형(재해장해보장형) - 기본형  2형(일반암진단보장형) - 해약환급금 미지급형  2형(일반암진단보장형) - 기본형 4. 보험기간 : 30세만기, 80세만기, 100세만기 5. 보험료 예시기준 : 2형(일반암진단보장형), 기본형, 30세만기, 5세, 10년납, 월납 6. 보험가격지수 예시기준 : 2형(일반암진단보장형), 기본형, 30세만기, 가입금액 1,000만원, 5세, 10년납, 월납 ※ 태아를 피보험자로 할 경우 (무)주산기입원 및 통원보장특약을 의무부가함 ※ 2형(일반암진단보장형)을 가입할 경우 (무)소액암진단특약을 의무부가함",1588-6500,,,,,,child
DB생명,(무)백년친구 내가고른 어린이보험(2601)(표준형),주계약 및 특약 종합,어린이종합보장,재해로 3~100% 장해상태시,3000만원 × 장해 지급률,3000만원  원,"28,450 원","21,010 원",,,,,,,보장성_상품비교_20260608162103272.xls,DB생명,(무)백년친구 내가고른 어린이보험(2601)(표준형),주계약,재해장해 급여금,재해로 3~100% 장해상태시,3000만원 × 장해 지급률,3000만원  원,2490  원,"2,250  원",2.75 %,-,-,111.3 %,114.2 %,-,-,-,-,순수보장형,비갱신형,비유니버셜,대면채널,2026-01-01,"1. 상품형태 : 해약환급금 미지급형, 표준형 2. 보험기간 : 30세만기, 100세만기 3. 납입기간 : 10, 15, 20, 30년납 4. 가입연령 : 0세(태아포함) ~ 최고 15세 (납입기간별 상이) 5. 보험료 및 보험가격지수 예시기준 : 5세, 20년납, 100세만기, 가입금액 3000만원, 표준형",1588-3131,,,,,,child
DB생명,(무)백년친구 내가고른 어린이보험(2601)(해약환급금 미지급형),주계약 및 특약 종합,어린이종합보장,재해로 3~100% 장해상태시,3000만원 × 장해 지급률,3000만원  원,"20,880 원","16,220 원",,,,,,,보장성_상품비교_20260608162103272.xls,DB생명,(무)백년친구 내가고른 어린이보험(2601)(해약환급금 미지급형),주계약,재해장해 급여금,재해로 3~100% 장해상태시,3000만원 × 장해 지급률,3000만원  원,1920  원,"1,710  원",2.75 %,-,-,110 %,116.9 %,-,-,-,-,순수보장형,비갱신형,비유니버셜,대면채널,2026-01-01,"1. 상품형태 : 해약환급금 미지급형, 표준형 2. 보험기간 : 30세만기, 100세만기 3. 납입기간 : 10, 15, 20, 30년납 4. 가입연령 : 0세(태아포함) ~ 최고 15세 (납입기간별 상이) 5. 보험료 및 보험가격지수 예시기준 : 5세, 20년납, 100세만기, 가입금액 3000만원, 해약환급금 미지급형",1588-3131,,,,,,child
DB손보,(무)다이렉트자녀보험2605(CM),주계약 및 특약 종합,어린이종합보장,피보험자가 보험기간 중 뇌혈관질환으로 진단확정된 경우 보험가입금액 지급(1회한),"보험가입금액(1,000만원)","보험가입금액(1,000만원)","26,602 원","23,144 원",,,,,,,장기보장성 비교 공시 (3).xls,,DB손보,(무)다이렉트자녀보험2605(CM),뇌혈관질환진단비,피보험자가 보험기간 중 뇌혈관질환으로 진단확정된 경우 보험가입금액 지급(1회한),"보험가입금액(1,000만원)","26,602","23,144",98.1,110.6,,,,,,,,,,,,,,,,,,,,,child
DB손보,(무)아이(I)러브(LOVE)플러스건강보험2604(10종),주계약 및 특약 종합,어린이종합보장,피보험자가 보험기간 중 뇌혈관질환으로 진단확정된 경우 보험가입금액을 지급(1회한),"보험가입금액(5,000만원)","보험가입금액(5,000만원)","7,890 원","7,550 원",,,,,,,장기보장성 비교 공시 (3).xls,,DB손보,(무)아이(I)러브(LOVE)플러스건강보험2604(10종),뇌혈관질환진단비,피보험자가 보험기간 중 뇌혈관질환으로 진단확정된 경우 보험가입금액을 지급(1회한),"보험가입금액(5,000만원)","7,890","7,550",109.2,106.6,,,,,,,,,,,,,,,,,,,,,youth
DB손보,(무)아이(I)러브(LOVE)플러스건강보험2604(11종),주계약 및 특약 종합,어린이종합보장,피보험자가 보험기간 중 뇌혈관질환으로 진단확정된 경우 보험가입금액을 지급(1회한),"보험가입금액(5,000만원)","보험가입금액(5,000만원)","5,130 원","4,720 원",,,,,,,장기보장성 비교 공시 (3).xls,,DB손보,(무)아이(I)러브(LOVE)플러스건강보험2604(11종),뇌혈관질환진단비,피보험자가 보험기간 중 뇌혈관질환으로 진단확정된 경우 보험가입금액을 지급(1회한),"보험가입금액(5,000만원)","5,130","4,720",137.8,123.4,,,,,,,,,,,,,,,,,,,,,youth
DB손보,(무)아이(I)러브(LOVE)플러스건강보험2604(2종),주계약 및 특약 종합,어린이종합보장,피보험자가 보험기간 중 뇌혈관질환으로 진단확정된 경우 보험가입금액을 지급(1회한),"보험가입금액(5,000만원)","보험가입금액(5,000만원)","65,720 원","62,330 원",,,,,,,장기보장성 비교 공시 (3).xls,,DB손보,(무)아이(I)러브(LOVE)플러스건강보험2604(2종),뇌혈관질환진단비,피보험자가 보험기간 중 뇌혈관질환으로 진단확정된 경우 보험가입금액을 지급(1회한),"보험가입금액(5,000만원)","65,720","62,330",79.8,94.8,,,,,,,,,,,,,,,,,,,,,youth
