보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
현대해상,간편한 3.0.5 건강보험(어린이형),주계약 및 특약 종합,어린이유병자종합보장,어린이/태아 유병력자 종합 보장,"3,000만원","3,000만원","42,525 원","38,475 원",2.75%,갱신형,대면 및 다이렉트,2026-05-25,어린이 간편고지 심사 (직전 사고 무관 (가장 유연한 심사)),1588-1001,pre_existing_data.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,간편한 3.1.5 건강보험(어린이형),주계약 및 특약 종합,어린이유병자종합보장,어린이/태아 유병력자 종합 보장,"3,000만원","3,000만원","40,320 원","36,480 원",2.75%,갱신형,대면 및 다이렉트,2026-05-25,어린이 간편고지 심사 (1년간 입원/수술 무사고),1588-1001,pre_existing_data.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,간편한 3.2.5 건강보험(어린이형),주계약 및 특약 종합,어린이유병자종합보장,어린이/태아 유병력자 종합 보장,"3,000만원","3,000만원","39,375 원","35,625 원",2.75%,갱신형,대면 및 다이렉트,2026-05-25,어린이 간편고지 심사 (2년간 입원/수술 무사고),1588-1001,pre_existing_data.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,간편한 3.3.5 건강보험(어린이형),주계약 및 특약 종합,어린이유병자종합보장,어린이/태아 유병력자 종합 보장,"3,000만원","3,000만원","37,170 원","33,630 원",2.75%,갱신형,대면 및 다이렉트,2026-05-25,어린이 간편고지 심사 (3년간 입원/수술 무사고),1588-1001,pre_existing_data.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,간편한 3.4.5 건강보험(어린이형),주계약 및 특약 종합,어린이유병자종합보장,어린이/태아 유병력자 종합 보장,"3,000만원","3,000만원","35,910 원","32,490 원",2.75%,갱신형,대면 및 다이렉트,2026-05-25,어린이 간편고지 심사 (4년간 입원/수술 무사고),1588-1001,pre_existing_data.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,간편한 3.5.5 건강보험(어린이형),주계약 및 특약 종합,어린이유병자종합보장,어린이/태아 유병력자 종합 보장,"3,000만원","3,000만원","34,650 원","31,350 원",2.75%,갱신형,대면 및 다이렉트,2026-05-25,어린이 간편고지 심사 (5년간 입원/수술 무사고 (안정형)),1588-1001,pre_existing_data.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대해상,간편한 3.10.5 건강보험(어린이형),주계약 및 특약 종합,어린이유병자종합보장,어린이/태아 유병력자 종합 보장,"3,000만원","3,000만원","29,925 원","27,075 원",2.75%,갱신형,대면 및 다이렉트,2026-05-25,어린이 간편고지 심사 (10년간 입원/수술 무사고 (초경증 우대)),1588-1001,pre_existing_data.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB손해보험,KB 슬기로운 간편어린이보험(3.0.5),주계약 및 특약 종합,어린이유병자종합보장,어린이/태아 유병력자 종합 보장,"3,000만원","3,000만원","39,690 원","35,910 원",2.75%,갱신형,대면 및 다이렉트,2026-05-25,어린이 간편고지 심사 (직전 사고 무관 (가장 유연한 심사)),1544-0114,pre_existing_data.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB손해보험,KB 슬기로운 간편어린이보험(3.1.5),주계약 및 특약 종합,어린이유병자종합보장,어린이/태아 유병력자 종합 보장,"3,000만원","3,000만원","37,632 원","34,048 원",2.75%,갱신형,대면 및 다이렉트,2026-05-25,어린이 간편고지 심사 (1년간 입원/수술 무사고),1544-0114,pre_existing_data.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB손해보험,KB 슬기로운 간편어린이보험(3.2.5),주계약 및 특약 종합,어린이유병자종합보장,어린이/태아 유병력자 종합 보장,"3,000만원","3,000만원","36,750 원","33,250 원",2.75%,갱신형,대면 및 다이렉트,2026-05-25,어린이 간편고지 심사 (2년간 입원/수술 무사고),1544-0114,pre_existing_data.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
