보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9
,,,자동차사고부상치료비(비운전자용),비운전중 자동차사고로 신체에 상해를 입고 ‘자동차손해배상보장법 시행령’에서 정한 부상등급을 받은 경우,20만원,,,,,,,,,,file_40.xls,,,,자동차사고부상치료비(비운전자용),비운전중 자동차사고로 신체에 상해를 입고 ‘자동차손해배상보장법 시행령’에서 정한 부상등급을 받은 경우,20만원,,,,
,,,자동차사고부상치료비(비운전자용),비운전중 자동차사고로 신체에 상해를 입고 ‘자동차손해배상보장법 시행령’에서 정한 부상등급을 받은 경우,20만원,,,,,,,,,,file_41.xls,,,,자동차사고부상치료비(비운전자용),비운전중 자동차사고로 신체에 상해를 입고 ‘자동차손해배상보장법 시행령’에서 정한 부상등급을 받은 경우,20만원,,,,
,,,이륜자동차 운전중 교통사고처리지원금(동승자제외),"이륜자동차를 운전하던 중에 발생한 급격하고도 우연히 발생한 자동차사고로 인하여 타인(피보험자의 부모, 배우자 및 자녀 및 피보험자가 운전하던 이륜자동차의 동승자인 경우 제외합니다)에게 상해를 입혀 형사합의를 한 경우",1억원,,,,,,,,,,file_42.xls,,,,이륜자동차 운전중 교통사고처리지원금(동승자제외),"이륜자동차를 운전하던 중에 발생한 급격하고도 우연히 발생한 자동차사고로 인하여 타인(피보험자의 부모, 배우자 및 자녀 및 피보험자가 운전하던 이륜자동차의 동승자인 경우 제외합니다)에게 상해를 입혀 형사합의를 한 경우",1억원,,,,
,,,이륜자동차 운전중 교통상해사망,이륜자동차 운전중 교통상해의 직접결과로써 사망한 경우,,,,,,,,,,,file_42.xls,,,,이륜자동차 운전중 교통상해사망,이륜자동차 운전중 교통상해의 직접결과로써 사망한 경우,,,,,
,,,자동차사고 변호사선임비용(Ⅲ),"자동차를 운전하던 중 또는 자가용자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써, 변호사선임비용을 부담함으로써 입은 손해",500만원,,,,,,,,,,file_42.xls,,,,자동차사고 변호사선임비용(Ⅲ),"자동차를 운전하던 중 또는 자가용자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써, 변호사선임비용을 부담함으로써 입은 손해",500만원,,,,
,,,심급별 자동차사고·변호사선임비용Ⅱ,"자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써, 변호사선임비용을 부담함으로써 입은 손해","1,500만원",,,,,,,,,,file_42.xls,,,,심급별 자동차사고·변호사선임비용Ⅱ,"자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써, 변호사선임비용을 부담함으로써 입은 손해","1,500만원",,,,
,,,심급별 자동차사고·변호사선임비용Ⅱ,"자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써, 변호사선임비용을 부담함으로써 입은 손해","1,500만원",,,,,,,,,,file_42.xls,,,,심급별 자동차사고·변호사선임비용Ⅱ,"자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써, 변호사선임비용을 부담함으로써 입은 손해","1,500만원",,,,
,,,"자동차사고변호사선임비용(경찰조사포함,비탑승중Ⅱ포함)","자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 사고로 타인의 신체에 상해를 입혀 1. 구속영장에 의하여 구속, 2. 검사에 의한 공소제기(약식기소는 제외), 3. 검사에 의해 약식기소는 되었으나 법원에 의해 보통의 심판절차인 공판절차에 의해 재판이 진행, 4. 법원의 약식명령에 대하여 정식재판을 청구하는 경우, 5. 피보험자가 타인을 사망하게 하거나 중대법규위반 교통사고로 타인의 신체에 상해를 입혀 경찰조사 후 불송치된 경우, 6. 피보험자가 타인을 사망하게 하거나 중대법규위반 교통사고로 타인의 신체에 상해를 입혀 검찰에 의해 약식기소 또는 불기소된 경우(단, 제3호, 제4호에 해당하는 경우는 제외), 7. 피보험자가 중대법규위반 교통사고에 해당하지 않는 자동차사고로 피해자에게 부상등급 1급, 2급 또는 3급에 해당하는 부상을 입혀 경찰조사 후 불송치된 경우, 8. 피보험자가 중대법규위반 교통사고에 해당하지 않는 자동차사고로 피해자에게 부상등급 1급, 2급 또는 3급에 해당하는 부상을 입혀 검찰에 의해 약식기소 또는 불기소된 경우(단, 제3호 및 제4호에 해당하는 경우는 제외) 중 어느 한가지 사유로 변호사선임비용을 부담한 경우",,,,,,,,,,,file_42.xls,,,,"자동차사고변호사선임비용(경찰조사포함,비탑승중Ⅱ포함)","자동차를 운전하던 중 또는 자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 사고로 타인의 신체에 상해를 입혀 1. 구속영장에 의하여 구속, 2. 검사에 의한 공소제기(약식기소는 제외), 3. 검사에 의해 약식기소는 되었으나 법원에 의해 보통의 심판절차인 공판절차에 의해 재판이 진행, 4. 법원의 약식명령에 대하여 정식재판을 청구하는 경우, 5. 피보험자가 타인을 사망하게 하거나 중대법규위반 교통사고로 타인의 신체에 상해를 입혀 경찰조사 후 불송치된 경우, 6. 피보험자가 타인을 사망하게 하거나 중대법규위반 교통사고로 타인의 신체에 상해를 입혀 검찰에 의해 약식기소 또는 불기소된 경우(단, 제3호, 제4호에 해당하는 경우는 제외), 7. 피보험자가 중대법규위반 교통사고에 해당하지 않는 자동차사고로 피해자에게 부상등급 1급, 2급 또는 3급에 해당하는 부상을 입혀 경찰조사 후 불송치된 경우, 8. 피보험자가 중대법규위반 교통사고에 해당하지 않는 자동차사고로 피해자에게 부상등급 1급, 2급 또는 3급에 해당하는 부상을 입혀 검찰에 의해 약식기소 또는 불기소된 경우(단, 제3호 및 제4호에 해당하는 경우는 제외) 중 어느 한가지 사유로 변호사선임비용을 부담한 경우",,,,,
,,,"자동차사고변호사선임비용(심급별500만원한도,자기부담률50%)","자동차를 운전하던 중에 급격하고도 우연한 사고로 타인의 신체에 상해를 입힘으로써 구속영장에 의하여 구속되었거나, 검사에 의해 공소제기(약식기소는 제외)된 경우, 검사에 의해 약식기소 되었으나 법원에 의해 보통의 심판절차인 공판절차에 의해 재판이 진행하게 된 경우, 검사 또는 피보험자가 법원의 약식명령에 대하여 정식재판을 청구하는 경우",,,,,,,,,,,file_42.xls,,,,"자동차사고변호사선임비용(심급별500만원한도,자기부담률50%)","자동차를 운전하던 중에 급격하고도 우연한 사고로 타인의 신체에 상해를 입힘으로써 구속영장에 의하여 구속되었거나, 검사에 의해 공소제기(약식기소는 제외)된 경우, 검사에 의해 약식기소 되었으나 법원에 의해 보통의 심판절차인 공판절차에 의해 재판이 진행하게 된 경우, 검사 또는 피보험자가 법원의 약식명령에 대하여 정식재판을 청구하는 경우",,,,,
,,,자동차사고부상Ⅱ(1~7급),"자동차사고(운전중, 탑승중, 비탑승중. 약관 참조)로 인한 상해의 직접결과로써 자동차손해배상보장법시행령에서 정한 자동차사고 부상 등급표의 상해등급 중 1급, 2급, 3급, 4급, 5급, 6급 또는 7급을 받은 경우",보험가입금액,,,,,,,,,,file_42.xls,,,,자동차사고부상Ⅱ(1~7급),"자동차사고(운전중, 탑승중, 비탑승중. 약관 참조)로 인한 상해의 직접결과로써 자동차손해배상보장법시행령에서 정한 자동차사고 부상 등급표의 상해등급 중 1급, 2급, 3급, 4급, 5급, 6급 또는 7급을 받은 경우",보험가입금액,,,,
