보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
삼성화재,"화재, 폭발, 파열로 인해 보험목적에 손해 및 소방손해, 피난손해가 발생한 경우",주계약,업무상 과실치사상 변호사선임비용,"업무상 과실 또는 중대한 과실로 타인의 신체에 상해를 입혀 형법 제268조(업무상 과실·중과실 치사상)을 죄명으로 아래 ① 또는 ②로 인해 변호사선임비용이 발생한 경우① 구속영장에 의해 구속되거나 검사에 의해 공소제기(단, 약식기소 제외)된 경우② 검사에 의해 약식기소 되었으나 법원에 의해 공판절차에 의한 재판이 진행되게 된 경우","업무상 과실 또는 중대한 과실로 타인의 신체에 상해를 입혀 형법 제268조(업무상 과실·중과실 치사상)을 죄명으로 아래 ① 또는 ②로 인해 변호사선임비용이 발생한 경우① 구속영장에 의해 구속되거나 검사에 의해 공소제기(단, 약식기소 제외)된 경우② 검사에 의해 약식기소 되었으나 법원에 의해 공판절차에 의한 재판이 진행되게 된 경우",,,,,,,,,,file_38.xls,업무상 과실치사상 변호사선임비용,"업무상 과실 또는 중대한 과실로 타인의 신체에 상해를 입혀 형법 제268조(업무상 과실·중과실 치사상)을 죄명으로 아래 ① 또는 ②로 인해 변호사선임비용이 발생한 경우① 구속영장에 의해 구속되거나 검사에 의해 공소제기(단, 약식기소 제외)된 경우② 검사에 의해 약식기소 되었으나 법원에 의해 공판절차에 의한 재판이 진행되게 된 경우",가입금액 한도,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성화재,"화재, 폭발, 파열로 인해 보험목적에 손해 및 소방손해, 피난손해가 발생한 경우",주계약,업무상 과실치사상 변호사선임비용,"업무상 과실 또는 중대한 과실로 타인의 신체에 상해를 입혀 형법 제268조(업무상 과실·중과실 치사상)을 죄명으로 아래 ① 또는 ②로 인해 발생한 변호사선임비용 중 실제로 부담한 금액을 가입금액 한도로 지급 ① 구속영장에 의해 구속되거나 검사에 의해 공소제기(단, 약식기소 제외) 된 경우 ② 검사에 의해 약식기소 되었으나 법원에 의해 공판절차에 의한 재판이 진행되게 된 경우","업무상 과실 또는 중대한 과실로 타인의 신체에 상해를 입혀 형법 제268조(업무상 과실·중과실 치사상)을 죄명으로 아래 ① 또는 ②로 인해 발생한 변호사선임비용 중 실제로 부담한 금액을 가입금액 한도로 지급 ① 구속영장에 의해 구속되거나 검사에 의해 공소제기(단, 약식기소 제외) 된 경우 ② 검사에 의해 약식기소 되었으나 법원에 의해 공판절차에 의한 재판이 진행되게 된 경우",,,,,,,,,,file_38.xls,업무상 과실치사상 변호사선임비용,"업무상 과실 또는 중대한 과실로 타인의 신체에 상해를 입혀 형법 제268조(업무상 과실·중과실 치사상)을 죄명으로 아래 ① 또는 ②로 인해 발생한 변호사선임비용 중 실제로 부담한 금액을 가입금액 한도로 지급 ① 구속영장에 의해 구속되거나 검사에 의해 공소제기(단, 약식기소 제외) 된 경우 ② 검사에 의해 약식기소 되었으나 법원에 의해 공판절차에 의한 재판이 진행되게 된 경우",,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성화재,보험목적에 급격하고 우연하게 발생한 직접적인 재산손해 보상,주계약,업무상 과실치사상 변호사선임비용,"업무상 과실 또는 중대한 과실로 타인의 신체에 상해를 입혀 형법 제268조(업무상 과실·중과실 치사상)을 죄명으로 아래 ① 또는 ②로 인해 발생한 변호사선임비용 중 실제로 부담한 금액을 지급 ① 구속영장에 의해 구속되거나 검사에 의해 공소제기(단, 약식기소 제외)된 경우 ② 검사에 의해 약식기소 되었으나 법원에 의해 공판절차에 의한 재판이 진행되는 경우 ※ 1사고로 항소심, 상고심을 포함하여 다수의 소송을 하였을 경우 그 소송동안 피보험자가 실제로 부담한 전체 변호사선임비용을 합쳐서 가입금액을 한도로 보상","업무상 과실 또는 중대한 과실로 타인의 신체에 상해를 입혀 형법 제268조(업무상 과실·중과실 치사상)을 죄명으로 아래 ① 또는 ②로 인해 발생한 변호사선임비용 중 실제로 부담한 금액을 지급 ① 구속영장에 의해 구속되거나 검사에 의해 공소제기(단, 약식기소 제외)된 경우 ② 검사에 의해 약식기소 되었으나 법원에 의해 공판절차에 의한 재판이 진행되는 경우 ※ 1사고로 항소심, 상고심을 포함하여 다수의 소송을 하였을 경우 그 소송동안 피보험자가 실제로 부담한 전체 변호사선임비용을 합쳐서 가입금액을 한도로 보상",,,,,,,,,,file_38.xls,업무상 과실치사상 변호사선임비용,"업무상 과실 또는 중대한 과실로 타인의 신체에 상해를 입혀 형법 제268조(업무상 과실·중과실 치사상)을 죄명으로 아래 ① 또는 ②로 인해 발생한 변호사선임비용 중 실제로 부담한 금액을 지급 ① 구속영장에 의해 구속되거나 검사에 의해 공소제기(단, 약식기소 제외)된 경우 ② 검사에 의해 약식기소 되었으나 법원에 의해 공판절차에 의한 재판이 진행되는 경우 ※ 1사고로 항소심, 상고심을 포함하여 다수의 소송을 하였을 경우 그 소송동안 피보험자가 실제로 부담한 전체 변호사선임비용을 합쳐서 가입금액을 한도로 보상",가입금액 한도,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB손보,카카오페이손해보험,주계약,자동차사고부상치료비(비운전자용),비운전중 자동차사고로 신체에 상해를 입고 ‘자동차손해배상보장법 시행령’에서 정한 부상등급을 받은 경우,비운전중 자동차사고로 신체에 상해를 입고 ‘자동차손해배상보장법 시행령’에서 정한 부상등급을 받은 경우,20만원,,,,,,,,,file_40.xls,자동차사고부상치료비(비운전자용),비운전중 자동차사고로 신체에 상해를 입고 ‘자동차손해배상보장법 시행령’에서 정한 부상등급을 받은 경우,20만원,,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 안전한 MY바이크 운전자보험2601,주계약,운전자용 벌금(Ⅳ)(비탑승중포함),자동차를 운전하던 중 또는 자가용자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써 신체상해와 관련하여 받은 벌금형을 확정판결 받은 경우,"3,000만원","3,000만원",9500,9500,,,,,,,file_42.xls,메리츠화재,(무) 메리츠 안전한 MY바이크 운전자보험2601,운전자용 벌금(Ⅳ)(비탑승중포함),자동차를 운전하던 중 또는 자가용자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써 신체상해와 관련하여 받은 벌금형을 확정판결 받은 경우,"3,000만원","9,500","9,500",119.4,118.1,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 안전한 MY바이크 운전자보험2601,주계약,운전자용 벌금(대물),자동차를 운전하던 중에 발생한 급격하고도 우연한 자동차사고로 도로교통법 제151조(벌칙)에 따른 벌금형이 확정된 경우,500만원,500만원,,,,,,,,,file_42.xls,운전자용 벌금(대물),자동차를 운전하던 중에 발생한 급격하고도 우연한 자동차사고로 도로교통법 제151조(벌칙)에 따른 벌금형이 확정된 경우,500만원,,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 안전한 MY바이크 운전자보험2601,주계약,이륜자동차 운전중 교통사고처리지원금(동승자제외),"이륜자동차를 운전하던 중에 발생한 급격하고도 우연히 발생한 자동차사고로 인하여 타인(피보험자의 부모, 배우자 및 자녀 및 피보험자가 운전하던 이륜자동차의 동승자인 경우 제외합니다)에게 상해를 입혀 형사합의를 한 경우",이륜자동차 운전중 교통사고처리지원금(동승자제외),1억원,,,,,,,,,file_42.xls,이륜자동차 운전중 교통사고처리지원금(동승자제외),"이륜자동차를 운전하던 중에 발생한 급격하고도 우연히 발생한 자동차사고로 인하여 타인(피보험자의 부모, 배우자 및 자녀 및 피보험자가 운전하던 이륜자동차의 동승자인 경우 제외합니다)에게 상해를 입혀 형사합의를 한 경우",1억원,,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 안전한 MY바이크 운전자보험2601,주계약,이륜자동차 운전중 교통상해사망,이륜자동차 운전중 교통상해의 직접결과로써 사망한 경우,,,,,,,,,,,file_42.xls,이륜자동차 운전중 교통상해사망,이륜자동차 운전중 교통상해의 직접결과로써 사망한 경우,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 안전한 MY바이크 운전자보험2601,주계약,자동차사고 변호사선임비용(Ⅲ),"자동차를 운전하던 중 또는 자가용자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써, 변호사선임비용을 부담함으로써 입은 손해",500만원,500만원,,,,,,,,,file_42.xls,자동차사고 변호사선임비용(Ⅲ),"자동차를 운전하던 중 또는 자가용자동차 운전 후 비탑승 상태에서 발생한 급격하고도 우연한 자동차사고로 타인의 신체에 상해를 입힘으로써, 변호사선임비용을 부담함으로써 입은 손해",500만원,,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 운전자 상해 종합보험2601(1종),주계약,교통사고·처리지원금(Ⅸ)(비탑승중포함),"자동차(이륜자동차 제외)를 운전하던 중 또는 운전 후 비탑승 상태에서 발생한 급격하고도 우연히 발생한 자동차사고로 인하여 타인(피보험자의 부모, 배우자 및 자녀인 경우 제외합니다)에게 상해를 입혀 형사합의를 한 경우",교통사고·처리지원금(Ⅸ)(비탑승중포함),2억원,5934,4911,,,,,,,file_42.xls,메리츠화재,(무) 메리츠 운전자 상해 종합보험2601(1종),교통사고·처리지원금(Ⅸ)(비탑승중포함),"자동차(이륜자동차 제외)를 운전하던 중 또는 운전 후 비탑승 상태에서 발생한 급격하고도 우연히 발생한 자동차사고로 인하여 타인(피보험자의 부모, 배우자 및 자녀인 경우 제외합니다)에게 상해를 입혀 형사합의를 한 경우",2억원,"5,934","4,911",114.7,115.0,,,,,,,,,,,,,,,,,,,,,
