보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
DB손보,(무)다이렉트 오잘공 골프보험2601(CM),,골프중카트사고부상(1~10급)치료비,"피보험자가 보험기간 중에 국내 소재의 골프시설에서 골프 카트를 운전하던 중 또는 탑승중, 골프카트에 탑승하지 않고 운행중인 골프카트와의 충돌, 접촉 등 으로 발생한 우연한 사고로 인한 상해의 직접적인 결과로써 자동차손해배상보장법시행령에서 정한 자동차사고 부상등급표의 부상등급을 받은 경우 보험가입금액 한도로 부상등급에 따라 차등 지급.",500만원,500만원,"5,520 원","5,520 원",,비갱신형,,,,,file_47.xls,,DB손보,(무)다이렉트 오잘공 골프보험2601(CM),골프중카트사고부상(1~10급)치료비,"피보험자가 보험기간 중에 국내 소재의 골프시설에서 골프 카트를 운전하던 중 또는 탑승중, 골프카트에 탑승하지 않고 운행중인 골프카트와의 충돌, 접촉 등 으로 발생한 우연한 사고로 인한 상해의 직접적인 결과로써 자동차손해배상보장법시행령에서 정한 자동차사고 부상등급표의 부상등급을 받은 경우 보험가입금액 한도로 부상등급에 따라 차등 지급.",500만원,"5,520","5,520",99.5,98.9,,,,,,,,,,,,,,,,,,,,
DB손보,(무)다이렉트 오잘공 골프보험2601(CM),,골프활동중 상해사망(보통약관),피보험자가 보험기간중 골프활동중 상해사고로 사망한 경우 가입금액 지급,10000만원,10000만원,,,,비갱신형,,,,,file_47.xls,,,,골프활동중 상해사망(보통약관),피보험자가 보험기간중 골프활동중 상해사고로 사망한 경우 가입금액 지급,10000만원,,,,,,,,,,,,,,,,,,,,,,,,
DB손보,(무)다이렉트 오잘공 골프보험2601(CM),,골프활동중배상책임(실손),"보험기간중 피보험자가 골프시설구내에서 골프의 연습,경기 또는 지도중에 타인의 신체 및 재물에 대한 법률상 배상책임을 부담함으로써 입은 손해를 가입금액한도로 보상(본인부담금 2만원)",2000만원,2000만원,,,,비갱신형,,,,,file_47.xls,,,,골프활동중배상책임(실손),"보험기간중 피보험자가 골프시설구내에서 골프의 연습,경기 또는 지도중에 타인의 신체 및 재물에 대한 법률상 배상책임을 부담함으로써 입은 손해를 가입금액한도로 보상(본인부담금 2만원)",2000만원,,,,,,,,,,,,,,,,,,,,,,,,
DB손보,(무)다이렉트 오잘공 골프보험2601(CM),,"알바트로스비용(깔때기홀제외)(정규홀,실손)","피보험자가 보험기간 중에 골프장에서 골프경기 중 알바트로스을 행한 경우 1회에 한하여 알바트로스를 행한 날로부터 1개월(단, 축하라운드의 경우 3개월) 이내 소요된 금액(약관에서 정한 항목 내)을 보험 가입금액을 한도로 지급(18홀 이상을 보유한 국내 소재의 회원제골프장 및 정규대중골프장에 한함)",100만원,100만원,,,,비갱신형,,,,,file_47.xls,,,,"알바트로스비용(깔때기홀제외)(정규홀,실손)","피보험자가 보험기간 중에 골프장에서 골프경기 중 알바트로스을 행한 경우 1회에 한하여 알바트로스를 행한 날로부터 1개월(단, 축하라운드의 경우 3개월) 이내 소요된 금액(약관에서 정한 항목 내)을 보험 가입금액을 한도로 지급(18홀 이상을 보유한 국내 소재의 회원제골프장 및 정규대중골프장에 한함)",100만원,,,,,,,,,,,,,,,,,,,,,,,,
DB손보,(무)다이렉트 오잘공 골프보험2601(CM),,"홀인원비용(깔때기홀제외)(정규홀,실손)(연간1회한)","피보험자가 보험기간 중에 골프장에서 골프경기 중 홀인원을 행한 경우 연간 1회에 한하여 홀인원을 행한 날부터 1개월(단, 축하라운드의 경우 3개월) 이내에 소요된 금액(약관에서 정한 항목 내)을 보험가입금액을 한도로 지급(18홀 이상을 보유한 국내 소재의 회원제골프장 및 정규대중골프장에 한함)",,,,,,비갱신형,,,,,file_47.xls,,,,"홀인원비용(깔때기홀제외)(정규홀,실손)(연간1회한)","피보험자가 보험기간 중에 골프장에서 골프경기 중 홀인원을 행한 경우 연간 1회에 한하여 홀인원을 행한 날부터 1개월(단, 축하라운드의 경우 3개월) 이내에 소요된 금액(약관에서 정한 항목 내)을 보험가입금액을 한도로 지급(18홀 이상을 보유한 국내 소재의 회원제골프장 및 정규대중골프장에 한함)",,,,,,,,,,,,,,,,,,,,,,,,,
하나생명,(무)Top3 시그니처안심보험,주계약,상과염수술급여금,"피보험자가 보험기간 중 ‘상과염(테니스엘보, 골프엘보)’으 로 진단이 확정되고, 그 치료를 직접적인 목적으로 수술을 받았을 때",수술 1회당 60만원,3천만원,"190,700 원","86,125 원",,비갱신형,,,,,보장성_상품비교_20260608162045373.xls,하나생명,(무)Top3 시그니처안심보험,주계약,상과염수술급여금,"피보험자가 보험기간 중 ‘상과염(테니스엘보, 골프엘보)’으 로 진단이 확정되고, 그 치료를 직접적인 목적으로 수술을 받았을 때",수술 1회당 60만원,3천만원,2288400  원,"1,033,500  원",3.25 %,-,-,101.2 %,100.0 %,-,-,-,-,기타,순수보장,비갱신형,비유니버셜,방카슈랑스,2026-05-01,"1. 가입연령 : 20세 ~ 최대 75세 2. 보험기간 : 100세/110세 만기 3. 납입주기 : 연납/월납 4. 납입기간 : 3/4/5/7/10/15/20년납 5. 상품유형 : 표준형 6. 보험료 예시기준 : 40세, 100세 만기, 20년납, 월납, 가입금액 3,000만원 7. 보험가격지수 예시기준 : 40세, 100세만기, 20년납, 월납, 가입금액 3,000만원 8. 적용이율에 관한 사항 : 적용이율은 보험기간 5년 이내 연복리 3.25%, 5년 초과 10년 이내 연복리 2.75%, 10년 초과 연복리 1.75%",1577-1112,,,,
한화생명,한화생명 간편가입 포켓레저보험 무배당,주계약,특정 팔근육염증 및 내·외측상과염 진단자금,피보험자가 보험기간 중 ‘특정 팔근육염증 및 내·외측상과염’으로 진단이 확정되었을 경우(최초 1회한),5만원,50만원  원,"7,666 원","4,699 원",,비갱신형,,,,,보장성_상품비교_20260608162059302.xls,한화생명,한화생명 간편가입 포켓레저보험 무배당,주계약,특정 팔근육염증 및 내·외측상과염 진단자금,피보험자가 보험기간 중 ‘특정 팔근육염증 및 내·외측상과염’으로 진단이 확정되었을 경우(최초 1회한),5만원,50만원  원,7666  원,"4,699  원",2.50 %,-,-,137.4 %,117.2 %,-,-,-,-,보험기간(1년 이하),무해지/저해지환급,비갱신형,비유니버셜,CM,2026-05-18,"1. 가입나이 : 만 19세 ~ 65세 2. 납입주기 : 일시납 3. 가입한도 : 보험가입금액 50만원 4. 보험기간 : 1년만기 5. 보험가격지수 기준 : 40세, 1년만기, 일시납, 주계약가입금액 50만원 6. 보험료 기준 : 40세, 1년만기, 일시납, 주계약가입금액 50만원 7. 확정이율 : 2.50% * 특약 : 부가가능 특약 無",1588-6363,,,,
한화생명,한화생명 간편가입 포켓레저보험 무배당,주계약,특정 다리근육염증 및 족저근막염 진단자금,피보험자가 보험기간 중 ‘특정 다리근육염증 및 족저근막염’으로 진단이 확정되었을 경우(최초 1회한),5만원,50만원  원,"7,666 원","4,699 원",,비갱신형,,,,,보장성_상품비교_20260608162059302.xls,한화생명,한화생명 간편가입 포켓레저보험 무배당,주계약,특정 다리근육염증 및 족저근막염 진단자금,피보험자가 보험기간 중 ‘특정 다리근육염증 및 족저근막염’으로 진단이 확정되었을 경우(최초 1회한),5만원,50만원  원,7666  원,"4,699  원",2.50 %,-,-,137.4 %,117.2 %,-,-,-,-,보험기간(1년 이하),무해지/저해지환급,비갱신형,비유니버셜,CM,2026-05-18,"1. 가입나이 : 만 19세 ~ 65세 2. 납입주기 : 일시납 3. 가입한도 : 보험가입금액 50만원 4. 보험기간 : 1년만기 5. 보험가격지수 기준 : 40세, 1년만기, 일시납, 주계약가입금액 50만원 6. 보험료 기준 : 40세, 1년만기, 일시납, 주계약가입금액 50만원 7. 확정이율 : 2.50% * 특약 : 부가가능 특약 無",1588-6363,,,,
한화생명,한화생명 간편가입 포켓레저보험 무배당,주계약,재해 특정 무릎인대파열 및 연골찢김 수술자금,"피보험자가 보험기간 중 발생한 재해를 직접적인 원인으로 ‘특정 무릎인대파열 및 연골찢김’으로 진단이 확정되고, 보험기간 중 그 치료를 직접적인 목적으로 수술을 받았을 경우(최초 1회한)",50만원,50만원  원,"7,666 원","4,699 원",,비갱신형,,,,,보장성_상품비교_20260608162059302.xls,한화생명,한화생명 간편가입 포켓레저보험 무배당,주계약,재해 특정 무릎인대파열 및 연골찢김 수술자금,"피보험자가 보험기간 중 발생한 재해를 직접적인 원인으로 ‘특정 무릎인대파열 및 연골찢김’으로 진단이 확정되고, 보험기간 중 그 치료를 직접적인 목적으로 수술을 받았을 경우(최초 1회한)",50만원,50만원  원,7666  원,"4,699  원",2.50 %,-,-,137.4 %,117.2 %,-,-,-,-,보험기간(1년 이하),무해지/저해지환급,비갱신형,비유니버셜,CM,2026-05-18,"1. 가입나이 : 만 19세 ~ 65세 2. 납입주기 : 일시납 3. 가입한도 : 보험가입금액 50만원 4. 보험기간 : 1년만기 5. 보험가격지수 기준 : 40세, 1년만기, 일시납, 주계약가입금액 50만원 6. 보험료 기준 : 40세, 1년만기, 일시납, 주계약가입금액 50만원 7. 확정이율 : 2.50% * 특약 : 부가가능 특약 無",1588-6363,,,,
한화생명,한화생명 간편가입 포켓레저보험 무배당,주계약,재해 아킬레스힘줄손상 수술자금,"피보험자가 보험기간 중 발생한 재해를 직접적인 원인으로 ‘아킬레스힘줄손상’으로 진단이 확정되고, 보험기간 중 그 치료를 직접적인 목적으로 수술을 받았을 경우(최초 1회한)",25만원,50만원  원,"7,666 원","4,699 원",,비갱신형,,,,,보장성_상품비교_20260608162059302.xls,한화생명,한화생명 간편가입 포켓레저보험 무배당,주계약,재해 아킬레스힘줄손상 수술자금,"피보험자가 보험기간 중 발생한 재해를 직접적인 원인으로 ‘아킬레스힘줄손상’으로 진단이 확정되고, 보험기간 중 그 치료를 직접적인 목적으로 수술을 받았을 경우(최초 1회한)",25만원,50만원  원,7666  원,"4,699  원",2.50 %,-,-,137.4 %,117.2 %,-,-,-,-,보험기간(1년 이하),무해지/저해지환급,비갱신형,비유니버셜,CM,2026-05-18,"1. 가입나이 : 만 19세 ~ 65세 2. 납입주기 : 일시납 3. 가입한도 : 보험가입금액 50만원 4. 보험기간 : 1년만기 5. 보험가격지수 기준 : 40세, 1년만기, 일시납, 주계약가입금액 50만원 6. 보험료 기준 : 40세, 1년만기, 일시납, 주계약가입금액 50만원 7. 확정이율 : 2.50% * 특약 : 부가가능 특약 無",1588-6363,,,,
