0,1,2,3,4,5,6,7,8,9,10,11,12,13,source_file
,메리츠화재,(무) 메리츠 노후실손의료비보험2601,노후실손의료비_상해형,상해로 인하여 병원에 입원 또는 통원하여 치료 및 처방조제시,1억원 한도,"60,078","65,195",102.1,102.2,,,,,file_30.xls
,삼성화재,무배당 삼성화재 노후실손의료비보험(2601.20),노후실손의료비B(상해형),상해로 인하여 병원(요양병원 제외)에 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우 의료비 중 본인이 실제로 부담한 금액에서 공제금액을 차감한 후의 금액에 대해 40%해당액을 연간 보험가입금액 한도로 보상,"연간 1억원 한도. 다만, 통원은 회(건)당 1백만원을 최고한도로 함","54,476","65,652",94.7,94.8,,,,,file_30.xls
,메리츠화재,(무) 메리츠 유병력자 실손의료비보험2601,상해입원,상해로 인하여 병원에 입원하여 치료를 받은 경우(하나의 상해당 보험가입 금액 한도 내에서 보상)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우에는 입원의료비(‘국민건강보험 요양급여의 기준에 관한 규칙’에 따라 보건복지부장관이 정한 급여 및 비급여의료비 항목에 한합니다) 중 본인이 실제로 부담한 금액의 40%해당액을 보험가입금액 한도로 보상,"5,000만원 한도","29,563","42,581",98.0,98.0,,,,,file_31.xls
,흥국화재,무배당 흥Good 유병력자 실손의료보험(26.01),유병력자 상해입원의료비,피보험자가 상해로 인하여 병원에 입원하여 치료를 받은 경우,보상대상의료비에서 10만원과 보상대상의료비의 30% 중 큰 금액을 차감한 금액,"28,503","42,214",99.9,99.9,,,,,file_31.xls
,삼성화재,무배당 삼성화재 다이렉트 유병력자 실손의료비보험(2601.10),유병력자 실손의료비(상해외래),"상해로 인하여 병원에 통원하여 치료를 받은 경우(매년 계약해당일부터 1년 단위로 보상) ※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우 의료비 중 본인이 실제로 부담한 금액에서 공제금액을 차감한 후의 금액에 대해 40%해당액을 연간 보험가입금액 한도로 보상 ※단, 처방조제비는 보상하지 않음",가입금액 한도,"40,682","55,665",95.2,95.2,,,,,file_31.xls
,삼성화재,무배당 삼성화재 유병력자실손의료비보험(2601.13),유병력자 실손의료비(상해입원),상해로 인하여 병원에 입원하여 치료를 받은 경우(하나의 상해당 보험가입금액 한도내에서 보상) ※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우 의료비 중 본인이 실제로 부담한 금액에서 공제금액을 차감한 후의 금액에 대해 40%해당액을 보험가입금액 한도 내에서 보상,가입금액 한도,"42,476","58,119",99.4,99.4,,,,,file_31.xls
,메리츠화재,(무) 메리츠 다이렉트 실손의료비보험2601,3대비급여,"상해 또는 질병으로 병원에 입원 또는 통원하여 비급여 도수치료·체외충격파치료·증식치료를 받은 경우(최초 10회 보장, 이후 객관적이고 일반적으로 인정되는 검사결과 등을 토대로 증상의 개선, 병변호전 등이 확인된 경우에 한하여 10회 단위로 연간 50회까지 보상), 비급여에 해당하는 주사료를 부담하는 경우(연간 입·통원 합산하여 50회까지 보상), 비급여 자기공명영상진단을 받은 경우에 보상※ 공제금액은 3만원과 보장대상 의료비의 30% 중 큰 금액","도수치료·체외충격파치료·증식치료 350만원, 주사료 250만원, 자기공명영상진단 300만원 한도(공제금액 적용)","19,776","24,144",142.3,140.7,,,,,file_32.xls
,메리츠화재,(무) 메리츠 실손의료비보험2601,3대비급여,"상해 또는 질병으로 병원에 입원 또는 통원하여 비급여 도수치료·체외충격파치료·증식치료를 받은 경우(최초 10회 보장, 이후 객관적이고 일반적으로 인정되는 검사결과 등을 토대로 증상의 개선, 병변호전 등이 확인된 경우에 한하여 10회 단위로 연간 50회까지 보상), 비급여에 해당하는 주사료를 부담하는 경우(연간 입·통원 합산하여 50회까지 보상), 비급여 자기공명영상진단을 받은 경우에 보상※ 공제금액은 3만원과 보장대상 의료비의 30% 중 큰 금액","도수치료·체외충격파치료·증식치료 350만원, 주사료 250만원, 자기공명영상진단 300만원 한도(공제금액 적용)","20,393","24,899",146.7,145.1,,,,,file_32.xls
,흥국화재,무배당 흥Good 실손의료보험(26.01),3대비급여의료비(비급여70%)(갱신형_1년),피보험자가 보험기간 중 상해 또는 질병으로 의료기관에 입원 또는 통원하여 3대비급여 치료를 받은 경우,"①도수치료/체외충격파치료/증식치료 : 1회당 3만원과 보장대상의료비의 30% 중 큰 금액 공제(각 상해·질병 치료행위를 합산하여 연간 350만원 이내에서 50회까지 보상)(각 치료횟수를 합산하여 최초 10회 보장하고, 이후 객관적이고 일반적으로 인정되는 검사결과 등을 토대로 증상의 개선, 병변호전 등이 확인된 경우에 한하여 10회 단위로 연간 50회까지 보상)②주사료 : 1회당 3만원과 보장대상의료비의 30%중 큰 금액 공제( 각 상해·질병 치료행위를 합산하여 연간 250만원 이내에서 50회까지 보상)③자기공명영상진단 : 1회당 3만원과 보장대상의료비의 30% 중 큰 금액 공제(각 상해·질병 치료행위를 합산하여 연간 300만원 이내에서 보상)","24,963","30,848",179.6,179.7,,,,,file_32.xls
,흥국화재,무배당 흥Good 다이렉트 실손의료보험(26.01),상해3대비급여의료비(비급여70%)(갱신형_1년),피보험자가 보험기간 중 상해 또는 질병으로 의료기관에 입원 또는 통원하여 3대비급여 치료를 받은 경우,"①도수치료/체외충격파치료/증식치료 : 1회당 3만원과 보장대상의료비의 30% 중 큰 금액 공제(각 상해·질병 치료행위를 합산하여 연간 350만원 이내에서 50회까지 보상)(각 치료횟수를 합산하여 최초 10회 보장하고, 이후 객관적이고 일반적으로 인정되는 검사결과 등을 토대로 증상의 개선, 병변호전 등이 확인된 경우에 한하여 10회 단위로 연간 50회까지 보상)②주사료 : 1회당 3만원과 보장대상의료비의 30%중 큰 금액 공제( 각 상해·질병 치료행위를 합산하여 연간 250만원 이내에서 50회까지 보상)③자기공명영상진단 : 1회당 3만원과 보장대상의료비의 30% 중 큰 금액 공제(각 상해·질병 치료행위를 합산하여 연간 300만원 이내에서 보상)","23,544","29,096",169.4,169.5,,,,,file_32.xls
,삼성화재,무배당 삼성화재 실손의료비보험(2501.5),급여 실손의료비(상해),상해로 인하여 의료기관에 입원 또는 통원하여 급여치료를 받거나 급여 처방조제를 받은 경우(매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상,가입금액 한도,"17,137","21,547",125.3,127.9,,,,,file_32.xls
,삼성화재,무배당 삼성화재 다이렉트 실손의료비보험(2501.5),급여 실손의료비(상해),상해로 인하여 의료기관에 입원 또는 통원하여 급여치료를 받거나 급여 처방조제를 받은 경우(매년 계약해당일부터 1년 단위로 가입금액 한도 내에서 보상)※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우(요양급여 또는 의료급여 절차를 거치지 아니한 경우 포함)에는 본인이 실제로 부담한 금액의 40%에 해당하는 금액을 보험가입금액 한도 내에서 보상,가입금액 한도,"16,411","20,636",120,122.5,,,,,file_32.xls
