보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,남성보험료,여성보험료,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27
메리츠화재,(무) 펫퍼민트 Cat&Family보험 다이렉트2604,(무) 펫퍼민트 Cat&Family보험 다이렉트2604,일반상해80%이상후유장해,상해로 장해지급률이 80%이상에 해당하는 장해상태가 되었을 때,1억원,"32,432","32,432 원",98 원,98 원,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,메리츠화재,(무) 펫퍼민트 Cat&Family보험 다이렉트2604,일반상해80%이상후유장해,상해로 장해지급률이 80%이상에 해당하는 장해상태가 되었을 때,1억원,"32,432","32,332",98.7,98.7,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Cat&Family보험 다이렉트2604,,펫퍼민트 반려묘 입원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 입원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,500만원 한도,,,,,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,,,펫퍼민트 반려묘 입원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 입원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,500만원 한도,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Cat&Family보험 다이렉트2604,,펫퍼민트 반려묘 통원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 통원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,,,,,,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,,,펫퍼민트 반려묘 통원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 통원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Puppy&Family보험 다이렉트2604,(무) 펫퍼민트 Puppy&Family보험 다이렉트2604,갱신형 펫퍼민트 반려견 배상책임보장,반려견의 행위에 기인하는 우연한 사고로 피해자에게 신체의 장해에 대한 법률상의 배상책임 또는 타인 소유의 반려동물에 손해를 입혀 그에 대한 배상책임 부담시 자기부담금을 차감한 금액의 지급한도액 내에서 보상,1000만원 한도,"33,971","33,971 원",110 원,110 원,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,메리츠화재,(무) 펫퍼민트 Puppy&Family보험 다이렉트2604,갱신형 펫퍼민트 반려견 배상책임보장,반려견의 행위에 기인하는 우연한 사고로 피해자에게 신체의 장해에 대한 법률상의 배상책임 또는 타인 소유의 반려동물에 손해를 입혀 그에 대한 배상책임 부담시 자기부담금을 차감한 금액의 지급한도액 내에서 보상,1000만원 한도,"33,971","33,871",110.3,110.3,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Puppy&Family보험 다이렉트2604,,일반상해80%이상후유장해,상해로 장해지급률이 80%이상에 해당하는 장해상태가 되었을 때,1억원,,,,,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,,,일반상해80%이상후유장해,상해로 장해지급률이 80%이상에 해당하는 장해상태가 되었을 때,1억원,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Puppy&Family보험 다이렉트2604,,펫퍼민트 반려견 입원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 입원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,500만원 한도,,,,,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,,,펫퍼민트 반려견 입원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 입원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,500만원 한도,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Puppy&Family보험 다이렉트2604,,펫퍼민트 반려견 통원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 통원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,,,,,,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,,,펫퍼민트 반려견 통원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 통원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Cat&Family보험2604,(무) 펫퍼민트 Cat&Family보험2604,일반상해80%이상후유장해,상해로 장해지급률이 80%이상에 해당하는 장해상태가 되었을 때,1억원,"34,465","34,465 원",104 원,104 원,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,메리츠화재,(무) 펫퍼민트 Cat&Family보험2604,일반상해80%이상후유장해,상해로 장해지급률이 80%이상에 해당하는 장해상태가 되었을 때,1억원,"34,465","34,365",104.9,104.9,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Cat&Family보험2604,,펫퍼민트 반려묘 입원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 입원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,500만원 한도,,,,,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,,,펫퍼민트 반려묘 입원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 입원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,500만원 한도,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Cat&Family보험2604,,펫퍼민트 반려묘 통원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 통원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,,,,,,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,,,펫퍼민트 반려묘 통원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 통원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Puppy&Family보험2604,(무) 펫퍼민트 Puppy&Family보험2604,갱신형 펫퍼민트 반려견 배상책임보장,반려견의 행위에 기인하는 우연한 사고로 피해자에게 신체의 장해에 대한 법률상의 배상책임 또는 타인 소유의 반려동물에 손해를 입혀 그에 대한 배상책임 부담시 자기부담금을 차감한 금액의 지급한도액 내에서 보상,1000만원 한도,"37,461","37,461 원",121 원,121 원,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,메리츠화재,(무) 펫퍼민트 Puppy&Family보험2604,갱신형 펫퍼민트 반려견 배상책임보장,반려견의 행위에 기인하는 우연한 사고로 피해자에게 신체의 장해에 대한 법률상의 배상책임 또는 타인 소유의 반려동물에 손해를 입혀 그에 대한 배상책임 부담시 자기부담금을 차감한 금액의 지급한도액 내에서 보상,1000만원 한도,"37,461","37,361",121.6,121.7,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Puppy&Family보험2604,,일반상해80%이상후유장해,상해로 장해지급률이 80%이상에 해당하는 장해상태가 되었을 때,1억원,,,,,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,,,일반상해80%이상후유장해,상해로 장해지급률이 80%이상에 해당하는 장해상태가 되었을 때,1억원,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Puppy&Family보험2604,,펫퍼민트 반려견 입원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 입원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,500만원 한도,,,,,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,,,펫퍼민트 반려견 입원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 입원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,500만원 한도,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 펫퍼민트 Puppy&Family보험2604,,펫퍼민트 반려견 통원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 통원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,,,,,,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,,,펫퍼민트 반려견 통원의료비보장,반려동물에게 질병 또는 상해가 발생하여 그 치료를 직접적인 목적으로 국내 동물병원에 통원하여 수의사에게 치료를 받은 때 피보험자가 부담한 치료비에서 자기부담금을 차감한 금액의 80% 지급한도액 내에서 보상,,,,,,,,,,,,,,,,,,,,,,,
삼성화재,무배당 삼성화재 다이렉트 착한펫보험(강아지)(2601.6),무배당 삼성화재 다이렉트 착한펫보험(강아지)(2601.6),[갱신형] 반려견 배상책임,보험증권에 기재된 피보험자의 반려견의 행위에 기인하는 우연한 사고로 타인의 신체의 피해(대인) 또는 타인의 반려동물의 손해(대물)에 대한 법률상배상책임을 부담함으로써 입은 손해 발생시 가입금액을 한도로 보상※ 1사고당 자기부담금 : 10만원,가입금액 한도,"25,725","25,725 원",94 원,94 원,,,비갱신형,,,,,장기보장성 비교 공시 (10).xls,,삼성화재,무배당 삼성화재 다이렉트 착한펫보험(강아지)(2601.6),[갱신형] 반려견 배상책임,보험증권에 기재된 피보험자의 반려견의 행위에 기인하는 우연한 사고로 타인의 신체의 피해(대인) 또는 타인의 반려동물의 손해(대물)에 대한 법률상배상책임을 부담함으로써 입은 손해 발생시 가입금액을 한도로 보상※ 1사고당 자기부담금 : 10만원,가입금액 한도,"25,725","25,485",94.2,94.2,,,,,,,,,,,,,,,,,,
