보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
삼성생명,삼성 인생금융 대출안심보험(2403)(무배당) 1종(담보대출 플랜),주계약,사망보험금,피보험자가 보험기간 중 사망하였을 경우,1억원,1억원,"10,800 원","6,400 원",2.50 %,비갱신형,CM,2024-03-04,"□ 필수기재사항 1. 가입나이  - (최초가입) 최저 20세 ~ 최고 60세  - (재가입) 최저 25세 ~ 최고 85세 2. 보험기간  - 5년만기[재가입형]  ※ 최대 40년까지 보장 3. 보험료 및 보험가격지수 예시기준  - 주보험 보험가입금액 1억원, 5년만기, 5년납, 월납, 40세 □ 선택기재사항 1. 납입기간 : 5년납(전기납) 2. 납입주기 : 월납",1588-3114,file_11.xls,삼성생명,삼성 인생금융 대출안심보험(2403)(무배당) 1종(담보대출 플랜),주계약,사망보험금,피보험자가 보험기간 중 사망하였을 경우,1억원,1억원,10800  원,"6,400  원",2.50 %,-,-,118.1 %,107.0 %,-,-,-,-,기본형,순수보장,-,-,-,-,비갱신형,비유니버셜,CM,2024-03-04,"□ 필수기재사항 1. 가입나이  - (최초가입) 최저 20세 ~ 최고 60세  - (재가입) 최저 25세 ~ 최고 85세 2. 보험기간  - 5년만기[재가입형]  ※ 최대 40년까지 보장 3. 보험료 및 보험가격지수 예시기준  - 주보험 보험가입금액 1억원, 5년만기, 5년납, 월납, 40세 □ 선택기재사항 1. 납입기간 : 5년납(전기납) 2. 납입주기 : 월납",1588-3114
삼성생명,삼성 인생금융 대출안심보험(2403)(무배당) 2종(신용대출 플랜),주계약,사망보험금,"보험기간 중 ""3대질병진단보험금"" 지급사유가 발생하지 않고 사망하였을 경우","1,000만원","1,000만원","4,090 원","4,120 원",2.50 %,비갱신형,CM,2024-03-04,"□ 필수기재사항 1. 가입나이 : 최저 20세 ~ 최고 60세 2. 보험기간 : 5년만기 3. 보험가격지수 예시기준  - 주보험 보험가입금액 3,000만원, 5년만기, 5년납, 월납, 40세 4. 보험료 예시기준  - 주보험 보험가입금액 1,000만원, 5년만기, 5년납, 월납, 40세 □ 선택기재사항 1. 납입기간 : 5년납(전기납) 2. 납입주기 : 월납",1588-3114,file_11.xls,삼성생명,삼성 인생금융 대출안심보험(2403)(무배당) 2종(신용대출 플랜),주계약,사망보험금,"보험기간 중 ""3대질병진단보험금"" 지급사유가 발생하지 않고 사망하였을 경우","1,000만원","1,000만원",4090  원,"4,120  원",2.50 %,-,-,109.6 %,107.0 %,-,-,-,-,기본형,순수보장,-,-,-,-,비갱신형,비유니버셜,CM,2024-03-04,"□ 필수기재사항 1. 가입나이 : 최저 20세 ~ 최고 60세 2. 보험기간 : 5년만기 3. 보험가격지수 예시기준  - 주보험 보험가입금액 3,000만원, 5년만기, 5년납, 월납, 40세 4. 보험료 예시기준  - 주보험 보험가입금액 1,000만원, 5년만기, 5년납, 월납, 40세 □ 선택기재사항 1. 납입기간 : 5년납(전기납) 2. 납입주기 : 월납",1588-3114
삼성생명,삼성 인생금융 대출안심보험(2403)(무배당) 2종(신용대출 플랜),주계약,3대질병 진단보험금,"보험기간 중 「암보장개시일 이후에 ""암(소액 암 제외)""으로 진단 확정 되었을 경우」 또는 「""뇌출혈"", ""급성심근경색증"" 중 하나로 진단 확정되었을 경우」(최초 1회한)","1,000만원","1,000만원","4,090 원","4,120 원",2.50 %,비갱신형,CM,2024-03-04,"□ 필수기재사항 1. 가입나이 : 최저 20세 ~ 최고 60세 2. 보험기간 : 5년만기 3. 보험가격지수 예시기준  - 주보험 보험가입금액 3,000만원, 5년만기, 5년납, 월납, 40세 4. 보험료 예시기준  - 주보험 보험가입금액 1,000만원, 5년만기, 5년납, 월납, 40세 □ 선택기재사항 1. 납입기간 : 5년납(전기납) 2. 납입주기 : 월납",1588-3114,file_11.xls,삼성생명,삼성 인생금융 대출안심보험(2403)(무배당) 2종(신용대출 플랜),주계약,3대질병 진단보험금,"보험기간 중 「암보장개시일 이후에 ""암(소액 암 제외)""으로 진단 확정 되었을 경우」 또는 「""뇌출혈"", ""급성심근경색증"" 중 하나로 진단 확정되었을 경우」(최초 1회한)","1,000만원","1,000만원",4090  원,"4,120  원",2.50 %,-,-,109.6 %,107.0 %,-,-,-,-,기본형,순수보장,-,-,-,-,비갱신형,비유니버셜,CM,2024-03-04,"□ 필수기재사항 1. 가입나이 : 최저 20세 ~ 최고 60세 2. 보험기간 : 5년만기 3. 보험가격지수 예시기준  - 주보험 보험가입금액 3,000만원, 5년만기, 5년납, 월납, 40세 4. 보험료 예시기준  - 주보험 보험가입금액 1,000만원, 5년만기, 5년납, 월납, 40세 □ 선택기재사항 1. 납입기간 : 5년납(전기납) 2. 납입주기 : 월납",1588-3114
삼성생명,삼성 상생금융 대출안심보험(2403)(무배당) 1종(담보대출 플랜),주계약,사망보험금,피보험자가 보험기간 중 사망하였을 경우,1억원,1억원,"8,600 원","5,100 원",2.50 %,비갱신형,CM,2024-03-04,"□ 필수기재사항 1. 가입나이  - (최초가입) 최저 20세 ~ 최고 60세  - (재가입) 최저 25세 ~ 최고 85세 2. 보험기간  - 5년만기[재가입형]  ※ 최대 40년까지 보장 3. 보험료 및 보험가격지수 예시기준  - 주보험 보험가입금액 1억원, 5년만기, 5년납, 월납, 40세 □ 선택기재사항 1. 납입기간 : 5년납(전기납) 2. 납입주기 : 월납 3. 상생협력형 가입 대상  - 내집마련 디딤돌 대출 이용자  - 다자녀 가정(2명이상) * 단, 태아는 제외 4. 상생협력형 할인 혜택  - 「삼성 인생금융 대출안심보험(2308)(무배당)」 영업보험료의 20% 할인",1588-3114,file_11.xls,삼성생명,삼성 상생금융 대출안심보험(2403)(무배당) 1종(담보대출 플랜),주계약,사망보험금,피보험자가 보험기간 중 사망하였을 경우,1억원,1억원,8600  원,"5,100  원",2.50 %,-,-,94.0 %,85.3 %,-,-,-,-,기본형,순수보장,-,-,-,-,비갱신형,비유니버셜,CM,2024-03-04,"□ 필수기재사항 1. 가입나이  - (최초가입) 최저 20세 ~ 최고 60세  - (재가입) 최저 25세 ~ 최고 85세 2. 보험기간  - 5년만기[재가입형]  ※ 최대 40년까지 보장 3. 보험료 및 보험가격지수 예시기준  - 주보험 보험가입금액 1억원, 5년만기, 5년납, 월납, 40세 □ 선택기재사항 1. 납입기간 : 5년납(전기납) 2. 납입주기 : 월납 3. 상생협력형 가입 대상  - 내집마련 디딤돌 대출 이용자  - 다자녀 가정(2명이상) * 단, 태아는 제외 4. 상생협력형 할인 혜택  - 「삼성 인생금융 대출안심보험(2308)(무배당)」 영업보험료의 20% 할인",1588-3114
삼성생명,삼성 상생금융 대출안심보험(2403)(무배당) 2종(신용대출 플랜),주계약,사망보험금,"보험기간 중 ""3대질병진단보험금"" 지급사유가 발생하지 않고 사망하였을 경우","1,000만원","1,000만원","3,270 원","3,300 원",2.50 %,비갱신형,CM,2024-03-04,"□ 필수기재사항 1. 가입나이 : 최저 20세 ~ 최고 60세 2. 보험기간 : 5년만기 3. 보험가격지수 예시기준  - 주보험 보험가입금액 3,000만원, 5년만기, 5년납, 월납, 40세 4. 보험료 예시기준  - 주보험 보험가입금액 1,000만원, 5년만기, 5년납, 월납, 40세 □ 선택기재사항 1. 납입기간 : 5년납(전기납) 2. 납입주기 : 월납 3. 상생협력형 가입 대상  - 내집마련 디딤돌 대출 이용자  - 다자녀 가정(2명이상) * 단, 태아는 제외 4. 상생협력형 할인 혜택  - 「삼성 인생금융 대출안심보험(2308)(무배당)」 영업보험료의 20% 할인",1588-3114,file_11.xls,삼성생명,삼성 상생금융 대출안심보험(2403)(무배당) 2종(신용대출 플랜),주계약,사망보험금,"보험기간 중 ""3대질병진단보험금"" 지급사유가 발생하지 않고 사망하였을 경우","1,000만원","1,000만원",3270  원,"3,300  원",2.50 %,-,-,87.6 %,85.7 %,-,-,-,-,기본형,순수보장,-,-,-,-,비갱신형,비유니버셜,CM,2024-03-04,"□ 필수기재사항 1. 가입나이 : 최저 20세 ~ 최고 60세 2. 보험기간 : 5년만기 3. 보험가격지수 예시기준  - 주보험 보험가입금액 3,000만원, 5년만기, 5년납, 월납, 40세 4. 보험료 예시기준  - 주보험 보험가입금액 1,000만원, 5년만기, 5년납, 월납, 40세 □ 선택기재사항 1. 납입기간 : 5년납(전기납) 2. 납입주기 : 월납 3. 상생협력형 가입 대상  - 내집마련 디딤돌 대출 이용자  - 다자녀 가정(2명이상) * 단, 태아는 제외 4. 상생협력형 할인 혜택  - 「삼성 인생금융 대출안심보험(2308)(무배당)」 영업보험료의 20% 할인",1588-3114
삼성생명,삼성 상생금융 대출안심보험(2403)(무배당) 2종(신용대출 플랜),주계약,3대질병 진단보험금,"보험기간 중 「암보장개시일 이후에 ""암(소액 암 제외)""으로 진단 확정 되었을 경우」 또는 「""뇌출혈"", ""급성심근경색증"" 중 하나로 진단 확정되었을 경우」(최초 1회한)","1,000만원","1,000만원","3,270 원","3,300 원",2.50 %,비갱신형,CM,2024-03-04,"□ 필수기재사항 1. 가입나이 : 최저 20세 ~ 최고 60세 2. 보험기간 : 5년만기 3. 보험가격지수 예시기준  - 주보험 보험가입금액 3,000만원, 5년만기, 5년납, 월납, 40세 4. 보험료 예시기준  - 주보험 보험가입금액 1,000만원, 5년만기, 5년납, 월납, 40세 □ 선택기재사항 1. 납입기간 : 5년납(전기납) 2. 납입주기 : 월납 3. 상생협력형 가입 대상  - 내집마련 디딤돌 대출 이용자  - 다자녀 가정(2명이상) * 단, 태아는 제외 4. 상생협력형 할인 혜택  - 「삼성 인생금융 대출안심보험(2308)(무배당)」 영업보험료의 20% 할인",1588-3114,file_11.xls,삼성생명,삼성 상생금융 대출안심보험(2403)(무배당) 2종(신용대출 플랜),주계약,3대질병 진단보험금,"보험기간 중 「암보장개시일 이후에 ""암(소액 암 제외)""으로 진단 확정 되었을 경우」 또는 「""뇌출혈"", ""급성심근경색증"" 중 하나로 진단 확정되었을 경우」(최초 1회한)","1,000만원","1,000만원",3270  원,"3,300  원",2.50 %,-,-,87.6 %,85.7 %,-,-,-,-,기본형,순수보장,-,-,-,-,비갱신형,비유니버셜,CM,2024-03-04,"□ 필수기재사항 1. 가입나이 : 최저 20세 ~ 최고 60세 2. 보험기간 : 5년만기 3. 보험가격지수 예시기준  - 주보험 보험가입금액 3,000만원, 5년만기, 5년납, 월납, 40세 4. 보험료 예시기준  - 주보험 보험가입금액 1,000만원, 5년만기, 5년납, 월납, 40세 □ 선택기재사항 1. 납입기간 : 5년납(전기납) 2. 납입주기 : 월납 3. 상생협력형 가입 대상  - 내집마련 디딤돌 대출 이용자  - 다자녀 가정(2명이상) * 단, 태아는 제외 4. 상생협력형 할인 혜택  - 「삼성 인생금융 대출안심보험(2308)(무배당)」 영업보험료의 20% 할인",1588-3114
메트라이프생명,무배당 e수술보장 대출상환 신용보험II(3형),주계약,사망보험금,피보험자가 보험기간 중 사망하였을 때,"10,000만원","10,000만원","60,000 원","45,000 원",2.30 %,비갱신형,방카슈랑스,2024-04-01,"1. 가입연령 : 31~70세(보험기간 및 납입기간에 따라 상이) 2. 보험기간 및 납입기간 보험기간 : 10년, 15년, 20년, 25년, 30년  납입기간 : 전기납 3. 보험가입금액 : 10,000만원 4. 보험가격지수 예시기준 : 가입금액 10,000만원, 20년만기, 20년납, 월납, 40세 5. 보험료 예시 기준 : 주계약가입금액 10,000만원, 40세 남,여, 30년만기, 30년납, 월납 6. 기타사항  본 상품은 금융기관으로부터 대출을 받은 피보험자가 보험기간 중 약관에서 정하는 보험금 지급사유 중 사망보험금이 발생한 경우 금융기관에 보험금을 지급하여 피보험자의 대출금 상환을 지원하는 보장 상품이며 수술보험금이 발생한 경우 보험수익자로 지정한 피보험자에게 지급합니다",1588-9600,file_19.xls,메트라이프생명,무배당 e수술보장 대출상환 신용보험II(3형),주계약,사망보험금,피보험자가 보험기간 중 사망하였을 때,"10,000만원","10,000만원",60000  원,"45,000  원",2.30 %,-,-,169.5 %,211.9 %,-,-,-,-,순수보장,비갱신형,비유니버셜,방카슈랑스,2024-04-01,"1. 가입연령 : 31~70세(보험기간 및 납입기간에 따라 상이) 2. 보험기간 및 납입기간 보험기간 : 10년, 15년, 20년, 25년, 30년  납입기간 : 전기납 3. 보험가입금액 : 10,000만원 4. 보험가격지수 예시기준 : 가입금액 10,000만원, 20년만기, 20년납, 월납, 40세 5. 보험료 예시 기준 : 주계약가입금액 10,000만원, 40세 남,여, 30년만기, 30년납, 월납 6. 기타사항  본 상품은 금융기관으로부터 대출을 받은 피보험자가 보험기간 중 약관에서 정하는 보험금 지급사유 중 사망보험금이 발생한 경우 금융기관에 보험금을 지급하여 피보험자의 대출금 상환을 지원하는 보장 상품이며 수술보험금이 발생한 경우 보험수익자로 지정한 피보험자에게 지급합니다",1588-9600,,,,,
메트라이프생명,무배당 e수술보장 대출상환 신용보험II(3형),주계약,22대질병 수술보험금,피보험자가 보험기간 중 “22대질병”으로 진단이 확정되고 그 “22대질병”의 직접적인 치료를 목적으로 수술을 받은 경우,"수술 1 회당 400 만원 (다만, 1 년 미만 수술 시 200 만원 지급)","10,000만원","60,000 원","45,000 원",2.30 %,비갱신형,방카슈랑스,2024-04-01,"1. 가입연령 : 31~70세(보험기간 및 납입기간에 따라 상이) 2. 보험기간 및 납입기간 보험기간 : 10년, 15년, 20년, 25년, 30년  납입기간 : 전기납 3. 보험가입금액 : 10,000만원 4. 보험가격지수 예시기준 : 가입금액 10,000만원, 20년만기, 20년납, 월납, 40세 5. 보험료 예시 기준 : 주계약가입금액 10,000만원, 40세 남,여, 30년만기, 30년납, 월납 6. 기타사항  본 상품은 금융기관으로부터 대출을 받은 피보험자가 보험기간 중 약관에서 정하는 보험금 지급사유 중 사망보험금이 발생한 경우 금융기관에 보험금을 지급하여 피보험자의 대출금 상환을 지원하는 보장 상품이며 수술보험금이 발생한 경우 보험수익자로 지정한 피보험자에게 지급합니다",1588-9600,file_19.xls,메트라이프생명,무배당 e수술보장 대출상환 신용보험II(3형),주계약,22대질병 수술보험금,피보험자가 보험기간 중 “22대질병”으로 진단이 확정되고 그 “22대질병”의 직접적인 치료를 목적으로 수술을 받은 경우,"수술 1 회당 400 만원 (다만, 1 년 미만 수술 시 200 만원 지급)","10,000만원",60000  원,"45,000  원",2.30 %,-,-,169.5 %,211.9 %,-,-,-,-,순수보장,비갱신형,비유니버셜,방카슈랑스,2024-04-01,"1. 가입연령 : 31~70세(보험기간 및 납입기간에 따라 상이) 2. 보험기간 및 납입기간 보험기간 : 10년, 15년, 20년, 25년, 30년  납입기간 : 전기납 3. 보험가입금액 : 10,000만원 4. 보험가격지수 예시기준 : 가입금액 10,000만원, 20년만기, 20년납, 월납, 40세 5. 보험료 예시 기준 : 주계약가입금액 10,000만원, 40세 남,여, 30년만기, 30년납, 월납 6. 기타사항  본 상품은 금융기관으로부터 대출을 받은 피보험자가 보험기간 중 약관에서 정하는 보험금 지급사유 중 사망보험금이 발생한 경우 금융기관에 보험금을 지급하여 피보험자의 대출금 상환을 지원하는 보장 상품이며 수술보험금이 발생한 경우 보험수익자로 지정한 피보험자에게 지급합니다",1588-9600,,,,,
메트라이프생명,무배당 e수술보장 대출상환 신용보험II(3형),주계약,21대 주요생활질환 수술보험금,피보험자가 보험기간 중 “21대주요생활질환”으로 진단이 확정되고 그“21대주요생활질환”의 직접적인 치료를 목적으로 수술을 받은 경우,"수술 1 회당 100 만원 (다만, 1 년 미만 수술 시 50 만원 지급)","10,000만원","60,000 원","45,000 원",2.30 %,비갱신형,방카슈랑스,2024-04-01,"1. 가입연령 : 31~70세(보험기간 및 납입기간에 따라 상이) 2. 보험기간 및 납입기간 보험기간 : 10년, 15년, 20년, 25년, 30년  납입기간 : 전기납 3. 보험가입금액 : 10,000만원 4. 보험가격지수 예시기준 : 가입금액 10,000만원, 20년만기, 20년납, 월납, 40세 5. 보험료 예시 기준 : 주계약가입금액 10,000만원, 40세 남,여, 30년만기, 30년납, 월납 6. 기타사항  본 상품은 금융기관으로부터 대출을 받은 피보험자가 보험기간 중 약관에서 정하는 보험금 지급사유 중 사망보험금이 발생한 경우 금융기관에 보험금을 지급하여 피보험자의 대출금 상환을 지원하는 보장 상품이며 수술보험금이 발생한 경우 보험수익자로 지정한 피보험자에게 지급합니다",1588-9600,file_19.xls,메트라이프생명,무배당 e수술보장 대출상환 신용보험II(3형),주계약,21대 주요생활질환 수술보험금,피보험자가 보험기간 중 “21대주요생활질환”으로 진단이 확정되고 그“21대주요생활질환”의 직접적인 치료를 목적으로 수술을 받은 경우,"수술 1 회당 100 만원 (다만, 1 년 미만 수술 시 50 만원 지급)","10,000만원",60000  원,"45,000  원",2.30 %,-,-,169.5 %,211.9 %,-,-,-,-,순수보장,비갱신형,비유니버셜,방카슈랑스,2024-04-01,"1. 가입연령 : 31~70세(보험기간 및 납입기간에 따라 상이) 2. 보험기간 및 납입기간 보험기간 : 10년, 15년, 20년, 25년, 30년  납입기간 : 전기납 3. 보험가입금액 : 10,000만원 4. 보험가격지수 예시기준 : 가입금액 10,000만원, 20년만기, 20년납, 월납, 40세 5. 보험료 예시 기준 : 주계약가입금액 10,000만원, 40세 남,여, 30년만기, 30년납, 월납 6. 기타사항  본 상품은 금융기관으로부터 대출을 받은 피보험자가 보험기간 중 약관에서 정하는 보험금 지급사유 중 사망보험금이 발생한 경우 금융기관에 보험금을 지급하여 피보험자의 대출금 상환을 지원하는 보장 상품이며 수술보험금이 발생한 경우 보험수익자로 지정한 피보험자에게 지급합니다",1588-9600,,,,,
메트라이프생명,무배당 e수술보장 대출상환 신용보험II(3형),주계약,33대 기타생활질환 수술보험금,피보험자가 보험기간 중 “33대기타생활질환”으로 진단이 확정되고 그“33대기타생활질환”의 직접적인 치료를 목적으로 수술을 받은 경우,"수술 1 회당 30 만원 (다만, 1 년 미만 수술 시 15 만원 지급)","10,000만원","60,000 원","45,000 원",2.30 %,비갱신형,방카슈랑스,2024-04-01,"1. 가입연령 : 31~70세(보험기간 및 납입기간에 따라 상이) 2. 보험기간 및 납입기간 보험기간 : 10년, 15년, 20년, 25년, 30년  납입기간 : 전기납 3. 보험가입금액 : 10,000만원 4. 보험가격지수 예시기준 : 가입금액 10,000만원, 20년만기, 20년납, 월납, 40세 5. 보험료 예시 기준 : 주계약가입금액 10,000만원, 40세 남,여, 30년만기, 30년납, 월납 6. 기타사항  본 상품은 금융기관으로부터 대출을 받은 피보험자가 보험기간 중 약관에서 정하는 보험금 지급사유 중 사망보험금이 발생한 경우 금융기관에 보험금을 지급하여 피보험자의 대출금 상환을 지원하는 보장 상품이며 수술보험금이 발생한 경우 보험수익자로 지정한 피보험자에게 지급합니다",1588-9600,file_19.xls,메트라이프생명,무배당 e수술보장 대출상환 신용보험II(3형),주계약,33대 기타생활질환 수술보험금,피보험자가 보험기간 중 “33대기타생활질환”으로 진단이 확정되고 그“33대기타생활질환”의 직접적인 치료를 목적으로 수술을 받은 경우,"수술 1 회당 30 만원 (다만, 1 년 미만 수술 시 15 만원 지급)","10,000만원",60000  원,"45,000  원",2.30 %,-,-,169.5 %,211.9 %,-,-,-,-,순수보장,비갱신형,비유니버셜,방카슈랑스,2024-04-01,"1. 가입연령 : 31~70세(보험기간 및 납입기간에 따라 상이) 2. 보험기간 및 납입기간 보험기간 : 10년, 15년, 20년, 25년, 30년  납입기간 : 전기납 3. 보험가입금액 : 10,000만원 4. 보험가격지수 예시기준 : 가입금액 10,000만원, 20년만기, 20년납, 월납, 40세 5. 보험료 예시 기준 : 주계약가입금액 10,000만원, 40세 남,여, 30년만기, 30년납, 월납 6. 기타사항  본 상품은 금융기관으로부터 대출을 받은 피보험자가 보험기간 중 약관에서 정하는 보험금 지급사유 중 사망보험금이 발생한 경우 금융기관에 보험금을 지급하여 피보험자의 대출금 상환을 지원하는 보장 상품이며 수술보험금이 발생한 경우 보험수익자로 지정한 피보험자에게 지급합니다",1588-9600,,,,,
