보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
메리츠화재,(무) 모아Rich저축보험2601 (월납),1,"7,200,000","6,895,000",95.7,"6,229,000","6,895,000",95.7,,,,,,,file_51.xls,,메리츠화재,(무) 모아Rich저축보험2601,1,-4.57,-4.24,-3.92,"7,200,000","6,895,000",95.7,"6,229,000","6,895,000",95.7,"6,229,000",,,,,,,,월납,,,,,,,,
메리츠화재,(무) 모아Rich저축보험2601 (월납),3,"21,600,000","21,083,000",97.6,"20,638,000","21,083,000",97.6,,,,,,,file_51.xls,,,,3,-3.37,-2.39,-1.5,"21,600,000","21,083,000",97.6,"20,638,000","21,083,000",97.6,"20,638,000",,,,,,,,월납,,,,,,,,
메리츠화재,(무) 모아Rich저축보험2601 (월납),5,"36,000,000","35,814,000",99.4,"35,592,000","35,814,000",99.4,,,,,,,file_51.xls,,,,5,-2.14,-0.52,1.01,"36,000,000","35,814,000",99.4,"35,592,000","35,814,000",99.4,"35,592,000",,,,,,,,월납,,,,,,,,
메리츠화재,(무) 모아Rich저축보험2601 (월납),10,"72,000,000","75,562,000",104.9,"75,562,000","75,562,000",104.9,,,,,,,file_51.xls,,,,10,0.59,4.95,8.21,"72,000,000","75,562,000",104.9,"75,562,000","75,562,000",104.9,"75,562,000",,,,,,,,월납,,,,,,,,
한화손보,드림모아저축보험 무배당2601 (월납),1,"48,000,000","41,771,675",87.02,"41,771,675","41,777,373",87.04,,,,,,,file_51.xls,,한화손보,드림모아저축보험 무배당2601,1,-4.2,-3.6,-3.3,"48,000,000","41,771,675",87.02,"41,771,675","41,777,373",87.04,"41,777,373",,,,,,,,월납,,,,,,,,
한화손보,드림모아저축보험 무배당2601 (월납),3,"144,000,000","138,561,410",96.22,"138,561,592","138,578,782",96.24,,,,,,,file_51.xls,,,,3,-3.2,-1.7,-0.6,"144,000,000","138,561,410",96.22,"138,561,592","138,578,782",96.24,"138,579,837",,,,,,,,월납,,,,,,,,
한화손보,드림모아저축보험 무배당2601 (월납),5,"240,000,000","239,199,969",99.67,"239,201,460","239,229,957",99.68,,,,,,,file_51.xls,,,,5,-2.2,0.3,2.2,"240,000,000","239,199,969",99.67,"239,201,460","239,229,957",99.68,"239,233,035",,,,,,,,월납,,,,,,,,
한화손보,드림모아저축보험 무배당2601 (월납),10,"480,000,000","509,657,711",106.18,"509,657,711","509,721,607",106.19,,,,,,,file_51.xls,,,,10,0,6.2,10.3,"480,000,000","509,657,711",106.18,"509,657,711","509,721,607",106.19,"509,721,607",,,,,,,,월납,,,,,,,,
한화손보,드림모아저축보험 무배당2601 (일시납),1,"50,000,000","49,633,563",99.27,"49,633,563","49,687,591",99.38,,,,,,,file_51.xls,,한화손보,드림모아저축보험 무배당2601,1,-1.4,-0.4,0.5,"50,000,000","49,633,563",99.27,"49,633,563","49,687,591",99.38,"49,687,591",,,,,,,,일시납,,,,,,,,
한화손보,드림모아저축보험 무배당2601 (일시납),3,"50,000,000","51,355,302",102.71,"51,355,302","51,411,204",102.82,,,,,,,file_51.xls,,,,3,0,3,6.1,"50,000,000","51,355,302",102.71,"51,355,302","51,411,204",102.82,"51,411,204",,,,,,,,일시납,,,,,,,,
한화손보,드림모아저축보험 무배당2601 (일시납),5,"50,000,000","53,430,056",106.86,"53,430,056","53,488,216",106.98,,,,,,,file_51.xls,,,,5,1.9,7,12,"50,000,000","53,430,056",106.86,"53,430,056","53,488,216",106.98,"53,488,216",,,,,,,,일시납,,,,,,,,
한화손보,드림모아저축보험 무배당2601 (일시납),10,"50,000,000","58,991,098",117.98,"58,991,098","59,055,310",118.11,,,,,,,file_51.xls,,,,10,5.5,17.9,28.3,"50,000,000","58,991,098",117.98,"58,991,098","59,055,310",118.11,"59,055,310",,,,,,,,일시납,,,,,,,,
흥국화재,무배당 흥Good 행복자산만들기 저축보험(26.01) (월납),1,"18,000,000","17,137,469",95.21,"15,311,225","17,154,307",95.3,,,,,,,file_51.xls,,흥국화재,무배당 흥Good 행복자산만들기 저축보험(26.01),1,-4.97,-4.79,-4.79,"18,000,000","17,137,469",95.21,"15,311,225","17,154,307",95.3,"15,326,354",,,,,,,,월납,,,,,,,,
흥국화재,무배당 흥Good 행복자산만들기 저축보험(26.01) (월납),3,"54,000,000","52,236,148",96.73,"51,018,652","52,286,942",96.83,,,,,,,file_51.xls,,,,3,-3.78,-3.27,-3.27,"54,000,000","52,236,148",96.73,"51,018,652","52,286,942",96.83,"51,068,306",,,,,,,,월납,,,,,,,,
흥국화재,무배당 흥Good 행복자산만들기 저축보험(26.01) (월납),5,"90,000,000","88,464,476",98.29,"87,855,728","88,549,392",98.39,,,,,,,file_51.xls,,,,5,-2.58,-1.71,-1.71,"90,000,000","88,464,476",98.29,"87,855,728","88,549,392",98.39,"87,940,074",,,,,,,,월납,,,,,,,,
흥국화재,무배당 흥Good 행복자산만들기 저축보험(26.01) (월납),10,"180,000,000","185,547,443",103.08,"185,547,443","185,722,196",103.18,,,,,,,file_51.xls,,,,10,0.32,3.08,3.08,"180,000,000","185,547,443",103.08,"185,547,443","185,722,196",103.18,"185,722,196",,,,,,,,월납,,,,,,,,
흥국화재,무배당 흥Good 행복자산만들기 저축보험(26.01) (일시납),1,"80,000,000","78,857,181",98.57,"79,336,568","79,005,244",98.76,,,,,,,file_51.xls,,흥국화재,무배당 흥Good 행복자산만들기 저축보험(26.01),1,-1.77,-1.43,-1.43,"80,000,000","78,857,181",98.57,"79,336,568","79,005,244",98.76,"79,359,850",,,,,,,,일시납,,,,,,,,
흥국화재,무배당 흥Good 행복자산만들기 저축보험(26.01) (일시납),3,"80,000,000","81,403,602",101.75,"81,688,602","81,557,317",101.95,,,,,,,file_51.xls,,,,3,0.71,1.75,1.75,"80,000,000","81,403,602",101.75,"81,688,602","81,557,317",101.95,"81,743,717",,,,,,,,일시납,,,,,,,,
흥국화재,무배당 흥Good 행복자산만들기 저축보험(26.01) (일시납),5,"80,000,000","84,029,666",105.04,"84,238,566","84,188,288",105.24,,,,,,,file_51.xls,,,,5,3.24,5.04,5.04,"80,000,000","84,029,666",105.04,"84,238,566","84,188,288",105.24,"84,325,088",,,,,,,,일시납,,,,,,,,
흥국화재,무배당 흥Good 행복자산만들기 저축보험(26.01) (일시납),10,"80,000,000","90,963,696",113.7,"90,963,696","91,133,689",113.92,,,,,,,file_51.xls,,,,10,8.5,13.7,13.7,"80,000,000","90,963,696",113.7,"90,963,696","91,133,689",113.92,"91,133,689",,,,,,,,일시납,,,,,,,,
현대해상,(무)현대해상리치웨이저축보험(Hi2601) (월납),1,"9,600,000","9,134,130",95.15,"8,603,380","9,142,110",95.22,,,,,,,file_51.xls,,현대해상,(무)현대해상리치웨이저축보험(Hi2601),1,-5.08,-4.85,-4.85,"9,600,000","9,134,130",95.15,"8,603,380","9,142,110",95.22,"8,611,370",,,,,,,,월납,,,,,,,,
현대해상,(무)현대해상리치웨이저축보험(Hi2601) (월납),3,"28,800,000","27,870,260",96.77,"27,516,430","27,894,810",96.85,,,,,,,file_51.xls,,,,3,-3.89,-3.23,-3.23,"28,800,000","27,870,260",96.77,"27,516,430","27,894,810",96.85,"27,540,980",,,,,,,,월납,,,,,,,,
현대해상,(무)현대해상리치웨이저축보험(Hi2601) (월납),5,"48,000,000","47,247,300",98.43,"47,070,390","47,289,610",98.51,,,,,,,file_51.xls,,,,5,-2.69,-1.57,-1.57,"48,000,000","47,247,300",98.43,"47,070,390","47,289,610",98.51,"47,112,690",,,,,,,,월납,,,,,,,,
현대해상,(무)현대해상리치웨이저축보험(Hi2601) (월납),10,"96,000,000","99,348,550",103.49,"99,348,550","99,443,400",103.58,,,,,,,file_51.xls,,,,10,0.21,3.49,3.49,"96,000,000","99,348,550",103.49,"99,348,550","99,443,400",103.58,"99,443,400",,,,,,,,월납,,,,,,,,
현대해상,(무)하이드림저축보험(Hi2602) (월납),1,"9,600,000","9,554,870",99.53,"9,554,870","9,554,940",99.53,,,,,,,file_51.xls,,현대해상,(무)하이드림저축보험(Hi2602),1,-0.47,-0.47,-1.42,"9,600,000","9,554,870",99.53,"9,554,870","9,554,940",99.53,"9,554,940",,,,,,,,월납,,,,,,,,
현대해상,(무)하이드림저축보험(Hi2602) (월납),3,"19,200,000","19,742,160",102.82,"19,742,160","20,080,820",104.59,,,,,,,file_51.xls,,,,3,2.82,2.82,2.82,"19,200,000","19,742,160",102.82,"19,742,160","20,080,820",104.59,"20,080,820",,,,,,,,월납,,,,,,,,
현대해상,(무)현대해상하이드림저축보험(Hi2601) (일시납),1,"100,000,000","100,580,470",100.58,"100,580,470","100,580,550",100.58,,,,,,,file_51.xls,,현대해상,(무)현대해상하이드림저축보험(Hi2601),1,0.58,0.58,-0.25,"100,000,000","100,580,470",100.58,"100,580,470","100,580,550",100.58,"100,580,550",,,,,,,,일시납,,,,,,,,
현대해상,(무)현대해상하이드림저축보험(Hi2601) (일시납),3,"100,000,000","107,064,420",107.06,"107,064,420","107,064,650",107.06,,,,,,,file_51.xls,,,,3,7.06,7.06,4.44,"100,000,000","107,064,420",107.06,"107,064,420","107,064,650",107.06,"107,064,650",,,,,,,,일시납,,,,,,,,
현대해상,(무)현대해상하이드림저축보험(Hi2602) (일시납),1,"100,000,000","101,045,470",101.05,"101,045,470","101,045,554",101.05,,,,,,,file_51.xls,,현대해상,(무)현대해상하이드림저축보험(Hi2602),1,1.05,1.05,-0.25,"100,000,000","101,045,470",101.05,"101,045,470","101,045,554",101.05,"101,045,554",,,,,,,,일시납,,,,,,,,
현대해상,(무)현대해상하이드림저축보험(Hi2602) (일시납),3,"100,000,000","107,561,066",107.56,"107,561,066","107,561,303",107.56,,,,,,,file_51.xls,,,,3,7.56,7.56,4.44,"100,000,000","107,561,066",107.56,"107,561,066","107,561,303",107.56,"107,561,303",,,,,,,,일시납,,,,,,,,
현대해상,(무)하이드림저축보험(Hi2602) (일시납),1,"100,000,000","101,045,470",101.05,"101,045,470","101,045,554",101.05,,,,,,,file_51.xls,,현대해상,(무)하이드림저축보험(Hi2602),1,1.05,1.05,-0.25,"100,000,000","101,045,470",101.05,"101,045,470","101,045,554",101.05,"101,045,554",,,,,,,,일시납,,,,,,,,
현대해상,(무)하이드림저축보험(Hi2602) (일시납),3,"100,000,000","107,561,066",107.56,"107,561,066","107,561,303",107.56,,,,,,,file_51.xls,,,,3,7.56,7.56,4.44,"100,000,000","107,561,066",107.56,"107,561,066","107,561,303",107.56,"107,561,303",,,,,,,,일시납,,,,,,,,
KB손보,KB 빅플러스저축보험(무배당)(26.01) (월납),1,"72,000,000","68,709,000",95.4,"63,985,000","68,721,000",95.4,,,,,,,file_51.xls,,KB손보,KB 빅플러스저축보험(무배당)(26.01),1,-4.8,-4.57,-4.16,"72,000,000","68,709,000",95.4,"63,985,000","68,721,000",95.4,"63,997,000",,,,,,,,월납,,,,,,,,
