Total rows in insurance_child_rates: 58
Co: ABL생명 | Prod: (무)우리WON어린이보험(해약환급금 미지급형)[1형(재해장해보장형)] | Source: 보장성_상품비교_20260608162103272.xls
Co: ABL생명 | Prod: (무)우리WON어린이보험(해약환급금 미지급형)[2형(일반암진단보장형)] | Source: 보장성_상품비교_20260608162103272.xls
Co: ABL생명 | Prod: (무)우리WON어린이보험[1형(재해장해보장형)] | Source: 보장성_상품비교_20260608162103272.xls
Co: ABL생명 | Prod: (무)우리WON어린이보험[2형(일반암진단보장형)] | Source: 보장성_상품비교_20260608162103272.xls
Co: DB생명 | Prod: (무)백년친구 내가고른 어린이보험(2601)(표준형) | Source: 보장성_상품비교_20260608162103272.xls
Co: DB생명 | Prod: (무)백년친구 내가고른 어린이보험(2601)(해약환급금 미지급형) | Source: 보장성_상품비교_20260608162103272.xls
Co: DB손보 | Prod: (무)다이렉트자녀보험2605(CM) | Source: 장기보장성 비교 공시 (3).xls
Co: DB손보 | Prod: (무)아이(I)러브(LOVE)플러스건강보험2604(10종) | Source: 장기보장성 비교 공시 (3).xls
Co: DB손보 | Prod: (무)아이(I)러브(LOVE)플러스건강보험2604(11종) | Source: 장기보장성 비교 공시 (3).xls
Co: DB손보 | Prod: (무)아이(I)러브(LOVE)플러스건강보험2604(2종) | Source: 장기보장성 비교 공시 (3).xls
Co: DB손보 | Prod: (무)아이(I)러브(LOVE)플러스건강보험2604(4종) | Source: 장기보장성 비교 공시 (3).xls
Co: DB손보 | Prod: (무)아이(I)러브(LOVE)플러스건강보험2604(8종) | Source: 장기보장성 비교 공시 (3).xls
Co: DB손보 | Prod: (무)아이(I)러브(LOVE)플러스건강보험2604(9종) | Source: 장기보장성 비교 공시 (3).xls
Co: DB손보 | Prod: (무)참좋은치아안심보험2510(자녀플랜) | Source: 장기보장성 비교 공시 (4).xls
Co: KB손보 | Prod: KB 금쪽같은 자녀보험Plus(무배당)(26.04)_1종 1형(자녀 납입면제 환급형) | Source: 장기보장성 비교 공시 (3).xls
Co: KB손보 | Prod: KB 금쪽같은 자녀보험Plus(무배당)(26.04)_1종 2형(자녀 납입면제 기본형) | Source: 장기보장성 비교 공시 (3).xls
Co: KB손보 | Prod: KB 금쪽같은 자녀보험Plus(무배당)(26.04)_2종(자녀 납입면제 표준형 해약환급금의 50‰지급형(납입기간 이후)) | Source: 장기보장성 비교 공시 (3).xls
Co: KB손보 | Prod: KB 다이렉트 자녀보험(무배당)(26.04)_1종 | Source: 장기보장성 비교 공시 (3).xls
Co: KB손보 | Prod: KB 신생아지원프로젝트자녀보험(무배당)(26.01) | Source: 장기보장성 비교 공시 (3).xls
Co: KB손보 | Prod: 건강한 치아보험 이야기(무배당)(26.01)_자녀플랜 | Source: 장기보장성 비교 공시 (4).xls
Co: 교보라이프플래닛생명 | Prod: (무)교보라플 아이사랑보험 | Source: 보장성_상품비교_20260608162103272.xls
Co: 교보라이프플래닛생명 | Prod: (무)교보라플 어린이보험(순수보장형) | Source: 보장성_상품비교_20260608162103272.xls
Co: 교보라이프플래닛생명 | Prod: (무)교보라플 어린이종합보험(순수보장형) | Source: 보장성_상품비교_20260608162103272.xls
Co: 교보생명 | Prod: 교보우리아이보험 [2405](무배당,갱신형) | Source: 보장성_상품비교_20260608162103272.xls
Co: 농협손보 | Prod: (무)NH아이맘헤아림어린이보험[1종:해약환급금미지급형Ⅱ(납입중0‰,납입후50‰]2604 | Source: 장기보장성 비교 공시 (3).xls
Co: 농협손보 | Prod: (무)NH아이맘헤아림어린이보험[2종:표준형]2604 | Source: 장기보장성 비교 공시 (3).xls
Co: 동양생명 | Prod: (무)우리WON하는꿈나무우리아이보험(만기환급형) | Source: 보장성_상품비교_20260608162103272.xls
Co: 동양생명 | Prod: (무)우리WON하는꿈나무우리아이보험(표준형) | Source: 보장성_상품비교_20260608162103272.xls
Co: 동양생명 | Prod: (무)우리WON하는꿈나무우리아이보험(해약환급금 미지급형) | Source: 보장성_상품비교_20260608162103272.xls
Co: 동양생명 | Prod: (무)우리WON하는쑥쑥어린이보장보험 | Source: 보장성_상품비교_20260608162103272.xls
Co: 롯데손보 | Prod: (무) let:play 자녀보험(도담도담)(2604)_6종(100세만기,일반형) | Source: 장기보장성 비교 공시 (3).xls
Co: 롯데손보 | Prod: (무) let:play 자녀보험(도담도담)(2604)_9종(100세만기,해약환급금 미지급형Ⅱ) | Source: 장기보장성 비교 공시 (3).xls
Co: 메리츠화재 | Prod: (무) 내Mom같은 어린이보험2604(1종)(1형) | Source: 장기보장성 비교 공시 (3).xls
Co: 메리츠화재 | Prod: (무) 내Mom같은 어린이보험2604(1종)(3형) | Source: 장기보장성 비교 공시 (3).xls
Co: 메리츠화재 | Prod: (무) 내Mom같은 어린이보험2604(3종)(1형) | Source: 장기보장성 비교 공시 (3).xls
Co: 메리츠화재 | Prod: (무) 내Mom같은 어린이보험2604(3종)(3형) | Source: 장기보장성 비교 공시 (3).xls
Co: 메트라이프생명 | Prod: 무배당 iLove아이보험 | Source: 보장성_상품비교_20260608162103272.xls
Co: 메트라이프생명 | Prod: 무배당 아이사랑 첫보험(50%만기환급형) | Source: 보장성_상품비교_20260608162103272.xls
Co: 메트라이프생명 | Prod: 무배당 아이사랑 첫보험(순수보장형) | Source: 보장성_상품비교_20260608162103272.xls
Co: 삼성생명 | Prod: 삼성 우리아이 올바른 성장보험(2405)(무배당) 1종 | Source: 보장성_상품비교_20260608162103272.xls
Co: 삼성생명 | Prod: 삼성 우리아이 올바른 성장보험(2405)(무배당) 2종 | Source: 보장성_상품비교_20260608162103272.xls
Co: 삼성화재 | Prod: 무배당 삼성화재 다이렉트 어린이보험(2601.19)(자동갱신형) | Source: 장기보장성 비교 공시 (3).xls
Co: 삼성화재 | Prod: 무배당 삼성화재 자녀보험 NEW 마이 슈퍼스타(2601.6) 1종(일반형) | Source: 장기보장성 비교 공시 (3).xls
Co: 삼성화재 | Prod: 무배당 삼성화재 자녀보험 NEW 마이 슈퍼스타(2601.6) 2종(납입면제형) | Source: 장기보장성 비교 공시 (3).xls
Co: 삼성화재 | Prod: 무배당 삼성화재 자녀보험 NEW 마이 슈퍼스타(2601.6) 3종(납입면제/해약환급금 미지급형Ⅱ) | Source: 장기보장성 비교 공시 (3).xls
Co: 삼성화재 | Prod: 무배당 삼성화재 자녀보험 꿈나무(2601.7) | Source: 장기보장성 비교 공시 (3).xls
Co: 카카오페이손해보험 | Prod: (무)선물하는자녀보험2601 | Source: 장기보장성 비교 공시 (3).xls
Co: 한화손보 | Prod: 한화 건강쑥쑥 어린이보험 (무)2604 1종(기본형) | Source: 장기보장성 비교 공시 (3).xls
Co: 한화손보 | Prod: 한화 건강쑥쑥 어린이보험 (무)2604 2종(납입후50%해약환급금지급형) | Source: 장기보장성 비교 공시 (3).xls
Co: 현대해상 | Prod: (무)현대해상굿앤굿어린이종합보험Q(Hi2601) 1종 | Source: 장기보장성 비교 공시 (3).xls
Co: 현대해상 | Prod: (무)현대해상굿앤굿어린이종합보험Q(Hi2601) 2종 | Source: 장기보장성 비교 공시 (3).xls
Co: 현대해상 | Prod: (무)현대해상굿앤굿어린이종합보험Q(Hi2601) 3종 | Source: 장기보장성 비교 공시 (3).xls
Co: 현대해상 | Prod: (무)현대해상굿앤굿어린이치아보험(Hi2601) | Source: 장기보장성 비교 공시 (4).xls
Co: 현대해상 | Prod: (무)현대해상다이렉트굿앤굿어린이종합보험Q(Hi2601) | Source: 장기보장성 비교 공시 (3).xls
Co: 현대해상 | Prod: (무)현대해상다이렉트굿앤굿어린이치아보험(Hi2601) | Source: 장기보장성 비교 공시 (4).xls
Co: 흥국화재 | Prod: 무배당 흥Good 뉴키즈 자녀보험(26.05)_(1종)(해약환급금지급형) | Source: 장기보장성 비교 공시 (3).xls
Co: 흥국화재 | Prod: 무배당 흥Good 뉴키즈 자녀보험(26.05)_(2종)(납입후 해약환급금지급형의 50‰지급형) | Source: 장기보장성 비교 공시 (3).xls
Co: 흥국화재 | Prod: 무배당 흥Good 뉴키즈 자녀보험(26.05)_(3종)(납입후 표준형환급률 동일지급형) | Source: 장기보장성 비교 공시 (3).xls
