Total rows: 622
Row 000: 한화생명 | 한화생명 영사모 든든건강플러스보험 무배당[간편가입형] | 주계약 | 재해장해급여금 | 피보험자에게 보험기간 중 발생한 재해로 인하여 장해분류표에서 정한 각 장해지급률에 해당하는 장해상태가 되었을 경우 | 납입기간 중 3,000만원 X 해당 장해지급률, 납입기간 후 3,000만원+증액계약보장보험금액 X 해당 장해지급률 | 3,000만원 | 5640  원 | 5,970  원 | 2.50 % | - | - | 153.7 % | 179.2 % | -
Row 001: 한화생명 | 한화생명 영사모 든든건강플러스보험 무배당[간편가입형] | 특약 | 암진단보장Y특약 무배당 | 보험기간 중 피보험자가 보장개시일 이후에 ‘암(기타피부암, 대장점막내암, 초기유방암, 초기갑상선암 제외)'으로 진단이 확정되었을 경우(최초 1회한) | 1,000만원 | 1,000만원 | 21010  원 | 16,650  원 | 2.50 % | - | - | 153.7 % | 179.2 % | -
Row 002: 한화생명 | 한화생명 영사모 든든건강플러스보험 무배당[간편가입형] | 특약 | 허혈성심장질환진단보장Y특약 무배당 | 보험기간 중 피보험자가 ‘허혈성심장질환’으로 진단이 확정되었을 경우(최초 1회한) | 1,000만원 | 1,000만원 | 9850  원 | 7,290  원 | 2.50 % | - | - | 153.7 % | 179.2 % | -
Row 003: 한화생명 | 한화생명 영사모 든든건강플러스보험 무배당[간편가입형] | 특약 | 재해수술추상골절치료보장Y특약 무배당 | 피보험자가 보험기간 중 발생한 재해를 직접적인 원인으로 ‘현저한 추상(추한 모습)’으로 진단 확정되었을 경우 ※이외 보장담보는 상품요약서 참조 | (1회당) 300만원 | 300만원 | 8974  원 | 7,148  원 | 2.50 % | - | - | 153.7 % | 179.2 % | -
Row 004: 한화생명 | 한화생명 영사모 든든건강플러스보험 무배당[간편가입형] | 특약 | 104대질병수술Y특약 무배당 | 피보험자가 보험기간 중 ‘10대특정질병II’로 진단이 확정되고, 보험기간 중 그 치료를 직접적인 목적으로 수술을 받았을 경우(1회당) ※이외 보장담보는 상품요약서 참조 | (1회당) 300만원 | 300만원 | 20220  원 | 18,420  원 | 2.50 % | - | - | 153.7 % | 179.2 % | -
Row 005: 한화생명 | 한화생명 영사모 든든건강플러스보험 무배당[일반가입형] | 주계약 | 재해장해급여금 | 피보험자에게 보험기간 중 발생한 재해로 인하여 장해분류표에서 정한 각 장해지급률에 해당하는 장해상태가 되었을 경우 | 납입기간 중 3,000만원 X 해당 장해지급률, 납입기간 후 3,000만원+증액계약보장보험금액 X 해당 장해지급률 | 3,000만원 | 4860  원 | 5,100  원 | 2.50 % | - | - | 156.0 % | 183.7 % | -
Row 006: 한화생명 | 한화생명 영사모 든든건강플러스보험 무배당[일반가입형] | 특약 | 암진단보장Y특약 무배당 | 보험기간 중 피보험자가 보장개시일 이후에 ‘암(기타피부암, 대장점막내암, 초기유방암, 초기갑상선암 제외)'으로 진단이 확정되었을 경우(최초 1회한) | 1,000만원 | 1,000만원 | 18400  원 | 14,510  원 | 2.50 % | - | - | 156.0 % | 183.7 % | -
Row 007: 한화생명 | 한화생명 영사모 든든건강플러스보험 무배당[일반가입형] | 특약 | 허혈성심장질환진단보장Y특약 무배당 | 보험기간 중 피보험자가 ‘허혈성심장질환’으로 진단이 확정되었을 경우(최초 1회한) | 1,000만원 | 1,000만원 | 8080  원 | 6,250  원 | 2.50 % | - | - | 156.0 % | 183.7 % | -
Row 008: 한화생명 | 한화생명 영사모 든든건강플러스보험 무배당[일반가입형] | 특약 | 재해수술추상골절치료보장Y특약 무배당 | 피보험자가 보험기간 중 발생한 재해를 직접적인 원인으로 ‘현저한 추상(추한 모습)’으로 진단 확정되었을 경우 ※이외 보장담보는 상품요약서 참조 | (1회당) 300만원 | 300만원 | 7740  원 | 6,015  원 | 2.50 % | - | - | 156.0 % | 183.7 % | -
Row 009: 한화생명 | 한화생명 영사모 든든건강플러스보험 무배당[일반가입형] | 특약 | 104대질병수술Y특약 무배당 | 피보험자가 보험기간 중 ‘10대특정질병II’로 진단이 확정되고, 보험기간 중 그 치료를 직접적인 목적으로 수술을 받았을 경우(1회당) ※이외 보장담보는 상품요약서 참조 | (1회당) 300만원 | 300만원 | 15120  원 | 13,740  원 | 2.50 % | - | - | 156.0 % | 183.7 % | -
Row 010: 한화생명 | 한화생명 상생친구 보장보험 무배당 | 주계약 | 재해장해 급여금 | 피보험자에게 보험기간 중 발생한 재해로 인하여 장해분류표에서 정한 각 장해지급률에 해당하는 장해상태가 되었을 경우 | 3,000만원 × 해당 장해지급률 | 3,000만원 | 150  원 | 60  원 | 2.50 % | - | - | 69.8 % | 47.2 % | -
Row 011: 한화생명 | 한화생명 상생친구 보장보험 무배당 | 특약 | 암진단보장Y특약 무배당 | 보험기간 중 피보험자가 보장개시일 이후에 ‘암(기타피부암, 대장점막내암, 초기유방암, 초기갑상선암 제외)'으로 진단이 확정되었을 경우(최초 1회한) | 1000만원 | 1000만원 | 270  원 | 310  원 | 2.50 % | - | - | 69.8 % | 47.2 % | -
Row 012: 한화생명 | 한화생명 상생친구 보장보험 무배당 | 특약 | 허혈성심장질환진단보장Y특약 무배당 | 보험기간 중 피보험자가 ‘허혈성심장질환’으로 진단이 확정되었을 경우(최초 1회한) | 1000만원 | 1000만원 | 40  원 | 30  원 | 2.50 % | - | - | 69.8 % | 47.2 % | -
Row 013: 한화생명 | 한화생명 상생친구 보장보험 무배당 | 특약 | 재해수술추상골절치료보장Y특약 무배당 | 피보험자가 보험기간 중 발생한 재해를 직접적인 원인으로 ‘현저한 추상(추한 모습)’으로 진단 확정되었을 경우 ※이외 보장담보는 상품요약서 참조 | (1회당) 300만원 | 300만원 | 1676  원 | 752  원 | 2.50 % | - | - | 69.8 % | 47.2 % | -
Row 014: 한화생명 | 한화생명 상생친구 보장보험 무배당 | 특약 | 104대질병수술Y특약 무배당 | 피보험자가 보험기간 중 ‘10대특정질병II’로 진단이 확정되고, 보험기간 중 그 치료를 직접적인 목적으로 수술을 받았을 경우(1회당) ※이외 보장담보는 상품요약서 참조 | (1회당) 300만원 | 300만원 | 960  원 | 840  원 | 2.50 % | - | - | 69.8 % | 47.2 % | -
Row 015: 한화생명 | 한화생명 시그니처 H통합보험 무배당[일반가입형] | 주계약 | 사망보험금 | 보험기간 중 피보험자가 사망하였을 경우 | 1,000만원 | 1,000만원 | 13800  원 | 9,500  원 | 2.50 % | - | - | 111.7 % | 116.6 % | -
Row 016: 한화생명 | 한화생명 시그니처 H통합보험 무배당[일반가입형] | 특약 | 암주요치료보장특약Ⅱ[암(기타피부암·갑상선암 제외)](치료별 연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 암보장개시일 이후에 ‘암(기타피부암 및 갑상선암 제외)’으로 진단이 확정되고, 보험기간 중 그 직접적인 치료를 목적으로 ‘암 수술’을 받았을 경우(연간 1회한)※ 이외 보장담보는 상품요약서 참조 | 1,000만원 | 1,000만원 | 37210  원 | 28,400  원 | 2.50 % | - | - | 111.7 % | 116.6 % | -
Row 017: 한화생명 | 한화생명 시그니처 H통합보험 무배당[일반가입형] | 특약 | 암주요치료보장특약Ⅱ[기타피부암·갑상선암](치료별 연1회)(고지통합) 무배당 | 보험기간 중 피보험자가 ‘기타피부암’ 또는 ‘갑상선암’으로 진단이 확정되고, 보험기간 중 그 직접적인 치료를 목적으로 ‘암 수술’을 받았을 경우(연간 1회한)※ 이외 보장담보는 상품요약서 참조 | 200만원 | 200만원 | 580  원 | 1,470  원 | 2.50 % | - | - | 111.7 % | 116.6 % | -
Row 018: 한화생명 | 한화생명 시그니처 H통합보험 무배당[일반가입형] | 특약 | 특정순환계질환 통합치료보장특약(5천만원한도)(고지통합) 무배당 | 피보험자가 보험기간 중 의사에 의하여 '특정순환계질환'의 진단 및 치료를 위한 필요 소견을 토대로, '급여 MRI'를 받은 경우(연간 1회한)※ 이외 보장담보는 상품요약서 참조 | 10만원 | 5,000만원 | 29282  원 | 17,199  원 | 2.50 % | - | - | 111.7 % | 116.6 % | -
Row 019: 한화생명 | 한화생명 시그니처 H통합보험 무배당[일반가입형] | 특약 | 특정순환계질환 통합치료보장특약(상급종합병원, 권역심뇌혈관질환센터)(5천만원한도)(고지통합) 무배당 | 피보험자가 보험기간 중 의사에 의하여 '특정순환계질환'의 진단 및 치료를 위한 필요 소견을 토대로, 상급종합병원 또는 권역심뇌혈관질환센터에서 '급여 MRI'를 받은 경우(연간 1회한)※ 이외 보장담보는 상품요약서 참조 | 10만원 | 5,000만원 | 14665  원 | 8,467  원 | 2.50 % | - | - | 111.7 % | 116.6 % | -
Row 020: 한화생명 | 한화생명 시그니처 H통합보험 무배당[간편가입형] | 주계약 | 사망보험금 | 보험기간 중 피보험자가 사망하였을 경우 (1년 미만 50% 지급, 단 재해로 인한 사망시 제외) | 1년미만 500만원, 1년이상 1,000만원 | 1,000만원 | 15300  원 | 10,600  원 | 2.50 % | - | - | 123.8 % | 130.1 % | -
