Total rows in insurance_home_facility_rates: 32

★ Company: 삼성생명 (10 rows)
  Prod: 삼성 간편 웰에이징(Well-Aging) 건강보험 (2601)(무배당,저해약환급금형) | Div: 주계약 | Cov: 사망 보험금 | Male: 28,300원 | Female: 24,700원 | PayType: 월납(20년납)
  Prod: 삼성웰에이징(Well-Aging)건강보험(2601)(무배당,저해약환급금형) | Div: 주계약 | Cov: 사망보험금 | Male: 24,400원 | Female: 21,900원 | PayType: 월납(20년납)
  Prod: 삼성 간편 웰에이징(Well-Aging) 건강보험 (2601)(무배당,저해약환급금형) | Div: 특약 | Cov: 장기요양(1-인지지원등급)재가급 여지원특약T(무배당,저해약환급금형)[간편고지형] | Male: 9,880원 | Female: 16,000원 | PayType: 월납(20년납)
  Prod: 삼성 간편 웰에이징(Well-Aging) 건강보험 (2601)(무배당,저해약환급금형) | Div: 특약 | Cov: 장기요양(1-5등급)재가급여지원 특약T(무배당,저 해약환급금형)[간편고지형] | Male: 9,250원 | Female: 15,210원 | PayType: 월납(20년납)
  Prod: 삼성웰에이징(Well-Aging)건강보험(2601)(무배당,저해약환급금형) | Div: 특약 | Cov: 장기요양(1-인지지원등급)재가급여지원특약P(무배당,저해약환급금형) | Male: 9,290원 | Female: 14,100원 | PayType: 월납(20년납)
  Prod: 삼성웰에이징(Well-Aging)건강보험(2601)(무배당,저해약환급금형) | Div: 특약 | Cov: 장기요양(1-5등급)재가급여지원특약P(무배당,저해약환급금형) | Male: 8,730원 | Female: 13,360원 | PayType: 월납(20년납)
  Prod: 삼성 간편 웰에이징(Well-Aging) 건강보험 (2601)(무배당,저해약환급금형) | Div: 특약 | Cov: 장기요양(1-5등급)시설급여지원 특약T(무배당,저해약환급금형)[간편고지형] | Male: 2,560원 | Female: 5,530원 | PayType: 월납(20년납)
  Prod: 삼성웰에이징(Well-Aging)건강보험(2601)(무배당,저해약환급금형) | Div: 특약 | Cov: 장기요양(1-5등급)시설급여지원특약P(무배당,저해약환급금형) | Male: 2,470원 | Female: 5,210원 | PayType: 월납(20년납)
  Prod: 삼성 간편 웰에이징(Well-Aging) 건강보험 (2601)(무배당,저해약환급금형) | Div: 특약 | Cov: 입원간병인사용 (180일한도,요양 병원제외)특약 T(무배당,저해약환급금형)[간편고지형] | Male: 2,540원 | Female: 3,310원 | PayType: 월납(20년납)
  Prod: 삼성웰에이징(Well-Aging)건강보험(2601)(무배당,저해약환급금형) | Div: 특약 | Cov: 입원간병인사용 (180일한도,요양병원)특약P(무배당,저해약환급금형) | Male: 2,060원 | Female: 3,260원 | PayType: 월납(20년납)

★ Company: DB손보 (22 rows)
  Prod: (무)New간편요양보험2506(4종) | Div:  | Cov: 장기간병요양진단비Ⅱ(1-2등급)(3.2.5간편고지) | Male: 34,212원 | Female: 46,103원 | PayType: 월납(20년납)
  Prod: (무)New간편요양보험2506(3종) | Div:  | Cov: 장기간병요양진단비(1~2등급) | Male: 26,057원 | Female: 35,059원 | PayType: 월납(20년납)
  Prod: (무)New간편요양보험2506(3종) | Div:  | Cov: 장기간병요양진단비(1~3등급) | Male: 0원 | Female: 0원 | PayType: 월납(20년납)
  Prod: (무)New간편요양보험2506(3종) | Div:  | Cov: 장기간병요양진단비(1~4등급) | Male: 0원 | Female: 0원 | PayType: 월납(20년납)
  Prod: (무)New간편요양보험2506(3종) | Div:  | Cov: 장기간병요양진단비(1~5등급) | Male: 0원 | Female: 0원 | PayType: 월납(20년납)
  Prod: (무)New간편요양보험2506(3종) | Div:  | Cov: 장기간병요양진단비(1등급) | Male: 0원 | Female: 0원 | PayType: 월납(20년납)
  Prod: (무)New간편요양보험2506(3종) | Div:  | Cov: 장기간병요양진단비(인지지원등급) | Male: 0원 | Female: 0원 | PayType: 월납(20년납)
  Prod: (무)New간편요양보험2506(3종) | Div:  | Cov: 장기요양(1-5등급)방문요양급여지원금(월1회한) | Male: 0원 | Female: 0원 | PayType: 월납(20년납)
  Prod: (무)New간편요양보험2506(3종) | Div:  | Cov: 장기요양(1-5등급)시설급여지원금(월1회한) | Male: 0원 | Female: 0원 | PayType: 월납(20년납)
  Prod: (무)New간편요양보험2506(3종) | Div:  | Cov: 장기요양(1-5등급)재가급여지원금(월1회한) | Male: 0원 | Female: 0원 | PayType: 월납(20년납)
