=== MAX PREMIUM BY LIFE INSURER ===
Company: 교보생명            | Max Premium: 36,970 원
Company: 미래에셋생명          | Max Premium: 25,500 원
Company: 동양생명            | Max Premium: 200,500 원
Company: 흥국생명            | Max Premium: 119,000 원
Company: DB생명            | Max Premium: 542,800 원
Company: NH농협생명          | Max Premium: 31,500 원
Company: 한화생명            | Max Premium: 371,000 원
Company: iM라이프           | Max Premium: 168,600 원
Company: 메트라이프생명         | Max Premium: 21,500 원
Company: KB라이프생명         | Max Premium: 408,650 원
Company: 신한라이프생명         | Max Premium: 35,980 원
Company: 하나생명            | Max Premium: 314,100 원
Company: 라이나생명           | Max Premium: 52,200 원
