Total unique products: 114

Company: ABL생명 | Product: (무)우리WON인터넷연금저축보험 | Rate: 2.40 % | Channel: CM | Features: 인터넷 CM 전용 최저 수수료(사업비 3.5%) | 안정 보장형 복리 이율 (2.40 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 12
Company: ABL생명 | Product: 연금저축 나이스플랜연금보험 | Rate: 2.15 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.15 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 14
Company: ABL생명 | Product: 연금저축체인지업연금보험 | Rate: 2.15 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.15 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 14
Company: AIA생명 | Product: (무) AIA 글로벌 파워 미국달러 연금보험 1형 | Rate: 5.02 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 업계 최우수 공시이율 (5.02 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: AIA생명 | Product: (무) AIA 글로벌 파워 미국달러 연금보험 2형 | Rate: 5.02 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 업계 최우수 공시이율 (5.02 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: AIA생명 | Product: (무) AIA 글로벌 파워 미국달러 연금보험 3형 | Rate: 5.02 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 업계 최우수 공시이율 (5.02 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: AIA생명 | Product: (무)GOLDEN TIME 연금보험V 1형(기본형, 쿠폰형, 10년 이율확정형) | Rate: 5.21 % | Channel: 방카슈랑스 | Features: 오프라인 대면 밀착 케어 서비스 | 업계 최우수 공시이율 (5.21 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 3
Company: AIA생명 | Product: (무)GOLDEN TIME 연금보험V 6형(기본형, 거치형, 20년 이율확정형) | Rate: 5.61 % | Channel: 방카슈랑스 | Features: 오프라인 대면 밀착 케어 서비스 | 업계 최우수 공시이율 (5.61 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 4
Company: AIA생명 | Product: (무)GOLDEN TIME 연금보험V 7형(연금강형, 쿠폰형, 20년 이율확정형) | Rate: 5.61 % | Channel: 방카슈랑스 | Features: 오프라인 대면 밀착 케어 서비스 | 업계 최우수 공시이율 (5.61 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: AIA생명 | Product: (무)GOLDEN TIME 연금보험V 8형(연금강화형, 거치형, 20년 이율확정형) | Rate: 5.61 % | Channel: 방카슈랑스 | Features: 오프라인 대면 밀착 케어 서비스 | 업계 최우수 공시이율 (5.61 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: AIA생명 | Product: 무배당 AIA 달러로 받는 연금보험II 1형 1종 | Rate: 5.31 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 업계 최우수 공시이율 (5.31 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 4
Company: AIA생명 | Product: 무배당 AIA 달러로 받는 연금보험II 1형 2종 | Rate: 5.31 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 업계 최우수 공시이율 (5.31 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 4
Company: AIA생명 | Product: 무배당 AIA 달러로 받는 연금보험II 2형 1종 | Rate: 5.31 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 업계 최우수 공시이율 (5.31 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 4
Company: AIA생명 | Product: 무배당 AIA 달러로 받는 연금보험II 2형 2종 | Rate: 5.31 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 업계 최우수 공시이율 (5.31 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 4
Company: DB생명 | Product: e원금보장 KDB하이브리드연금저축보험(무) | Rate: 2.30 % | Channel: CM | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.30 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 24
Company: DB생명 | Product: 연금저축 SmartChange연금보험 | Rate: 2.00 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.00 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 12
Company: DB손보 | Product: 연금저축손해보험 스마트 계약이전연금보험2601 | Rate:  | Channel:  | Features: 오프라인 대면 밀착 케어 서비스 | 표준 복리 이율 제공 | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: DB손보 | Product: 연금저축손해보험 스마트 계약이전연금보험2601(일시납) | Rate:  | Channel:  | Features: 오프라인 대면 밀착 케어 서비스 | 표준 복리 이율 제공 | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: DB손보 | Product: 연금저축손해보험 스마트 연금보험2601 | Rate:  | Channel:  | Features: 오프라인 대면 밀착 케어 서비스 | 표준 복리 이율 제공 | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: DB손보 | Product: 연금저축손해보험 유배당 다이렉트 연금보험2601(CM) | Rate:  | Channel:  | Features: 인터넷 CM 전용 최저 수수료(사업비 3.5%) | 표준 복리 이율 제공 | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: IBK연금보험 | Product: 무배당 IBK NEW 프리미엄연금보험_2601 | Rate: 2.45 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.45 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 1
Company: IBK연금보험 | Product: 무배당 IBK e-하이브리드 연금저축보험_2601 | Rate: 2.45 % | Channel: 방카슈랑스 | Features: 인터넷 CM 전용 최저 수수료(사업비 3.5%) | 안정 보장형 복리 이율 (2.45 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 14
Company: IBK연금보험 | Product: 무배당 IBK 다이렉트 순수연금보험_2601 | Rate: 2.45 % | Channel: TM | Features: 인터넷 CM 전용 최저 수수료(사업비 3.5%) | 안정 보장형 복리 이율 (2.45 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: IBK연금보험 | Product: 무배당 IBK 원금보장 연금저축보험_2602 | Rate: 2.45 % | Channel: CM | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.45 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 14
Company: IBK연금보험 | Product: 무배당 IBK 프리미엄연금보험_2601 | Rate: 2.45 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.45 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: IBK연금보험 | Product: 무배당 IBK 하이브리드 연금저축보험(BA)_2601 | Rate: 2.45 % | Channel: 방카슈랑스 | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.45 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 14
Company: IBK연금보험 | Product: 무배당 IBK 하이브리드 연금저축보험_2601 | Rate: 2.45 % | Channel: 대면채널  TM | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.45 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 14
Company: IBK연금보험 | Product: 연금저축 웰컴투 IBK 연금보험_2404 | Rate: 2.00 % | Channel: CM  기타 | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.00 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 14
Company: IBK연금보험 | Product: 연금저축 웰컴투 IBK 연금보험_2601 | Rate: 2.10 % | Channel: CM  기타 | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.10 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 14
Company: KB라이프생명 | Product: KB 트리플 레벨업 연금보험 무배당(미보증형) | Rate: 2.48 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.48 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 1
Company: KB라이프생명 | Product: KB 트리플 레벨업 연금보험 무배당(보증형) | Rate: 2.48 % | Channel: 대면채널 | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.48 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: KB손보 | Product: 연금저축손해보험 KB 계약이전연금보험(26.01) | Rate:  | Channel:  | Features: 오프라인 대면 밀착 케어 서비스 | 표준 복리 이율 제공 | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 12
Company: KB손보 | Product: 연금저축손해보험 KB 다이렉트연금보험(26.01) | Rate:  | Channel:  | Features: 인터넷 CM 전용 최저 수수료(사업비 3.5%) | 표준 복리 이율 제공 | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: KB손보 | Product: 연금저축손해보험 KB 멀티플러스연금보험(26.01) | Rate:  | Channel:  | Features: 오프라인 대면 밀착 케어 서비스 | 표준 복리 이율 제공 | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 6
Company: NH농협생명 | Product: NHe세테크연금저축보험(무배당) | Rate: 2.35 % | Channel: CM | Features: 오프라인 대면 밀착 케어 서비스 | 안정 보장형 복리 이율 (2.35 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 12
Company: NH농협생명 | Product: e-NH연금저축보험(무배당)_2404 | Rate: 2.35 % | Channel: CM | Features: 인터넷 CM 전용 최저 수수료(사업비 3.5%) | 안정 보장형 복리 이율 (2.35 %) | 예금자보호법 적용 대상 및 최저보증 안전망 | Count: 12
