총 244행 중 유효 보험료 있는 행: 54개

순위   보험회사              월 보험료  가입금액                담보명
------------------------------------------------------------------------------------------
1    DB손보              1,180원  2만원                 교통상해입원비(1~180일)(비운전자용)
2    흥국화재              2,455원  진단일 42~69일 : 2천만원한  교통사고합의비용Ⅴ(일반)
3    흥국화재              2,778원  자동차를 운전하던 중 급격하고도   교통사고합의비용Ⅱ(6주미만,중대법령위반)
4    한화손보              3,312원  1인당 지급, 실손 보상21일이하  자동차 운전 중 자동차사고로 타인(피보험자의 부모, 배우자, 자
5    한화손보              3,399원  nan                 교통상해사망
6    AXA손보             3,450원  nan                 교통상해80%이상후유장해(운전자용)
7    AXA손보             3,540원  nan                 교통상해80%이상후유장해(운전자용)
8    삼성화재              3,595원  자동차 운전중 및 운전후 비탑승   자동차 운전중 및 운전후 비탑승 상태에서 약관에 정한 일반교통사
9    KB손보              3,626원  nan                 교통사고처리보장A(중상해보장확대)(비탑승중포함)(운전자)
10   한화손보              3,830원  nan                 교통상해사망
11   하나손보              3,865원  nan                 자동차 운전 중 중대법규위반 교통사고(음주, 무면허, 약물복용 
12   한화손보              3,869원  nan                 교통상해사망
13   KB손보              3,956원  nan                 교통사고처리보장A(중상해보장확대)(비탑승중포함)(운전자)
14   KB손보              3,997원  nan                 교통사고처리보장A(중상해보장확대)(비탑승중포함)(운전자)
15   흥국화재              4,102원  자동차를 운전하던 중 급격하고도   교통사고합의비용Ⅱ(6주미만,중대법령위반)
16   DB손보              4,180원  보험가입금액(4만원)         PM 운전중 교통상해입원일당(4일이상180일한도)
17   롯데손보              4,233원  nan                 (자가용운전자/영업용운전자) 교통사고처리지원금(중상해보장확대,비
18   하나손보              4,267원  nan                 교통사고처리지원금Ⅴ(비탑승중포함)
19   삼성화재              4,415원  자동차 운전중 및 운전후 비탑승   자동차 운전중 및 운전후 비탑승 상태에서 약관에 정한 일반교통사
20   신한EZ손해보험          4,463원  nan                 교통사고처리지원금Ⅱ(중상해보장확대)(비탑승중포함)
21   삼성화재              4,501원  자동차 운전중 및 운전후 비탑승   교통사고처리지원금Ⅶ(중상해보장확대)(비탑승중Ⅱ 포함)
22   AIG손보             4,520원  nan                 [갱신형]교통상해후유장해(3~100%)
23   메리츠화재             4,911원  2억원                 교통사고·처리지원금(Ⅸ)(비탑승중포함)
24   메리츠화재             4,955원  2억원                 교통사고·처리지원금(Ⅸ)(비탑승중포함)
25   롯데손보              5,216원  (무) let:drive 운전자보  (자가용운전자/영업용운전자) 교통사고처리지원금(중상해보장확대,비
26   현대해상              5,563원  5천만원                교통상해사망(운전자)
27   DB손보              5,640원  보험가입금액(4만원)         PM 운전중 교통상해입원일당(4일이상180일한도)
28   농협손보              5,819원  2억원 한도              교통사고처리지원금(중상해확대,2억원한도)
29   현대해상              6,496원  1억원                 교통상해사망(운전자)
30   DB손보              6,690원  보험가입금액(1억원)         교통상해사망
31   신한EZ손해보험          6,693원  nan                 교통사고처리지원금Ⅱ(중상해보장확대)(비탑승중포함)
32   현대해상              7,738원  1억원                 교통상해사망(운전자)
33   AIG손보             8,060원  nan                 [갱신형]교통상해후유장해(3~100%)
34   AIG손보             8,060원  nan                 [갱신형]교통상해후유장해(3~100%)
35   현대해상              8,641원  1억원                 교통상해사망(운전자)
36   현대해상              9,043원  1억원                 교통상해사망(비운전중)
37   농협손보              9,068원  1. 에 해당하는 경우 : 2억원  피해자 중상해 : 자동차 운전중 약관에 정한 일반교통사고로 인하
38   DB손보              9,290원  보험가입금액(2억원)         교통사고처리지원금(비탑승중포함Ⅲ)(실손)
39   하나손보              9,399원  300만원 한도(자기부담금 10만  교원소청변호사비용손해
40   현대해상              9,430원  1억원                 기본계약(이륜자동차운전중상해사망)
41   현대해상              9,496원  1억원                 기본계약(이륜자동차운전중상해사망)
42   메리츠화재             9,500원  3,000만원             운전자용 벌금(Ⅳ)(비탑승중포함)
43   DB손보              9,510원  보험가입금액(2억원)         교통사고처리지원금(비탑승중포함Ⅲ)(실손)
44   DB손보              9,510원  보험가입금액(2억원)         교통사고처리지원금(비탑승중포함Ⅲ)(실손)
45   현대해상             10,753원  1억원                 교통상해사망(운전자)
46   삼성화재             11,719원  nan                 운전자 벌금(대물)
47   DB손보             12,740원  보험가입금액(3천만원)        PM 운전중 교통사고처리지원금(실손,동승자제외)(영업용제외)
48   KB손보             12,928원  nan                 이륜자동차 운전중 교통사고처리보장Ⅳ
49   KB손보             13,175원  nan                 이륜자동차 운전중 교통사고처리보장Ⅳ
50   현대해상             13,753원  1억원                 교통상해사망(비운전중)
51   DB손보             15,460원  보험가입금액(1,500만원)     심급별 자동차사고변호사선임비용Ⅲ(특정사고경찰조사포함)(비탑승중포
52   한화손보             17,456원  1인당 지급, 실손 보상21일이하  자동차 운전 중 자동차사고로 타인(피보험자의 부모, 배우자, 자
53   DB손보             17,650원  보험가입금액(1500만원)      심급별 자동차사고변호사선임비용Ⅲ(특정사고경찰조사포함)(비탑승중포
54   한화손보             19,449원  nan                 교통상해사망
