=== Unique values of 가입금액 ===
-: 96
10,000만원: 70
1,000만원: 35
0 원: 18
0만원: 13
10,000만원  원: 13
1억원: 9
10,000만원(고액계약 보험료 할인 적용): 8
10만원: 4
100만원: 4
10000만원  원: 4
50,096,047 원: 3
52,025,996 원: 3
54,304,266 원: 3
56,689,085 원: 3
60,474,314 원: 3
1억원  원: 3
1000만원  원: 2
49,979,613 원: 2
50,764,911 원: 2
52,797,702 원: 2
54,936,585 원: 2
57,183,910 원: 2
49,859,884 원: 2
51,876,283 원: 2
54,102,633 원: 2
56,438,615 원: 2
60,161,508 원: 2
49,849,330 원: 2
51,840,899 원: 2
54,036,145 원: 2
56,333,824 원: 2
59,980,177 원: 2
2,329,287 원: 2
9,592,480 원: 2
17,198,307 원: 2
37,319,337 원: 2
41,669,500 원: 2
46,565,303 원: 2
2,330,965 원: 2
9,598,377 원: 2
17,209,370 원: 2
37,348,604 원: 2
41,727,575 원: 2
46,669,607 원: 2
3,444,027 원: 2
10,546,699 원: 2
17,947,576 원: 2
25,688,921 원: 2
38,510,862 원: 2
10만달러  USD: 2
주계약 가입금액 10,000만원: 2
주계약 영업보험료: 2
40만원: 1
1000만원: 1
200만원: 1
주계약보험료  원: 1
300만원: 1
48,796,000 원: 1
48,681,850 원: 1
48,989,230 원: 1
49,786,300 원: 1
2,498,356 원: 1
7,799,956 원: 1
13,182,522 원: 1
27,172,709 원: 1
27,294,917 원: 1
27,474,209 원: 1
48,156,820 원: 1
47,952,440 원: 1
47,740,510 원: 1
48,501,630 원: 1
2,104,280 원: 1
7,463,020 원: 1
12,901,730 원: 1
26,568,600 원: 1
26,664,370 원: 1
26,816,070 원: 1
48,331,410 원: 1
49,113,330 원: 1
49,902,050 원: 1
53,050,810 원: 1
2,340,152 원: 1
9,103,564 원: 1
16,150,559 원: 1
35,165,532 원: 1
39,060,420 원: 1
43,408,031 원: 1
3,179,802 원: 1
10,086,981 원: 1
17,044,567 원: 1
36,272,935 원: 1
37,870,854 원: 1
41,562,435 원: 1
48,838,183 원: 1
47,893,263 원: 1
51,513,503 원: 1
2,627,272 원: 1
9,568,683 원: 1
16,559,552 원: 1
23,600,244 원: 1
35,341,932 원: 1
36,893,552 원: 1
40,484,233 원: 1
1,846,433 원: 1
7,277,195 원: 1
12,911,569 원: 1
27,789,800 원: 1
27,089,022 원: 1
28,208,923 원: 1
1,408,899 원: 1
5,909,946 원: 1
10,538,409 원: 1
22,538,552 원: 1
18,455,748 원: 1
18,270,317 원: 1
3,080,383 원: 1
10,971,819 원: 1
18,706,868 원: 1
20,446,818 원: 1
11,426,142 원: 1
9,015,714 원: 1
3,169,447 원: 1
9,933,228 원: 1
16,543,111 원: 1
32,236,055 원: 1
28,645,357 원: 1
23,192,402 원: 1
49,010,224 원: 1
45,054,619 원: 1
41,024,582 원: 1
30,033,204 원: 1
17,597,459 원: 1
3,525,942 원: 1
49,033,141 원: 1
45,023,652 원: 1
40,992,047 원: 1
29,996,393 원: 1
17,555,812 원: 1
3,478,822 원: 1
47,251,083 원: 1
44,041,566 원: 1
40,714,299 원: 1
31,848,392 원: 1
22,131,281 원: 1
11,473,294 원: 1
49,788,510 원: 1
50,993,629 원: 1
52,497,656 원: 1
49,752,569 원: 1
51,085,167 원: 1
52,645,673 원: 1
3,414,188 원: 1
10,442,312 원: 1
17,745,439 원: 1
37,687,667 원: 1
41,216,157 원: 1
45,093,019 원: 1
3,209,628 원: 1
10,355,407 원: 1
17,800,033 원: 1
37,981,759 원: 1
41,852,862 원: 1
46,138,196 원: 1
1,634,350 원: 1
6,324,242 원: 1
11,030,942 원: 1
22,480,053 원: 1
17,602,763 원: 1
15,457,741 원: 1
14,035,088 원: 1
2,641,785 원: 1
9,632,481 원: 1
16,781,057 원: 1
34,950,699 원: 1
36,432,648 원: 1
37,595,288 원: 1
48,452,357 원: 1
49,297,869 원: 1
50,153,917 원: 1
53,560,926 원: 1
2,201 USD: 1
8,741 USD: 1
