File: file_0.xls | Product: [납입면제형]진심을품은14대보장특약(무배당)
File: file_0.xls | Product: 납입면제특약W 무배당 [2대질병 납입면제형] (일반가입형)
File: file_0.xls | Product: 납입면제특약W 무배당 [50%장해 납입면제형] (일반가입형)
File: file_0.xls | Product: 납입면제특약W 무배당 [암 납입면제형] (일반가입형)
File: file_0.xls | Product: 뇌혈관질환진단특약W 무배당
File: file_0.xls | Product: 무배당 간편급성심근경색증진단특약(갱신형)
File: file_0.xls | Product: 무배당 간편뇌출혈진단특약(갱신형)
File: file_0.xls | Product: 무배당 간편암수술특약(갱신형)
File: file_0.xls | Product: 무배당 간편암입원특약_요양병원제외(갱신형)
File: file_0.xls | Product: 무배당 수술특약(무해약환급금형)
File: file_0.xls | Product: 무배당 암사망특약(무해약환급금형)
File: file_0.xls | Product: 무배당 암진단특약Ⅱ(무해약환급금형)
File: file_0.xls | Product: 무배당 재해사망특약
File: file_0.xls | Product: 무배당 재해사망특약(무해약환급금형)
File: file_0.xls | Product: 보험기간 중 피보험자가 사망하였을 때
File: file_0.xls | Product: 보험기간 중 피보험자가 사망한 경우
File: file_0.xls | Product: 보험기간 중 피보험자가 재해로 인하여 사망하였을 경우
File: file_0.xls | Product: 보험기간 중 피보험자가 재해분류표에서 정하는 재해를 직접적인 원인으로 하여 사망하였을 경우
File: file_0.xls | Product: 보험기간중 약관 제 10 조 (특약의 보장개시) 에서 정한 보장개시일 이후에 피보험자가“1 ~ 5 종 수술분류표”에서 정한 수술을 받았을 경우 (수술 1 회당)
File: file_0.xls | Product: 사망보험금(보장형 계약)
File: file_0.xls | Product: 사망보험금(적립형 계약)
File: file_0.xls | Product: 암(유사암 및 성별암 제외)진단특약W 무배당
File: file_0.xls | Product: 재해수술특약W 무배당
File: file_0.xls | Product: 특약보험기간 중 피보험자가 보장개시일(암의 경우 “암” 및 “중증 갑상선암” 보장개시일) 이후에 “「여성유방암 및 전립 선암」 이외의 암”, “중증 갑상선암”, “뇌출혈”, “급성심근경 색증”, “말기신부전증”, “말기간질환”, “말기만성폐질환”, “중증 세균성 수막염”, “루게릭병(근위축측삭경화증)”, “중증 재생불량성 빈혈” 또는 “중대한 화상 및 부식(화학약품 등 에 의한 피부 손상)”으로 진단확정 되었거나 “관상동맥우회 술”, “심장판막수술”, “대동맥인조혈관치환수술” 또는 “5대 장기이식수술”로 수술을 받았을 때 (다만, “「여성유방암 및 전립선암」 이외의 암”, “중증 갑상선 암”, “뇌출혈”, “급성심근경색증”, “말기신부전증”, “말기간 질환”, “말기만성폐질환”, “중증 세균성 수막염”, “루게릭병 (근위축측삭경화증)”, “중증 재생불량성 빈혈”, “중대한 화상 및 부식(화학약품 등에 의한 피부 손상)”, “관상동맥우회술”, “심장판막수술”, “대동맥인조혈관치환수술” 또는 “5대장기 이식수술” 중 최초 1회에 한함)
File: file_0.xls | Product: 피보험자가 보험기간 중 보장개시일 이후에“암”(“기타피부암”, “중증 이외 갑상선암”, “대장점막내암”및“유방암 또는 남녀생식기관련암”제외) 으로 진단확정되었을 때 (다만, 최초 1 회에 한함)
File: file_0.xls | Product: 피보험자가 보험기간 중 약관 제 10 조 (특약의 보장개시) 에서 정한 보장개시일 이후에“암”, “기타피부암”, “갑상선암” 또는 “대장점막내암”으로 진단이 확정되고 그“암”, “기타피부암”, “갑상선암” 또는 “대장점막내암”으로 인하여 사망하였을 경우
