Row 10: 미래에셋생명 | 미래에셋생명 헤리티지 변액유니버셜종신보험 무배당 | 주계약 | 10,000만원(고액계약 보험료 할인 적용) | 248,490  원 | 215,820  원 | 97.5 %

Row 11: 미래에셋생명 | 미래에셋생명 헤리티지 변액유니버셜종신보험 무배당 | 특약 | 1,000만원 | 14,410  원 | 14,780  원 | 97.5 %

Row 12: 미래에셋생명 | 미래에셋생명 헤리티지 변액유니버셜종신보험 무배당 | 특약 | 40만원 | 1,216  원 | 1,248  원 | 97.5 %

Row 13: 미래에셋생명 | 미래에셋생명 헤리티지 변액유니버셜종신보험 무배당 | 특약 | 1000만원 | 12,540  원 | 8,960  원 | 97.5 %

Row 14: 미래에셋생명 | 미래에셋생명 헤리티지 변액유니버셜종신보험 무배당 | 특약 | 1,000만원 | 14,150  원 | 9,340  원 | 97.5 %

Row 34: 미래에셋생명 | 미래에셋생명 헤리티지 변액정기보험 무배당 [일반가입형] | 주계약 | 10,000만원 | 577,000  원 | 330,000  원 | 143.8 %

Row 35: 미래에셋생명 | 미래에셋생명 헤리티지 변액정기보험 무배당 [일반가입형] | 특약 | 0만원 | 25,711  원 | 12,731  원 | 143.8 %

Row 36: 미래에셋생명 | 미래에셋생명 헤리티지 변액정기보험 무배당 [간편고지형] | 주계약 | 10,000만원 | 675,000  원 | 416,000  원 | 141.7 %

Row 37: 미래에셋생명 | 미래에셋생명 헤리티지 변액정기보험 무배당 [간편고지형] | 특약 | 0만원 | 3,422  원 | 878  원 | 141.7 %

Row 69: 미래에셋생명 | 미래에셋생명 헤리티지 정기보험 무배당 [간편고지형/순수보장형] | 주계약 | 10,000만원 | 131000  원 | 69,000  원 | 2.00 %

Row 70: 미래에셋생명 | 미래에셋생명 헤리티지 정기보험 무배당 [간편고지형/순수보장형] | 특약 | 0만원 | 219  원 | 38  원 | 2.00 %

