Columns:
['보험회사', '상품명', '구분', '담보명(급부명)', '지급사유', '지급금액', '가입금액', '기준보험료', '가입보험료', '적용이율', '갱신구분', '판매채널', '기준일자', '상세안내', '연락처', 'source_file', '원본_열_0', '원본_열_1', '원본_열_2', '원본_열_3', '원본_열_4', '원본_열_5', '원본_열_6', '원본_열_7', '원본_열_8', '원본_열_9', '원본_열_10', '원본_열_11', '원본_열_12', '원본_열_13', '원본_열_14', '원본_열_15', '원본_열_16', '원본_열_17', '원본_열_18', '원본_열_19', '원본_열_20', '원본_열_21', '원본_열_22', '원본_열_23', '원본_열_24', '원본_열_25', '원본_열_26', '원본_열_27', '원본_열_28', '원본_열_29']

Prod: 삼성 인생금융 대출안심보험(2403)(무배당) 1종(담보대출 플랜) | Dambor: 사망보험금 | Col5: 1억원 | Col6: 1억원 | Col7: 10,800 원 | Col8: 6,400 원
Prod: 삼성 인생금융 대출안심보험(2403)(무배당) 2종(신용대출 플랜) | Dambor: 사망보험금 | Col5: 1,000만원 | Col6: 1,000만원 | Col7: 4,090 원 | Col8: 4,120 원
Prod: 삼성 인생금융 대출안심보험(2403)(무배당) 2종(신용대출 플랜) | Dambor: 3대질병 진단보험금 | Col5: 1,000만원 | Col6: 1,000만원 | Col7: 4,090 원 | Col8: 4,120 원
Prod: 삼성 상생금융 대출안심보험(2403)(무배당) 1종(담보대출 플랜) | Dambor: 사망보험금 | Col5: 1억원 | Col6: 1억원 | Col7: 8,600 원 | Col8: 5,100 원
Prod: 삼성 상생금융 대출안심보험(2403)(무배당) 2종(신용대출 플랜) | Dambor: 사망보험금 | Col5: 1,000만원 | Col6: 1,000만원 | Col7: 3,270 원 | Col8: 3,300 원
Prod: 삼성 상생금융 대출안심보험(2403)(무배당) 2종(신용대출 플랜) | Dambor: 3대질병 진단보험금 | Col5: 1,000만원 | Col6: 1,000만원 | Col7: 3,270 원 | Col8: 3,300 원
Prod: 무배당 e수술보장 대출상환 신용보험II(3형) | Dambor: 사망보험금 | Col5: 10,000만원 | Col6: 10,000만원 | Col7: 60,000 원 | Col8: 45,000 원
Prod: 무배당 e수술보장 대출상환 신용보험II(3형) | Dambor: 22대질병 수술보험금 | Col5: 수술 1 회당 400 만원 (다만, 1 년 미만 수술 시 200 만원 지급) | Col6: 10,000만원 | Col7: 60,000 원 | Col8: 45,000 원
Prod: 무배당 e수술보장 대출상환 신용보험II(3형) | Dambor: 21대 주요생활질환 수술보험금 | Col5: 수술 1 회당 100 만원 (다만, 1 년 미만 수술 시 50 만원 지급) | Col6: 10,000만원 | Col7: 60,000 원 | Col8: 45,000 원
Prod: 무배당 e수술보장 대출상환 신용보험II(3형) | Dambor: 33대 기타생활질환 수술보험금 | Col5: 수술 1 회당 30 만원 (다만, 1 년 미만 수술 시 15 만원 지급) | Col6: 10,000만원 | Col7: 60,000 원 | Col8: 45,000 원
Prod: 무배당 e수술보장 대출상환 신용보험II(3형) | Dambor: 2대질병 수술보험금 | Col5: 수술 1 회당 1,000 만원 (다만, 1 년 미만 수술 시 500 만원 지급) | Col6: 10,000만원 | Col7: 60,000 원 | Col8: 45,000 원
Prod: 무배당 e수술보장 대출상환 신용보험II(3형) | Dambor: 암수술 보험금 | Col5: 수술 1 회당 600만원 (다만, 1 년미만 수술시 300만원 지급) | Col6: 10,000만원 | Col7: 60,000 원 | Col8: 45,000 원
Prod: 무배당 e수술보장 대출상환 신용보험II(3형) | Dambor: 암수술 보험금 | Col5: 수술 1 회당 100만원 (다만, 1 년미만 수술시 50만원 지급) | Col6: 10,000만원 | Col7: 60,000 원 | Col8: 45,000 원
Prod: 무배당 e수술보장 대출상환 신용보험II(2형) | Dambor: 사망보험금 | Col5: 5,000만원 | Col6: 5,000만원 | Col7: 36,000 원 | Col8: 27,500 원
Prod: 무배당 e수술보장 대출상환 신용보험II(2형) | Dambor: 22대질병 수술보험금 | Col5: 수술 1 회당 400 만원 (다만, 1 년 미만 수술 시 200 만원 지급) | Col6: 5,000만원 | Col7: 36,000 원 | Col8: 27,500 원
